Recommender,Indicator,Value
TSEC,Precision,0.9424379229388672
TSEC,Recall,0.9421221864951768
TSEC,F1-score,0.9409171236339088
TSEC,Average Ratio,0.1142227759914255
TSEC,Time Cost,2.533456325531006
C-Store,Precision,0.7489191358180536
C-Store,Recall,0.7556270096463023
C-Store,F1-score,0.7445164788646859
C-Store,Average Ratio,0.115297347266881
C-Store,Time Cost,1.101073980331421
CodecDB,Precision,0.6350100963627534
CodecDB,Recall,0.6080246913580247
CodecDB,F1-score,0.554441317720007
CodecDB,Average Ratio,0.121142103909465
CodecDB,Time Cost,12.980295181274414
