Senser,s_0
1493733882409,-0.0102
1493733882455,0.0037
1493733882500,-0.0163
1493733883945,-0.0145
1493733883953,-0.0105
1493733883957,0.0017
1493733883963,-0.0094
1493733883974,-0.0109
1493733883977,-0.0849
1493733883991,0.0134
1493733883992,-0.0021
1493733884007,-0.0078
1493733884008,-0.0069
1493733884023,-0.0004
1493733884024,-0.0032
1493733884041,-0.0076
1493733884043,-0.0096
1493733884057,-0.0032
1493733884059,-0.0054
1493733884073,-0.0035
1493733884076,-0.0017
1493733884091,-0.006999999999999999
1493733884092,-0.0005
1493733884107,-0.0002
1493733884109,-0.0041
1493733884123,-0.0016
1493733884125,-0.0033
1493733884139,-0.0041
1493733884140,-0.0032
1493733884156,-0.0026
1493733884157,-0.0032
1493733884172,-0.0034
1493733884173,-0.0038
1493733884189,-0.0046
1493733884206,-0.0032
1493733884207,-0.004
1493733884222,-0.0024
1493733884223,-0.0018
1493733884239,-0.0029
1493733884240,-0.005
1493733884260,-0.0001
1493733884305,-0.0029
1493733884350,-0.0029
1493733884400,-0.0016
1493733884445,-0.0024
1493733884489,-0.0034
1493733884535,-0.0013
1493733884580,-0.0028
1493733884625,-0.0043
1493733884670,-0.0028
1493733884715,-0.003
1493733884760,-0.0027
1493733884805,-0.0022
1493733884849,-0.0011
1493733884895,-0.0027
1493733884940,-0.004
1493733884985,-0.0025
1493733885030,-0.0025
1493733885075,-0.0033
1493733885120,-0.0043
1493733885166,-0.003
1493733885211,-0.0052
1493733885255,-0.0079
1493733885301,-0.0048
1493733885345,-0.0093
1493733885396,-0.0055
1493733885441,0.0036
1493733885486,-0.0027
1493733885531,-0.0088
1493733885576,-0.0151
1493733885621,-0.0111
1493733885665,-0.0088
1493733885711,-0.0063
1493733885756,0.0029
1493733885801,-0.0097
1493733885845,0.0024
1493733885891,-0.0009
1493733885937,-0.0003
1493733885981,-0.0059
1493733886025,0.0001
1493733886071,-0.0028
1493733886116,-0.0014
1493733886161,0.0038
1493733886206,-0.0047
1493733886251,0.0004
1493733886296,-0.0059
1493733886341,-0.002
1493733886390,-0.0043
1493733886435,-0.0025
1493733886481,-0.004
1493733886526,-0.0049
1493733886571,-0.0032
1493733886616,-0.0004
1493733886661,-0.0042
1493733886705,-0.0024
1493733886751,-0.004
1493733886796,-0.0041
1493733886841,-0.0024
1493733886886,-0.0016
1493733886931,-0.0035
1493733886976,-0.0356
1493733887021,-0.0222
1493733887067,0.0169
1493733887111,0.0652
1493733887156,0.0165
1493733887201,0.0097
1493733887247,-0.0891
1493733887291,-0.0678
1493733887336,-0.0518
1493733887385,0.0841
1493733887431,0.0037
1493733887476,-0.033
1493733887521,-0.1161
1493733887567,-0.0788
1493733887611,0.0425
1493733887656,0.065
1493733887701,0.0364
1493733887745,-0.0016
1493733887791,0.0108
1493733887836,-0.0621
1493733887881,-0.0273
1493733887926,-0.0342
1493733887972,-0.0028
1493733888016,0.0245
1493733888061,-0.0015
1493733888105,0.0037
1493733888151,0.0124
1493733888196,-0.1177
1493733888241,0.0832
1493733888287,0.009000000000000001
1493733888331,-0.0059
1493733888382,-0.0243
1493733888427,0.0348
1493733888472,-0.0267
1493733888516,0.0222
1493733888561,-0.0328
1493733888608,-0.0018
1493733888651,0.027000000000000003
1493733888697,0.0054
1493733888742,-0.0228
1493733888787,-0.0865
1493733888832,0.1393
1493733888876,0.0751
1493733888921,-0.1089
1493733888966,0.0038
1493733889012,0.0117
1493733889057,-0.0181
1493733889103,0.002
1493733889147,0.0486
1493733889192,-0.0635
1493733889237,-0.0218
1493733889281,-0.0209
1493733889327,-0.0207
1493733889377,0.0355
1493733889422,-0.0054
1493733889467,0.0106
1493733889512,-0.0475
1493733889557,0.0029
1493733889601,0.0084
1493733889647,-0.0442
1493733889692,-0.0067
1493733889737,0.022
1493733889782,-0.0063
1493733889827,-0.0541
1493733889872,0.0481
1493733889917,0.0104
1493733889961,0.0032
1493733890007,0.0175
1493733890052,-0.0173
1493733890097,0.0077
1493733890142,-0.0392
1493733890187,-0.0069
1493733890232,-0.0154
1493733890277,0.0272
1493733890321,0.0139
1493733890372,-0.0226
1493733890417,-0.0036
1493733890462,-0.0151
1493733890507,-0.022
1493733890552,0.0183
1493733890597,-0.0324
1493733890641,0.006999999999999999
1493733890687,-0.0063
1493733890733,-0.0023
1493733890777,0.032
1493733890822,-0.0153
1493733890867,0.0067
1493733890912,-0.0046
1493733890957,0.0336
1493733891001,-0.0246
1493733891047,-0.0169
1493733891092,0.0664
1493733891137,0.0289
1493733891182,0.0662
1493733891227,0.0697
1493733891272,-0.1269
1493733891317,0.0151
1493733891367,-0.0008
1493733891412,0.0022
1493733891457,-0.0058
1493733891503,0.0016
1493733891548,-0.0043
1493733891592,-0.0258
1493733891638,-0.0046
1493733891684,-0.0054
1493733891728,-0.003
1493733891773,-0.0012
1493733891817,-0.0025
1493733891862,-0.0014
1493733891907,-0.0026
1493733891952,-0.0012
1493733891998,-0.0032
1493733892043,-0.0018
1493733892088,-0.0022
