Sensor,s_0
1623308081,2143488086
1623308083,2143488083
1623308085,2143488083
1623308087,2143488083
1623308089,2143488083
1623308092,2143488083
1623308094,2143488083
1623308096,2143488082
1623308098,2143488082
1623308100,2143488085
1623308103,2143488085
1623308105,2143488085
1623308107,2143488078
1623308109,2143488078
1623308111,2143488078
1623308114,2143488080
1623308116,2143488080
1623308118,2143488080
1623308120,2143488089
1623308123,2143488089
1623308125,2143488089
1623308127,2143488085
1623308129,2143488085
1623308131,2143488092
1623308134,2143488092
1623308136,2143488092
1623308138,2143488082
1623308140,2143488082
1623308142,2143488082
1623308145,2143488083
1623308147,2143488083
1623308149,2143488083
1623308151,2143488084
1623308153,2143488084
1623308156,2143488091
1623308158,2143488091
1623308160,2143488091
1623308162,2143488079
1623308165,2143488079
1623308167,2143488079
1623308169,2143488083
1623308171,2143488083
1623308173,2143488083
1623308176,2143488074
1623308178,2143488074
1623308180,2143488074
1623308182,2143488079
1623308184,2143488079
1623308187,2143488085
1623308189,2143488085
1623308191,2143488085
1623308193,2143488085
1623308196,2143488085
1623308198,2143488085
1623308200,2143488089
1623308202,2143488089
1623308204,2143488089
1623308207,2143488077
1623308209,2143488077
1623308211,2143488084
1623308213,2143488084
1623308215,2143488084
1623308218,2143488087
1623308220,2143488087
1623308222,2143488087
1623308224,2143488082
1623308227,2143488082
1623308229,2143488082
1623308231,2143488087
1623308233,2143488087
1623308235,2143488087
1623308238,2143488085
1623308240,2143488085
1623308242,2143488070
1623308244,2143488070
1623308246,2143488070
1623308249,2143488079
1623308251,2143488079
1623308253,2143488079
1623308255,2143488082
1623308257,2143488082
1623308260,2143488082
1623308262,2143488086
1623308264,2143488086
1623308266,2143488086
1623308269,2143488070
1623308271,2143488070
1623308273,2143488079
1623308275,2143488079
1623308277,2143488079
1623308280,2143488082
1623308282,2143488082
1623308284,2143488082
1623308286,2143488085
1623308288,2143488085
1623308291,2143488085
1623308293,2143488082
1623308295,2143488082
1623308297,2143488099
1623308299,2143488099
1623308302,2143488099
1623308304,2143488079
1623308306,2143488079
1623308308,2143488079
1623308311,2143488103
1623308313,2143488103
1623308315,2143488103
1623308317,2143488101
1623308319,2143488101
1623308322,2143488101
1623308324,2143488104
1623308326,2143488104
1623308328,2143488087
1623308331,2143488087
1623308333,2143488087
1623308335,2143488089
1623308337,2143488089
1623308339,2143488089
1623308342,2143488126
1623308344,2143488126
1623308346,2143488126
1623308348,2143488142
1623308350,2143488142
1623308353,2143488094
1623308355,2143488094
1623308357,2143488094
1623308359,2143488093
1623308361,2143488093
1623308364,2143488093
1623308366,2143488083
1623308368,2143488083
1623308370,2143488083
1623308372,2143488093
1623308375,2143488093
1623308377,2143488093
1623308379,2143488094
1623308381,2143488094
1623308384,2143488079
1623308386,2143488079
1623308388,2143488079
1623308390,2143488085
1623308392,2143488085
1623308395,2143488085
1623308397,2143488077
1623308399,2143488077
1623308401,2143488077
1623308403,2143488086
1623308406,2143488086
1623308408,2143488086
1623308410,2143488086
1623308412,2143488086
1623308414,2143488082
1623308417,2143488082
1623308419,2143488082
1623308421,2143488077
1623308423,2143488077
1623308425,2143488077
