Senser,s_0
1606144137,2134387681
1606144143,2134387681
1606144147,2134387681
1606144148,2134387681
1606144153,2134387681
1606144157,2134387681
1606144160,2134387681
1606144165,2134387681
1606144172,2134387681
1606144178,2134387681
1606144184,2134387681
1606144188,2134387681
1606144191,2134387681
1606144333,2134387681
1606144334,2134387681
1606144338,2134387681
1606144340,2134387681
1606144348,2134387681
1606144350,2134387681
1606144351,2134387681
1606144357,2134387681
1606144360,2134387681
1606144363,2134387681
1606144364,2134387681
1606144378,2134387681
1606144381,2134387681
1606144384,2134387681
1606144385,2134387681
1606144386,2134387681
1606144389,2134387681
1606144399,2134387681
1606144401,2134387681
1606144404,2134387681
1606144410,2134387681
1606144411,2134387681
1606144419,2134387681
1606144422,2134387681
1606144431,2134387681
1606144433,2134387681
1606144440,2134387681
1606144458,2134387681
1606144462,2134387681
1606144467,2134387681
1606144874,2134387681
1606144891,2134387681
1606144894,2134387681
1606144902,2134387681
1606144907,2134387681
1606144911,2134387681
1606144915,2134387681
1606144925,2134387681
1606144931,2134387681
1606144942,2134387681
1606144948,2134387681
1606144952,2134387681
1606144953,2134387681
1606144959,2134387681
1606144964,2134387681
1606144970,2134387681
1606144974,2134387681
1606144975,2134387681
1606144986,2134387681
1606144988,2134387681
1606140792,2134387681
1606140793,2134387681
1606140799,2134387681
1606140800,2134387681
1606140808,2134387681
1606140811,2134387681
1606140814,2134387681
1606140822,2134387681
1606140830,2134387681
1606140832,2134387681
1606140834,2134387681
1606140835,2134387681
1606140843,2134387681
1606140848,2134387681
1606140851,2134387681
1606140853,2134387681
1606140855,2134387681
1606140863,2134387681
1606140866,2134387681
1606140872,2134387681
1606140876,2134387681
1606140877,2134387681
1606140881,2134387681
1606140884,2134387681
1606140887,2134387681
1606140893,2134387681
1606140897,2134387681
1606140899,2134387681
1606140901,2134387681
1606140903,2134387681
1606140906,2134387681
1606140909,2134387681
1606140912,2134387681
1606140913,2134387681
1606140916,2134387681
1606140922,2134387681
1606140927,2134387681
1606140934,2134387681
1606140937,2134387681
1606140938,2134387681
1606140940,2134387681
1606140946,2134387681
1606140953,2134387681
1606140955,2134387681
1606140963,2134387681
1606140970,2134387681
1606140975,2134387681
1606140976,2134387681
1606140977,2134387681
1606140979,2134387681
1606140980,2134387681
1606140986,2134387681
1606140992,2134387681
1606140999,2134387681
1606141004,2134387681
1606141006,2134387681
1606141010,2134387681
1606141015,2134387681
1606141020,2134387681
1606141025,2134387681
1606141038,2134387681
1606141047,2134387681
1606141048,2134387681
1606141052,2134387681
1606141053,2134387681
1606141057,2134387681
1606141069,2134387681
1606140058,2134387681
1606140060,2134387681
1606140062,2134387681
1606140064,2134387681
1606140065,2134387681
1606140066,2134387681
1606140067,2134387681
1606140068,2134387681
1606140070,2134387681
1606140073,2134387681
1606140075,2134387681
1606140076,2134387681
1606140077,2134387681
1606140080,2134387681
1606140085,2134387681
1606140092,2134387681
1606140094,2134387681
1606140095,2134387681
1606140101,2134387681
1606140102,2134387681
