Sensor,s_0
1627355194039,15.25
1627357534728,32.28
1627357870552,32.879999999999995
1627358558456,34.230000000000004
1627359390238,33.260000000000005
1627359416935,41.42
1627359444615,40.16
1627359819039,44.34
1627363886310,16.04
1627365049301,12.93
1627365122296,12.73
1627365233105,12.89
1627365281310,12.879999999999999
1627365780598,13.0
1627366928897,12.440000000000001
1627366996511,12.52
1627370547901,14.85
1627370942023,12.190000000000001
1627371403871,12.76
1627372846485,12.82
1627374191660,12.54
1627374955863,13.51
1627375200743,13.780000000000001
1627375516007,14.11
1627382910411,13.02
1627382938627,13.3
1627382968209,12.969999999999999
1627382978616,12.9
1627383469026,30.77
1627383478134,28.83
1627383806835,30.62
1627383818838,31.03
1627383828628,28.09
1627383894045,29.67
1627385219323,31.32
1627386887515,8.21
1627387039021,8.35
1627387492608,17.84
1627387866896,15.33
1627391982149,14.49
1627392002929,13.91
1627392014131,14.969999999999999
1627392033023,14.0
1627392051921,14.280000000000001
1627392806923,35.39
1627392816625,33.25
1627393040225,33.93
1627393076549,37.120000000000005
1627393095821,35.7
1627393455595,33.010000000000005
1627393463524,34.08
1627393518458,55.27
1627393616119,47.83
1627393632219,51.23
1627393762248,22.46
1627393780762,14.64
1627394015538,27.26
1627394686516,27.47
1627394708709,24.63
1627395640730,29.4
1627397337531,37.04
1627397856718,37.18
1627398950642,40.02
1627399041931,39.019999999999996
1627399602992,39.39
1627399985387,45.24
1627400012323,44.26
1627400733796,47.11
1627402678744,16.11
1627402704271,15.42
1627403034225,16.060000000000002
1627403122960,16.689999999999998
1627403131627,16.35
1627403316307,12.0
1627405080417,13.18
1627405147700,12.77
1627405743484,13.17
1627405793712,12.879999999999999
1627405849607,13.39
1627406401131,13.690000000000001
1627406439779,12.85
1627406819581,22.759999999999998
1627407124774,41.66
1627407260687,40.44
1627407635787,35.019999999999996
1627408005992,21.880000000000003
1627408386110,23.990000000000002
1627409691210,27.15
1627410190498,25.59
1627410249867,28.2
1627410435529,27.46
1627410700512,25.44
1627410849419,27.27
1627412576318,28.7
1627412607568,23.439999999999998
1627412651804,36.18
1627413408406,17.73
1627413438594,17.04
1627413443030,15.89
1627413585910,17.41
1627414220391,18.03
1627414931808,13.48
1627415326797,13.35
1627415402389,13.29
1627415422108,14.17
1627423228056,13.3
1627423306344,13.29
1627423422651,13.43
1627424074150,13.33
1627424658348,12.34
1627424969849,18.09
1627425162742,20.08
1627425191444,21.39
1627425646246,18.14
1627425805160,22.880000000000003
1627425811652,24.03
1627426084645,23.490000000000002
1627427863482,25.32
1627427901735,19.85
1627427970955,19.82
1627428165570,25.17
1627428432963,19.8
1627428446262,24.44
1627428455784,24.58
1627429250877,27.56
1627429657667,23.14
1627431001045,26.78
1627431737760,14.379999999999999
1627432112039,13.6
1627432287368,13.64
1627432310644,14.129999999999999
1627432566937,13.0
1627432593855,11.48
1627432604460,-4.79
1627432611851,-5.5
1627432622043,-5.0
1627433050935,-3.7800000000000002
1627433260843,-3.95
1627434564218,-4.58
1627435470925,-4.03
1627435506812,-4.81
1627435525138,-4.38
1627438488418,11.100000000000001
1627438678916,10.54
1627438877604,10.34
1627439189144,15.43
1627439200944,8.91
1627439225032,2.59
1627439590000,5.800000000000001
1627440391616,30.71
1627442352244,-4.03
1627442545520,-4.76
1627443283887,-4.59
1627443542179,-4.63
1627443615071,-5.3100000000000005
1627443636572,-5.279999999999999
1627447735678,-4.33
1627450049587,-2.0599999999999996
1627450628156,-1.8099999999999996
1627450667045,-2.38
1627451276439,-3.0
1627451935949,-1.5899999999999999
1627451951656,-0.7300000000000004
1627451971441,-1.1399999999999997
1627452871186,-4.29
1627452950450,-3.96
1627453424950,-3.88
1627453707901,-3.83
1627453795736,-4.15
1627454681643,-1.4000000000000004
1627454724452,-1.92
1627454736636,-3.7699999999999996
1627457849896,-3.46
1627457863930,-3.38
1627458660260,14.670000000000002
1627458675446,15.879999999999999
1627458906858,16.04
1627459342131,23.32
1627459994339,31.83
1627460702907,42.29
1627460729841,38.28
1627460805454,44.48
1627460857619,41.79
1627460885750,47.8
1627460891704,44.49
1627460944316,47.31
1627462629048,-4.94
1627462937327,-4.99
1627462951560,-8.34
1627463501627,-5.18
1627463777797,-0.35999999999999943
1627464496703,-8.49
1627466014712,-8.71
1627466031310,-8.83
1627466064695,-8.78
1627470501081,-8.59
1627471976769,24.17
1627472536595,30.47
1627474200893,46.8
1627474771761,53.14
1627474908860,52.45
1627475351357,42.34
1627475390656,33.81
1627475652564,20.26
1627475786554,-8.8
1627475996556,-8.51
1627477260542,46.57
1627477480541,46.2
1627477544962,46.98
1627477562460,46.66
1627477575759,45.93
1627477756267,37.32
1627477848661,41.85
1627478360739,42.07
1627479457362,24.270000000000003
1627479612247,22.13
1627479923232,29.700000000000003
1627480134636,30.049999999999997
1627480360740,30.54
1627480450726,32.08
1627480499646,31.86
1627480521233,31.21
1627480705916,31.200000000000003
1627480728730,31.240000000000002
1627480757438,31.369999999999997
1627480798216,32.77
1627480829622,33.55
1627481362218,25.759999999999998
1627481378718,17.37
1627481387527,20.44
1627481611506,-0.8699999999999992
1627481884396,-4.45
1627482504530,-4.49
1627483280097,-4.58
1627485308294,-4.63
1627485323896,-4.6
1627485348701,-4.55
1627487659591,0.03999999999999915
1627488141084,-3.8600000000000003
1627490929439,-4.64
1627490953331,-4.69
1627492387532,7.07
1627492875730,7.440000000000001
1627493273041,8.3
1627493289036,2.75
1627493337231,6.18
1627493359423,6.529999999999999
1627495070658,23.86
1627496103152,-0.4900000000000002
1627496109436,-0.34999999999999964
1627496308952,-5.38
1627496326943,-5.25
1627496360558,-6.109999999999999
1627496543240,-5.73
1627499257207,-5.79
1627499725106,-5.49
1627499756911,-5.91
1627499771617,-5.59
1627499831114,-5.970000000000001
1627499870709,-5.68
1627499888509,-6.57
1627502634982,-4.23
1627503313585,-3.6799999999999997
1627503462672,-3.6799999999999997
1627503720972,-3.7800000000000002
1627503830978,-3.8899999999999997
1627503836979,-3.83
1627503890564,-4.18
1627503921073,-6.17
1627503934176,-3.34
1627503973777,-2.55
1627504033677,-3.75
1627505039963,-3.5999999999999996
1627505047505,-5.470000000000001
1627506212966,-3.88
1627506861256,0.5199999999999996
1627519673024,-2.66
1627519737359,-2.45
1627519980319,-0.27999999999999936
1627520383811,9.940000000000001
1627520767804,8.59
1627521181617,14.559999999999999
1627521318210,14.120000000000001
1627521411900,14.54
1627522398017,18.17
1627522404014,14.36
1627522446190,14.239999999999998
1627522517703,15.620000000000001
1627526527285,-8.78
1627526756373,-8.63
1627526852878,0.009999999999999787
1627526908042,-0.5899999999999999
1627526927576,-0.6099999999999994
1627527117176,-1.6500000000000004
1627527191476,-0.16999999999999993
1627528566577,-3.8899999999999997
1627528760961,-4.58
1627528838353,-3.9800000000000004
1627529164962,-3.5599999999999996
1627529170671,-5.46
1627529895574,-3.74
1627530084260,-4.97
1627530159956,-3.76
1627530183356,-5.79
1627541596445,-2.67
1627541623740,-1.7000000000000002
1627541667801,-2.09
1627542909390,-4.31
1627542928220,-4.08
1627542968277,-3.3
1627543154756,-3.5300000000000002
1627543258214,3.960000000000001
1627543428264,0.6500000000000004
1627544128365,-0.5800000000000001
1627544571777,-0.33000000000000007
1627544591773,-0.47000000000000064
1627544664290,-0.39000000000000057
1627544775519,-0.4299999999999997
1627544808887,-0.8699999999999992
1627544815161,-2.0999999999999996
1627544824671,-1.37
1627545457386,-0.2400000000000002
1627545751662,0.15000000000000036
1627546067911,0.2400000000000002
1627546281482,1.4499999999999993
1627546305693,-1.2599999999999998
1627546325766,0.9199999999999999
1627546334929,0.40000000000000036
1627546437987,0.4800000000000004
1627546599501,-0.4299999999999997
1627546813154,-0.28999999999999915
1627547507676,-4.24
1627547630968,-4.76
1627547813257,-3.99
1627548520045,-3.8499999999999996
1627549989348,-4.29
1627550012169,-3.7
1627550186042,-4.47
1627550191435,-4.7
1627552265650,-3.7
1627553494341,7.800000000000001
1627553671342,8.879999999999999
1627554302447,8.61
1627554416849,9.100000000000001
1627554488260,4.33
1627554603467,9.2
1627556881063,-5.43
1627556969752,-3.5300000000000002
1627556974828,-4.88
1627557423936,-0.6799999999999997
1627558323816,-4.77
1627558761715,-3.8600000000000003
1627560273724,-5.43
1627560336214,-3.7199999999999998
1627561356805,-4.86
1627561400429,-3.5300000000000002
1627561793617,-4.03
1627563257828,28.42
1627563649915,36.56
1627563862713,39.5
1627563925401,29.65
1627564191203,42.81
1627565719782,-0.16000000000000014
1627565760304,0.13000000000000078
1627565769390,-0.9100000000000001
1627565806813,-0.16999999999999993
1627565884095,-0.2699999999999996
1627565905100,-0.9100000000000001
1627565914704,0.16999999999999993
1627567422188,-3.63
1627567461701,-4.05
1627567580997,-4.06
1627568035774,-4.72
1627569045279,11.89
1627569725898,8.059999999999999
1627569755677,13.100000000000001
1627569767702,3.5
1627569904677,15.36
1627570420983,13.620000000000001
1627571015373,1.75
1627571070388,0.39000000000000057
1627571114771,-1.7999999999999998
1627571507778,-0.2599999999999998
1627571585627,0.3200000000000003
1627572208949,-3.54
1627572908045,-4.01
1627573214356,10.690000000000001
1627573689330,10.86
1627574722036,14.55
1627574742633,10.620000000000001
1627574753438,11.510000000000002
1627574794033,16.32
1627574798946,5.1
1627574810029,16.7
1627574820823,13.690000000000001
1627574935126,11.45
1627575063441,16.66
1627575595121,12.059999999999999
1627575630623,10.86
1627578346460,-1.6500000000000004
1627578464875,-1.4800000000000004
1627578701666,-2.62
1627578798878,0.3699999999999992
1627579236250,-3.3
1627579311606,-3.7
1627579694046,-3.87
1627580394177,-3.8499999999999996
1627580569764,-3.8600000000000003
1627584626739,-5.08
1627584638033,-5.029999999999999
1627584663618,-4.6
1627584689638,-3.38
1627594349711,-3.88
1627594398297,-4.79
1627595813488,-2.42
1627605480632,-2.3099999999999996
1627606070218,5.18
1627606082922,6.68
1627606423513,11.370000000000001
1627606537128,32.1
1627607088815,36.33
1627607186409,32.519999999999996
1627608683105,51.82
1627609081710,45.13
1627609095308,49.5
1627609117000,47.62
1627609143098,43.86
1627609154118,52.3
1627609173907,54.04
1627609214103,48.91
1627609523407,54.24
1627609540485,51.85
1627609545499,44.8
1627612982993,49.89
1627617040478,26.56
1627617050166,26.99
1627617157549,27.24
1627617166979,26.99
1627617703777,18.05
1627618338268,18.7
1627618413473,17.66
1627618428488,17.67
1627618571669,18.78
1627619270586,19.0
1627620306459,20.08
1627620618558,18.72
1627620624757,20.490000000000002
1627620943164,16.39
1627620954773,14.55
1630003153261,10.0
1630006830075,10.0
1630006845254,10.0
1630007031528,10.0
1630007116267,10.0
1630007187625,10.0
1630007317016,10.0
1630007565610,10.0
1630007725287,10.0
1630007979712,10.0
1630008047895,10.0
1630008058003,10.0
1630008086192,10.0
1630008123327,10.0
1630008142509,10.0
1630012850558,10.0
1630012880278,10.0
1630013103672,10.0
1630013128767,10.0
1630013413878,10.0
1630021449998,10.0
1630021470545,10.0
1630022196797,10.0
1630022426570,10.0
1630022439697,10.0
1630022547982,10.0
1630022555184,10.0
1630022749397,10.0
1630023077487,10.0
1630023321177,10.0
1630023433293,10.0
1630023510871,10.0
1630023545980,10.0
1630023632499,10.0
1630024969569,10.0
1630025058031,10.0
1630025234771,10.0
1630025363495,10.0
1630025526390,10.0
1630025554162,10.0
1630025621678,10.0
1630026611565,10.0
1630030126656,10.0
1630030151445,10.0
1630030172544,10.0
1630031606747,10.0
1630031619946,10.0
1630031629644,10.0
1630031787458,10.0
1630031823759,10.0
1630031828053,10.0
1630031864631,10.0
1630032114443,10.0
1630032125247,10.0
1630032140134,10.0
1630032365655,10.0
1630033209748,10.0
1630033323735,10.0
1630033328961,10.0
1630034013936,10.0
1630034190951,10.0
1630034348136,10.0
1630034692347,10.0
1630034912439,10.0
1630035013621,10.0
1630035036132,10.0
1630035277040,10.0
1630035284736,10.0
1630035302431,10.0
1630035312131,10.0
1630044454225,10.0
1630045891338,10.0
1630046280822,10.0
1630046454114,10.0
1630046776329,10.0
1630046851424,10.0
1630046911238,10.0
1630046958027,10.0
1630047100530,10.0
1630047497622,10.0
1630047643620,10.0
1630047873101,10.0
1630047921813,10.0
1630048003321,10.0
1630048012629,10.0
1630048019364,10.0
1630048105106,10.0
1630048124832,10.0
1630048161825,10.0
1630048917817,10.0
1630048955730,10.0
1630051948893,10.0
1630051997912,10.0
1630052032718,10.0
1630052260606,10.0
1630052382950,10.0
1630052388496,10.0
1630052451397,10.0
1630052691104,10.0
1630052811274,10.0
1630052951819,10.0
1630053602910,10.0
1630053842692,10.0
1630056429764,10.0
1630056484059,10.0
1630056506465,10.0
1630057887583,10.0
1630057905753,10.0
1630057952457,10.0
1630057957451,10.0
1630057989645,10.0
1630057999938,10.0
1630058318270,10.0
1630058356772,10.0
1630058380668,10.0
1630059421753,10.0
1630060068543,10.0
1630060103563,10.0
1630060142358,10.0
1630060380345,10.0
1630060416633,10.0
1630060421743,10.0
1630060498546,10.0
1630060570232,10.0
1630060592641,10.0
1630060976938,10.0
1630067253883,10.0
1630067275783,10.0
1630067287979,10.0
1630067342982,10.0
1630067360464,10.0
1630067383277,10.0
1630067392490,10.0
1630067814475,10.0
1630067829221,10.0
1630067902656,10.0
1630071804353,10.0
1630072120236,10.0
1630072537348,10.0
1630072716385,10.0
1630073356467,10.0
1630073388753,10.0
1630073399480,10.0
1630073423475,10.0
1630073433060,10.0
1630079159776,10.0
1630079418050,10.0
1630079437150,10.0
1630079571436,10.0
1630080193441,10.0
1630080299343,10.0
1630080535530,10.0
1630080800927,10.0
1630085836214,10.0
1630085869297,10.0
1630085879893,10.0
1630085884302,10.0
1630086272879,10.0
1630086284407,10.0
1630086289301,10.0
1630086465571,10.0
1630086951708,10.0
1630087168386,10.0
1630087483187,10.0
1630087592478,10.0
1630087796021,10.0
1630087978492,10.0
1630088028095,10.0
1630088443103,10.0
1630088491204,10.0
1630088547408,10.0
1630088623608,10.0
1630089473212,10.0
1630089499011,10.0
1630089814655,10.0
1630089846786,10.0
1630089916820,10.0
1630089973716,10.0
1630090276517,10.0
1630090485504,10.0
1630090618302,10.0
1630090629409,10.0
1630090739909,10.0
1630090818110,10.0
1630090964792,10.0
1630091412599,10.0
1630091467799,10.0
1630091509182,10.0
1630091599216,10.0
1630092669987,10.0
1630092677875,10.0
1630093053779,10.0
1630110522319,10.0
1630110559824,10.0
1630110571321,10.0
1630110582628,10.0
1630110588418,10.0
1630110610760,10.0
1630110619832,10.0
1630110634824,10.0
1630110644831,10.0
1630110657320,10.0
1630110665755,10.0
1630110685938,10.0
1630110698505,10.0
1630110703645,10.0
1630110715819,10.0
1630110737933,10.0
1630110742635,10.0
1630112814502,10.0
1630112824412,10.0
1630112834120,10.0
1630112867433,10.0
1630112892725,10.0
1630112904454,10.0
1630113121142,10.0
1630113132604,10.0
1630113139029,10.0
1630113748793,10.0
1630113751476,10.0
1630114755497,10.0
1630114757380,10.0
1630114794465,10.0
1630114838381,10.0
1630118800960,10.0
1630118922052,10.0
1630118926451,10.0
1630120169721,10.0
1630120206841,10.0
1630120575312,10.0
1630121622842,10.0
1630121629816,10.0
1630122323426,10.0
1630122385061,10.0
1630122432827,10.0
1630122456372,10.0
1630122795340,10.0
1630122950136,10.0
1630122987216,10.0
1630123021511,10.0
1630123039028,10.0
1630123066914,10.0
1630123104147,10.0
1630125417693,10.0
1630125520418,10.0
1630125843736,10.0
1630125966525,10.0
1630126419495,10.0
1630126663911,10.0
1630126688614,10.0
1630129708090,10.0
1630129724617,10.0
1630129749896,10.0
1630130942180,10.0
1630131256791,10.0
1630131366390,10.0
1630131445085,10.0
1630131522307,10.0
1630132023314,10.0
1630132067888,10.0
1630132088694,10.0
1630132097601,10.0
1630132148984,10.0
1630132178599,10.0
1630132224699,10.0
1630132534193,10.0
1630132664389,10.0
1630132696532,10.0
1630132706634,10.0
1630134633194,10.0
1630134640707,10.0
1630134675026,10.0
1630134693786,10.0
1630136445979,10.0
1630136762578,10.0
1630136767597,10.0
1630137165174,10.0
1630137169776,10.0
1630137181054,10.0
1630137198579,10.0
1630137224471,10.0
1630137233658,10.0
1630137830454,10.0
1630137904765,10.0
1630138043663,10.0
1630138701375,10.0
1630138884781,10.0
1630139844079,10.0
1630140380178,10.0
1630142010591,10.0
1630142282196,10.0
1630142294585,10.0
1630196755439,10.0
1630196781526,10.0
1630197038796,10.0
1630197397157,10.0
1630197525620,10.0
1630197856937,10.0
1630197969550,10.0
1630198139815,10.0
1630198477334,10.0
1630198518211,10.0
1630198556926,10.0
1630198572514,10.0
1630198701712,10.0
1630198728713,10.0
1630198738755,10.0
1630198744930,10.0
1630198799414,10.0
1630198937516,10.0
1630198966737,10.0
1630199010848,10.0
1630205363988,10.0
1630205385889,10.0
1630206811285,10.0
1630206828898,10.0
1630206869101,10.0
1630206903405,10.0
1630206961203,10.0
1630207002288,10.0
1630207012890,10.0
1630207016891,10.0
1630207214488,10.0
1630207678672,10.0
1630208113481,10.0
1630208163589,10.0
1630208167893,10.0
1630208512564,10.0
1630208554590,10.0
1630209353121,10.0
1630209366577,10.0
1630209719984,10.0
1630209777561,10.0
1630209825173,10.0
1630209866119,10.0
1630209937087,10.0
1630209971580,10.0
1630210063982,10.0
1630210434773,10.0
1630211595568,10.0
1630211922580,10.0
1630211997174,10.0
1630212021574,10.0
1630212321180,10.0
1630212344558,10.0
1630214763246,10.0
1630214799246,10.0
1630214808639,10.0
1630214818951,10.0
1630214913753,10.0
1630214955152,10.0
1630215419562,10.0
1630215429169,10.0
1630215561452,10.0
1630216141549,10.0
1630216331859,10.0
1630216823345,10.0
1630216975756,10.0
1630217340832,10.0
1630217357436,10.0
1630217503540,10.0
1630217690520,10.0
1630217737639,10.0
1630217762838,10.0
1630217780431,10.0
1630217791042,10.0
1630217812746,10.0
1630217823438,10.0
1630217883230,10.0
1630217909628,10.0
1630219426914,10.0
1630219457120,10.0
1630219508339,10.0
1630219519735,10.0
1630219526632,10.0
1630219624229,10.0
1630219833419,10.0
1630219964721,10.0
1630220257713,10.0
1630220266010,10.0
1630220371748,10.0
1630220516813,10.0
1630220935816,10.0
1630221185918,10.0
1630221256708,10.0
1630221327123,10.0
1630221408014,10.0
1630221918805,10.0
1630222149218,10.0
1630222515626,10.0
1630222685906,10.0
1630223154320,10.0
1630223307312,10.0
1630224990324,10.0
1630225393926,10.0
1630225602996,10.0
1630225746491,10.0
1630225779723,10.0
1630225807507,10.0
1630225850509,10.0
1630225855300,10.0
1630225867919,10.0
1630225877108,10.0
1630226423803,10.0
1630226434307,10.0
1630228866393,10.0
1630228884998,10.0
1630228890909,10.0
1630228986392,10.0
1630229048900,10.0
1630229065896,10.0
1630229079282,10.0
1630229132284,10.0
1630229400788,10.0
1630229420292,10.0
1630229448489,10.0
1630229508008,10.0
1630229519500,10.0
