Sensor,s_0
2278060044,8.0
2278091578,8.0
2278124696,8.0
2278154238,8.0
2278184409,8.0
2278224978,8.0
2278258947,8.0
2278292105,8.0
2278334686,8.0
2278373844,8.0
2278406700,8.0
2278436179,8.0
2278465151,8.0
2278506999,8.0
2278541203,8.0
2278575713,8.0
2278608893,8.0
2278642844,8.0
2278675707,8.0
2278709743,8.0
2278742294,8.025125
2278776230,8.024399
2278809981,8.022081
2278843525,8.019604
2278876324,8.018195
2278910182,8.016424
2278942832,8.01346
2278975777,8.010406
2279009954,8.007774
2279042931,8.005196
2279076820,8.002608
2279109857,8.000328
2279142769,7.998305
2279176742,7.996756
2279209977,7.994487
2279242907,7.991959
2279277156,7.989468
2279309963,7.988067
2279343794,7.985147
2279377085,7.98416
2279410120,7.98311
2279443600,7.981972
2279477007,7.980946
2279509812,7.980172
2279544045,7.978539
2279576776,7.977307
2279610829,7.976576
2279643868,7.97623
2279677041,7.975409
2279710624,7.974842
2279743770,7.97428
2279777083,7.974124
2279810188,7.973774
2279843470,7.973671
2279886602,7.973342
2279919347,7.973305
2279952078,7.973047
2279993726,7.972709
2280026783,7.972435
2280061040,7.972019
2280092838,7.971471
2280135770,7.971164
2280167581,7.970543
2280199446,7.970108
2280242636,7.969507
2280275705,7.968959
2280319940,7.968864
2280352712,7.968628
2280384321,7.96833
2280426694,7.967963
2280459747,7.967795
2280492894,7.967704
2280536927,7.967452
2280569716,7.967366
2280602521,7.967275
2280634014,7.967133
2280665596,7.966691
2280708722,7.966622
2280752887,7.9663640000000004
2280784510,7.96628
2280816291,7.966252
2280848859,7.966244
2280892851,7.965679
2280925759,7.965165
2280969904,7.964883
2281002825,7.964475
2281034437,7.963034
2281076573,7.96232
2281109854,7.960989
2281143951,7.958976
2281186865,7.956553
2281219947,7.95523
2281252903,7.950865
2281284640,7.948866
2281326465,7.945219
2281359877,7.941863
2281403940,7.93771
2281436895,7.93263
2281469898,7.930223
2281502678,7.927171
2281534443,7.920724
2281576649,7.916039
2281620576,7.910504
2281662099,7.90559
2281726787,7.898876
2281759880,7.891809
2281794050,7.890155
2281827010,7.889664
2281870887,7.889464
2281903677,7.889741
2281936384,7.890762
2281968072,7.891711
2282010827,7.893803
2282043978,7.897787
2282087799,7.903272
2282120919,7.910982
2282153880,7.914919
2282186907,7.917778
2282219935,7.922156
2282268774,7.926306
2282318773,7.929191
2282351515,7.931996
2282373400,7.933613
2282418805,7.936148
2282451548,7.938152
2282473529,7.939568
2282518853,7.941826
2282552198,7.943021
2282585566,7.94448
2282619001,7.945046
2282652299,7.9465
2282702509,7.947344
2282735085,7.948086
2282757119,7.948817
2282802604,7.949515
2282836090,7.950683
2282868395,7.95137
2282890483,7.951509
2282935739,7.951795
2282968433,7.95198
2282990497,7.95203
2283035820,7.95258
2283068525,7.952792
2283090718,7.953311
2283135880,7.954329
2283168586,7.954493
2283190637,7.954308
2283235878,7.954314
2283268625,7.953984
2283290836,7.953975
2283336026,7.953989
2283368622,7.954191
2283390680,7.95416
2283436010,7.954172
2283468726,7.954367
2283490955,7.954369
2283536156,7.954579
2283568717,7.954762
2283590857,7.954971
2283636148,7.955238
2283668824,7.955341
2283690894,7.955455
