Sensor,s_0
1613630400,74.51
1613630460,74.6983
1613630520,74.6583
1613630580,74.5983
1613630640,74.5017
1613630700,74.5967
1613630760,74.75
1613630820,74.7017
1613630880,74.7
1613630940,74.54
1613631000,74.2967
1613631060,74.2883
1613631120,74.2983
1613631180,74.4617
1613631240,74.5117
1613631300,74.5967
1613631360,74.5917
1613631420,74.5983
1613631480,74.525
1613631540,74.4483
1613631600,74.3167
1613631660,74.3
1613631720,74.3
1613631780,74.3
1613631840,74.3933
1613631900,74.42
1613631960,74.3633
1613632020,74.2433
1613632080,74.215
1613632140,74.2317
1613632200,74.355
1613632260,74.3983
1613632320,74.4883
1613632380,74.4967
1613632440,74.4333
1613632500,74.3433
1613632560,74.3
1613632620,74.3
1613632680,74.3
1613632740,74.3383
1613632800,74.4933
1613632860,74.4133
1613632920,74.2483
1613632980,74.3
1613633040,74.3017
1613633100,74.3
1613633160,74.2083
1613633220,74.0517
1613633280,73.9267
1613633340,73.915
1613633400,73.8717
1613633460,73.8017
1613633520,73.9517
1613633580,74.2117
1613633640,74.265
1613633700,74.2417
1613633760,74.2617
1613633820,74.2567
1613633880,74.295
1613633940,74.3
1613634000,74.235
1613634060,74.1417
1613634120,74.0783
1613634180,74.0217
1613634240,73.9183
1613634300,73.9233
1613634360,73.845
1613634420,73.855
1613634480,74.185
1613634540,74.3017
1613634600,74.3
1613634660,74.3
1613634720,74.32
1613634780,74.295
1613634840,74.22
1613634900,74.265
1613634960,73.9367
1613635020,74.0583
1613635080,74.1733
1613635140,74.1183
1613635200,74.0233
1613635260,74.0383
1613635320,74.0367
1613635380,74.0267
1613635440,73.84
1613635500,73.7967
1613635560,73.8
1613635620,73.78
1613635680,73.7583
1613635740,73.575
1613635800,73.6017
1613635860,73.575
1613635920,73.505
1613635980,73.7317
1613636040,73.8
1613636100,74.11
1613636160,74.2433
1613636220,73.9667
1613636280,73.8433
1613636340,73.7317
1613636400,73.5633
1613636460,73.5
1613636520,73.6433
1613636580,73.7467
1613636640,73.6
1613636700,73.5983
1613636760,73.6183
1613636820,73.7833
1613636880,73.8
1613636940,73.8
1613637000,73.78
1613637060,73.6233
1613637120,73.5983
1613637180,73.6733
1613637240,73.8517
1613637300,73.8267
1613637360,73.85
1613637420,73.8117
1613637480,73.8283
1613637540,73.9017
1613637600,73.6933
1613637660,73.6117
1613637720,73.7883
1613637780,73.7783
1613637840,73.6767
1613637900,73.9333
1613637960,73.8967
1613638020,73.7567
1613638080,73.6633
1613638140,74.8067
1613638200,74.7283
1613638260,74.5667
1613638320,74.6967
1613638380,74.6667
1613638440,74.6617
1613638500,74.6533
1613638560,74.4567
1613638620,74.52
1613638680,74.705
1613638740,74.6617
1613638800,74.415
1613638860,74.4
1613638920,74.4617
1613638980,74.4983
1613639040,74.51
1613639100,74.525
1613639160,74.8033
1613639220,74.8133
1613639280,74.9067
1613639340,74.68
1613639400,74.6633
1613639460,74.4433
1613639520,74.1783
1613639580,74.02
1613639640,74.0633
1613639700,74.0183
1613639760,74.0717
