Sensor,s_0
0,237.2737
309,245.6323
618,245.3888
926,245.1461
1234,244.9121
1544,244.8361
1854,244.7602
2163,244.6845
2472,244.6624
2781,244.6519
3090,244.6414
3397,244.6238
3707,244.6008
4014,244.578
4324,244.5654
4635,244.5726
4944,244.5797
5254,244.5751
5562,244.4818
5871,244.3881
6179,244.2948
6488,244.3413
6795,244.4076
7105,244.4746
7415,244.4555
7724,244.3872
8034,244.3187
8343,244.2669
8651,244.2395
8961,244.2119
9271,244.1868
9577,244.1739
9886,244.1609
10195,244.148
10504,244.2508
10812,244.3626
11120,244.4744
11430,244.376
11738,244.1814
12047,243.9861
12354,243.8819
12663,243.8909
12972,243.8999
13281,243.9387
13589,244.0936
13898,244.249
14208,244.405
14516,244.4598
14825,244.5114
15134,244.563
15444,244.464
15751,244.3105
16059,244.156
16367,244.0462
16679,243.9825
16986,243.9196
17296,243.9037
17605,244.0295
17914,244.1553
18224,244.277
18531,244.1748
18841,244.0715
19150,243.9686
19459,244.0301
19767,244.1376
20077,244.2458
20386,244.2498
20695,244.1667
21005,244.0833
21312,244.0243
21622,244.0187
21929,244.0132
22239,244.0094
22548,244.0304
22857,244.0515
23167,244.0725
23474,244.1387
23784,244.2147
24094,244.2906
24403,244.1948
24712,243.9841
25021,243.7734
25330,243.6456
25640,243.6639
25949,243.6821
26259,243.7218
26568,243.901
26877,244.0802
27186,244.2594
27494,244.092
27804,243.883
28111,243.6761
28421,243.7171
28729,243.8886
29038,244.0607
29346,244.1444
29655,244.1042
29965,244.0639
30274,244.0262
30582,243.9997
30891,243.9731
31200,243.9465
31509,243.9261
31819,243.9059
32127,243.8859
32436,243.8438
32744,243.7927
33054,243.7412
33364,243.756
33672,243.8446
33980,243.9333
34291,243.9847
34599,243.9127
34908,243.8405
35218,243.768
35527,243.8962
35834,244.0236
36143,244.1519
36453,244.1999
36762,244.2222
37072,244.2445
37381,244.1927
37691,244.0743
38000,243.9563
38307,243.8666
38617,243.8443
38925,243.8221
39234,243.7991
39542,243.7631
39851,243.7269
40160,243.6908
40469,243.7234
40779,243.7721
41087,243.8204
41396,243.8063
41704,243.7462
42012,243.6862
42321,243.693
42630,243.8339
42939,243.9748
43248,244.0889
43557,243.9542
43867,243.819
44174,243.6852
44483,243.7442
44793,243.8356
45102,243.9268
45412,244.0066
45719,244.0787
46029,244.1516
46339,244.1574
46648,244.0588
46958,243.9599
47265,243.8779
47575,243.8841
47884,243.8903
48194,243.8965
48502,243.9092
48812,243.9225
49120,243.9358
49429,243.9111
49740,243.8685
50047,243.8264
50357,243.8102
50665,243.8262
50974,243.8423
51284,243.8422
51593,243.7822
51903,243.7221
52211,243.6624
52517,243.7809
52826,243.9048
53134,244.0283
53443,243.9943
53753,243.901
54060,243.8086
54369,243.8379
54679,243.9956
54986,244.1519
55296,244.2854
55605,244.3466
55913,244.4076
56222,244.4671
56530,244.3959
56840,244.3243
57149,244.2529
57457,244.1682
57766,244.0792
58076,243.9899
58385,243.9144
58695,243.8503
59004,243.7863
59312,243.7371
59621,243.721
59930,243.705
60238,243.6942
60547,243.7597
60856,243.8253
61166,243.891
61475,243.9179
61783,243.937
62092,243.9562
62400,243.992
62710,244.0398
63020,244.0875
63328,244.0802
63637,243.9739
63947,243.8672
64257,243.8016
64565,244.0197
64873,244.2377
65179,244.4544
65488,244.2501
65797,243.9846
66108,243.7175
66416,243.6026
66726,243.5707
67035,243.5388
67344,243.599
67652,243.7921
67961,243.9859
68270,244.1282
68578,244.0167
68884,243.9059
69195,243.7933
69504,243.7652
69814,243.7438
70124,243.7225
70433,243.81
70741,243.9446
71050,244.0796
71358,244.1505
71667,244.1449
71975,244.1394
72284,244.1379
72591,244.1514
72900,244.165
73210,244.1786
73519,244.0908
73828,244.0003
74136,243.91
74445,243.854
74753,243.8106
75062,243.767
75372,243.7864
75680,243.8693
75990,243.9527
76300,244.0101
76608,243.9953
76918,243.9804
77227,243.965
77537,243.929
77846,243.8932
78155,243.8573
78463,243.9117
78772,243.9896
79082,244.0677
79390,244.0368
79698,243.9201
80004,243.8041
80314,243.7407
80622,243.7973
80931,243.8542
81241,243.9038
81550,243.8602
81858,243.8168
82164,243.7736
82473,243.7209
82783,243.666
83092,243.6113
83402,243.6501
83709,243.752
84019,243.8549
84329,243.9062
84639,243.865
84949,243.8238
85257,243.7997
85565,243.8924
85875,243.9858
86182,244.0782
86492,244.0783
86802,244.0662
87112,244.0541
87421,244.0723
87731,244.1064
88040,244.1404
88350,244.1735
88659,244.205
88969,244.2366
89277,244.2493
89586,244.1829
89895,244.1164
90203,244.0502
90513,243.9352
90823,243.8177
91130,243.7014
91440,243.741
91749,243.8427
92059,243.9447
92367,243.9474
92675,243.8448
92983,243.7423
93292,243.668
93602,243.6847
