Sensor,s_0
1570409160,5.241857529
1570409220,5.107102394
1570409280,5.217328072
1570409340,5.228615761
1570409400,5.173413754
1570409460,5.103224754
1570409520,5.213545799
1570409580,5.214575291
1570409640,5.131588459
1570409700,5.171795368
1570409760,5.234830856
1570409820,5.196708202
1570409880,5.249819279
1570409940,5.252902508
1570410000,5.238634109
1570410060,5.227240562
1570410120,5.212973595
1570410180,5.23681879
1570410240,5.256464481
1570410300,5.251721382
1570410360,5.195448399
1570410420,5.1039114
1570410480,5.060043335
1570410540,5.14729929
1570410600,4.980987072
1570410660,5.13653326
1570410720,5.105519295
1570410780,5.221649647
1570410840,5.191187382
1570410900,5.155125141
1570410960,5.239780426
1570411020,4.997779369
1570411080,5.18119669
1570411140,5.07632637
1570411200,5.114328861
1570411260,5.161646843
1570411320,5.13348484
1570411380,5.150128365
1570411440,5.162665844
1570411500,5.109862804
1570411560,5.091315269
1570411620,5.119632244
1570411680,5.180119991
1570411740,5.239226818
1570411800,5.197967529
1570411860,5.346138477
1570411920,5.196251869
1570411980,5.254761696
1570412040,5.122886181
1570412100,4.999878883
1570412160,5.040500164
1570412220,5.131207943
1570412280,5.1868186
1570412340,5.130451202
1570412400,5.13943243
1570412460,5.123370171
1570412520,5.073953629
1570412580,5.21637249
1570412640,5.127177715
1570412700,5.076492786
1570412760,5.154090405
1570412820,5.120119572
1570412880,5.087992668
1570412940,4.945360184
1570413000,5.08779335
1570413060,5.160254478
1570413120,5.155026913
1570413180,5.449716091
1570413240,5.076578617
1570413300,5.120697498
1570413360,5.112363338
1570413420,4.983237267
1570413480,5.097694397
1570413540,5.239108562
1570413600,5.181219578
1570413660,5.260629177
1570413720,5.08462286
1570413780,5.101527214
1570413840,5.250651836
1570413900,5.081531525
1570413960,5.032364845
1570414020,5.22595644
1570414080,4.805985928
1570414140,5.211865902
1570414200,4.985106468
1570414260,5.110568523
1570414320,5.200716496
1570414380,5.233425617
1570414440,5.215499401
1570414500,5.042663574
1570414560,5.101057053
1570414620,5.028559208
1570414680,5.148727894
1570414740,5.08334589
1570414800,5.094310284
1570414860,5.159956455
1570414920,4.982224464
1570414980,5.196799278
1570415040,5.253107071
1570415100,5.244951248
1570415160,5.033292294
1570415220,5.243826866
1570415280,5.249573231
1570415340,5.226180077
1570415400,5.027029991
1570415460,5.24322176
1570415520,5.147107601
1570415580,5.155288219
1570415640,5.153465271
1570415700,5.156466007
1570415760,5.081056595
1570415820,5.019306183
1570415880,5.087811947
1570415940,5.147353649
1570416000,5.168363094
1570416060,5.084225178
1570416120,5.126930714
1570416180,5.262244225
1570416240,5.013118267
1570416300,5.202834606
1570416360,5.067878723
1570416420,5.188169479
1570416480,5.204362869
1570416540,5.004275322
1570416600,5.148217678
1570416660,5.098320961
1570416720,5.101382256
1570416780,5.123935699
1570416840,5.130123138
1570416900,5.13693285
1570416960,5.011983395
1570417020,5.154525757
1570417080,5.235823154
1570417140,5.1909132
1570417200,5.246294498
1570417260,5.261125088
1570417320,5.155380726
1570417380,5.146059036
1570417440,5.221071243
1570417500,5.089761734
1570417560,5.160133839
1570417620,5.254778862
1570417680,5.247303963
1570417740,5.167859077
1570417800,5.184846401
1570417860,5.234135628
1570417920,5.263137341
1570417980,5.013377666
1570418040,5.202914715
1570418100,5.25891161
1570418160,5.226027489
1570418220,5.192905426
1570418280,5.117081642
1570418340,5.303837299
1570418400,5.080105305
1570418460,5.319094181
1570418520,5.081869602
1570418580,5.155974388
1570418640,5.166437149
1570418700,5.097266197
1570418760,5.080920219
1570418820,5.159823418
1570418880,5.108288288
1570418940,5.138391495
1570419000,5.09526968
1570419060,5.094027042
1570419120,5.102680683
1570419180,5.098389626
1570419240,5.111153126
1570419300,5.167738438
1570419360,5.140631676
1570419420,4.935350418
1570419480,5.120550632
1570419540,5.105854988
1570419600,5.224341869
1570419660,5.200073242
1570419720,5.086643696
1570419780,5.113191128
1570419840,5.010808945
1570419900,5.245312214
1570419960,4.918259144
1570420020,5.255558014
1570420080,5.237245083
1570420140,5.273841858
1570420200,5.180397034
1570420260,5.120594025
1570420320,5.092859745
1570420380,5.16521883
1570420440,5.13752079
1570420500,5.192058563
1570420560,5.114675045
1570420620,5.207649231
1570420680,5.210822582
1570420740,5.245752811
1570420800,5.010656357
1570420860,5.167298317
1570420920,5.081729412
1570420980,5.088356972
1570421040,5.163894653
1570421100,5.096135616
1570421160,5.103798866
1570421220,5.355143547
1570421280,5.136749744
1570421340,5.200692654
1570421400,4.978452682
1570421460,5.238465786
1570421520,5.173025608
1570421580,5.20670414
1570421640,5.164710999
1570421700,5.08536911
1570421760,5.122924805
1570421820,5.087037563
1570421880,4.938297272
1570421940,5.083501339
1570422000,5.138489723
1570422060,5.203816414
1570422120,5.155872822
1570422180,5.134524345
1570422240,4.96130991
1570422300,5.242002964
1570422360,5.046590805
1570422420,5.087268829
1570422480,5.222304344
1570422540,5.190463066
1570422600,5.261465073
1570422660,5.174541473
1570422720,5.224143982
1570422780,5.172592163
1570422840,5.22383976
1570422900,5.212912083
1570422960,5.191772938
1570423020,5.118819714
1570423080,5.230714798
1570423140,5.169248104
1570423200,5.201445103
1570423260,5.234345913
1570423320,5.192085266
1570423380,5.18670845
1570423440,5.223700047
1570423500,5.213513851
1570423560,5.244812489
1570423620,5.383064747
1570423680,5.25932312
1570423740,5.031272888
1570423800,5.093720913
1570423860,5.40801096
1570423920,5.214761734
1570423980,5.177198887
1570424040,4.939227581
1570424100,5.257254601
1570424160,5.022712231
1570424220,5.195575237
1570424280,5.175025463
1570424340,5.233902454
1570424400,5.093332291
1570424460,5.146402359
1570424520,5.140777588
1570424580,4.981990814
1570424640,4.995561123
1570424700,4.753706455
1570424760,5.19733429
1570424820,5.138422012
1570424880,5.054546356
1570424940,5.103106499
1570425000,5.234623432
1570425060,5.216175556
1570425120,5.149251461
1570425180,5.063697338
1570425240,4.943987846
1570425300,5.129141331
1570425360,5.164264202
1570425420,5.159054279
1570425480,5.08608532
1570425540,5.09346199
1570425600,5.127724171
1570425660,5.217197418
1570425720,5.152365208
1570425780,5.16089344
1570425840,5.097967625
1570425900,5.172677517
1570425960,5.226391792
1570426020,5.153527737
1570426080,5.09471941
1570426140,5.20662117
1570426200,5.17467308
1570426260,5.165219307
1570426320,5.19248867
1570426380,5.203167915
1570426440,5.218324661
1570426500,5.19797039
1570426560,5.202710629
1570426620,5.169911861
1570426680,5.009319782
1570426740,5.233734608
1570426800,5.171267509
1570426860,5.257070541
1570426920,5.181263447
1570426980,4.803744793
1570427040,5.016489983
1570427100,5.145024776
1570427160,4.89447403
1570427220,5.020226955
1570427280,5.253630161
1570427340,5.214844227
1570427400,5.02833128
1570427460,5.255818367
1570427520,5.060653687
1570427580,5.216464996
1570427640,5.250419617
1570427700,5.260468483
1570427760,5.094566345
1570427820,5.221897602
1570427880,5.241603374
1570427940,5.128881931
1570428000,5.070258617
1570428060,5.106502056
1570428120,4.997742653
1570428180,4.974400997
1570428240,5.139792919
1570428300,5.040202141
1570428360,5.073990345
1570428420,5.010654449
1570428480,5.136088371
1570428540,5.070782661
1570428600,5.104857445
1570428660,5.028785229
1570428720,5.062210083
1570428780,5.102041245
1570428840,5.12902832
1570428900,5.142822742
1570428960,5.120022774
1570429020,5.243163586
1570429080,5.141853333
1570429140,5.018199444
1570429200,5.246743202
1570429260,5.139634132
1570429320,5.192756653
1570429380,4.917253494
1570429440,5.054343224
1570429500,5.216031551
1570429560,5.242723942
1570429620,5.348596573
1570429680,4.950318336
1570429740,5.198422909
1570429800,5.22260046
1570429860,5.159311771
1570429920,5.062469482
1570429980,4.867355824
1570430040,5.180772781
1570430100,5.149551392
1570430160,5.199907303
1570430220,5.175265312
1570430280,5.26342392
1570430340,4.993770123
1570430400,5.250370026
1570430460,5.259487629
1570430520,5.151241302
1570430580,5.145886421
1570430640,5.009912968
1570430700,5.087033749
1570430760,5.080855846
1570430820,5.078714848
1570430880,5.125695229
1570430940,5.092794895
1570431000,5.143187523
1570431060,5.081447124
1570431120,5.093341351
1570431180,5.20823431
1570431240,5.119080544
1570431300,5.331671715
1570431360,5.14449358
1570431420,5.126387119
1570431480,5.178562641
1570431540,5.001299381
1570431600,5.129689217
1570431660,5.088370323
1570431720,5.619279385
1570431780,5.109541416
1570431840,5.104992867
1570431900,5.006052971
1570431960,5.142348289
1570432020,5.121222019
1570432080,5.137823105
1570432140,5.234401226
1570432200,5.138440132
1570432260,5.163510323
1570432320,5.155770779
1570432380,5.128958702
1570432440,5.161892414
1570432500,5.091748714
1570432560,5.140953064
1570432620,5.095491886
1570432680,5.116519928
