Sensor,s_0
1546272000000,1143.0
1546272300000,1140.8
1546272600000,1138.8
1546272900000,1137.0
1546273200000,1137.0
1546273500000,1137.0
1546273800000,1137.0
1546274100000,1137.0
1546274400000,1137.2
1546274700000,1138.0
1546275000000,1138.0
1546275300000,1138.0
1546275600000,1138.0
1546275900000,1138.0
1546276200000,1138.0
1546276500000,1138.0
1546276800000,1138.0
1546277100000,1138.0
1546277400000,1138.0
1546277700000,1138.0
1546278000000,1138.0
1546278300000,1138.0
1546278600000,1138.0
1546278900000,1138.0
1546279200000,1138.0
1546279500000,1138.0
1546279800000,1138.0
1546280100000,1138.0
1546280400000,1138.0
1546280700000,1138.0
1546281000000,1138.0
1546281300000,1138.8
1546281600000,1139.0
1546281900000,1139.0
1546282200000,1138.8
1546282500000,1138.0
1546282800000,1138.0
1546283100000,1138.0
1546283400000,1138.0
1546283700000,1138.0
1546284000000,1139.0
1546284300000,1139.0
1546284600000,1139.0
1546284900000,1139.0
1546285200000,1139.0
1546285500000,1137.8
1546285800000,1135.2
1546286100000,1132.8
1546286400000,1132.2
1546286700000,1134.8
1546287000000,1137.2
1546287300000,1139.0
1546287600000,1139.0
1546287900000,1139.0
1546288200000,1139.0
1546288500000,1139.0
1546288800000,1139.0
1546289100000,1139.0
1546289400000,1139.0
1546289700000,1139.0
1546290000000,1139.0
1546290300000,1139.0
1546290600000,1139.0
1546290900000,1139.0
1546291200000,1139.0
1546291500000,1139.0
1546291800000,1139.0
1546292100000,1139.2
1546292400000,1140.0
1546292700000,1140.0
1546293000000,1140.0
1546293300000,1140.0
1546293600000,1140.0
1546293900000,1139.4
1546294200000,1139.0
1546294500000,1139.0
1546294800000,1139.8
1546295100000,1140.0
1546295400000,1140.0
1546295700000,1140.0
1546296000000,1140.0
1546296300000,1140.0
1546296600000,1140.0
1546296900000,1140.0
1546297200000,1140.0
1546297500000,1140.0
1546297800000,1140.0
1546298100000,1140.0
1546298400000,1140.0
1546298700000,1140.0
1546299000000,1140.0
1546299300000,1140.0
1546299600000,1140.0
1546299900000,1139.2
1546300200000,1137.2
1546300500000,1134.8
1546300800000,1134.2
1546301100000,1136.4
1546301400000,1138.8
1546301700000,1139.2
1546302000000,1136.8
1546302300000,1134.8
1546302600000,1134.2
1546302900000,1136.8
1546303200000,1139.4
1546303500000,1141.0
1546303800000,1141.0
1546304100000,1141.0
1546304400000,1141.6
1546304700000,1143.2
1546305000000,1144.6
1546305300000,1144.8
1546305600000,1143.4
1546305900000,1142.0
1546306200000,1141.0
1546306500000,1141.0
1546306800000,1141.0
1546307100000,1141.0
1546307400000,1141.0
1546307700000,1141.0
1546308000000,1141.0
1546308300000,1141.0
1546308600000,1141.0
1546308900000,1141.0
1546309200000,1141.0
1546309500000,1141.8
1546309800000,1142.0
1546310100000,1142.0
1546310400000,1142.0
1546310700000,1142.0
1546311000000,1142.0
1546311300000,1142.0
1546311600000,1142.0
1546311900000,1142.0
1546312200000,1142.0
1546312500000,1142.0
1546312800000,1142.0
1546313100000,1142.0
1546313400000,1142.0
1546313700000,1142.0
1546314000000,1142.0
1546314300000,1142.0
1546314600000,1142.0
1546314900000,1142.0
1546315200000,1142.0
1546315500000,1142.0
1546315800000,1142.0
1546316100000,1142.0
1546316400000,1142.0
1546316700000,1142.0
1546317000000,1142.0
1546317300000,1142.0
1546317600000,1142.0
1546317900000,1143.0
1546318200000,1143.0
1546318500000,1143.0
1546318800000,1143.0
1546319100000,1143.0
1546319400000,1143.0
1546319700000,1143.0
1546320000000,1143.0
1546320300000,1143.0
1546320600000,1143.0
1546320900000,1143.0
1546321200000,1143.0
1546321500000,1143.0
1546321800000,1143.0
1546322100000,1143.0
1546322400000,1143.0
1546322700000,1143.0
1546323000000,1143.0
1546323300000,1143.0
1546323600000,1143.0
1546323900000,1143.0
1546324200000,1142.8
1546324500000,1143.0
1546324800000,1143.0
1546325100000,1143.0
1546325400000,1143.0
1546325700000,1143.0
1546326000000,1143.0
1546326300000,1143.0
1546326600000,1143.0
1546326900000,1142.8
1546327200000,1141.0
1546327500000,1139.4
1546327800000,1138.8
1546328100000,1140.2
1546328400000,1141.4
1546328700000,1141.4
1546329000000,1139.4
