Sensor,s_0
1627429226124,8.0
1627430162301,8.0
1627430427508,8.0
1627430595581,8.0
1627431186477,8.0
1627431513168,8.0
1627432516666,8.0
1627433465789,8.0
1627434756845,8.0
1627434839152,8.0
1627437058639,8.0
1627437081348,8.0
1627437098837,8.0
1627437984629,8.0
1627438428243,8.0
1627438620725,8.0
1627438816616,8.0
1627439135408,8.0
1627439526379,8.0
1627439633216,8.0
1627441574022,8.0
1627441620243,8.0
1627442542867,8.0
1627442841645,8.0
1627443157990,8.0
1627443665885,8.0
1627444463785,8.0
1627444480085,8.0
1627444510692,8.0
1627444670190,8.0
1627444672195,8.0
1627445171857,8.0
1627446107276,8.0
1627446120578,8.0
1627446410593,8.0
1627447387647,8.0
1627447533078,8.0
1627447576691,8.0
1627447611002,8.0
1627447760398,8.0
1627447895900,8.0
1627447905700,8.0
1627448221979,8.0
1627448275679,8.0
1627448298179,8.0
1627448368291,8.0
1627459095589,8.0
1627459101489,8.0
1627459397402,8.0
1627459400405,8.0
1627460188474,8.0
1627460635572,8.0
1627460721690,8.0
1627460790482,8.0
1627461548014,8.0
1627461606679,8.0
1627461673472,8.0
1627462042146,8.0
1627462054273,8.0
1627462357492,8.0
1627462465751,8.0
1627463033278,8.0
1627463296740,8.0
1627463827284,8.0
1627464007380,8.0
1627464020782,8.0
1627464038269,8.0
1627464326274,8.0
1627511089062,8.0
1627511129965,8.0
1627514037219,8.0
1627515187428,8.0
1627515310816,8.0
1627515331747,8.0
1627515609444,8.0
1627515615328,8.0
1627516569114,8.0
1627516814016,8.0
1627516999611,8.0
1627517124312,8.0
1627517987609,8.0
1627518006238,8.0
1627518010101,8.0
1627518060227,8.0
1627523635588,8.0
1627523689207,8.0
1627523901708,8.0
1627524222523,8.0
1627590676081,8.0
1627590732407,8.0
1627592306359,8.0
1627593505156,8.0
1627593667649,8.0
1627594357596,8.0
1627594394374,8.0
1627594448956,8.0
1627594474565,8.0
1627595014736,8.0
1627597172554,8.0
1627597646528,8.0
1627597846545,8.0
1627597883923,8.0
1627597903642,8.0
1627597968058,8.0
1627597992029,8.0
1627598003222,8.0
1627604326826,8.0
1627604924316,8.0
1627604932693,8.0
1627604951493,8.0
1627604979808,8.0
1627605893231,8.0
1627605964322,8.0
1627606698285,8.0
1627606737793,8.0
1627606757281,8.0
1627606761935,8.0
1627606777880,8.0
1627608028704,8.0
1629708715851,8.0
1629708723369,8.0
1629842160274,8.0
1629842163482,8.0
1629842187156,8.0
1629842259685,8.0
1629842295961,8.0
1629843778928,8.0
1629843788607,8.0
1629844536317,8.0
1629845079787,8.0
1629845124559,8.0
1629845175463,8.0
1629845343059,8.0
1629845368460,8.0
1629845473583,8.0
1629845490704,8.0
1629845548664,8.0
1629846024266,8.0
1629846083890,8.0
1629854112566,8.0
1629854130900,8.0
1629854166112,8.0
1629854184837,8.0
1629854278594,8.0
1629855392918,8.0
1629859500295,8.0
1629860228264,8.0
1629860242983,8.0
1629860246161,8.0
1629860380926,8.0
1629860418973,8.0
1629860572346,8.0
