Sensor,s_0
2924549909,1.0
2924568574,1.0
2924616669,1.0
2924649353,1.0
2924668824,1.0
2924716766,1.0
2924749372,1.0
2924768872,1.0
2924816706,1.0
2924849446,1.0
2924868860,1.0
2924916843,1.0
2924949462,1.0
2924968932,1.0
2925016812,1.0
2925049545,1.0
2925070360,1.0
2925116929,1.0
2925149482,1.0
2925170257,1.0
2925216908,1.032492
2925249598,1.032055
2925271052,1.031963
2925317012,1.031927
2925349660,1.03174
2925371080,1.031664
2925416959,1.031608
2925449743,1.031548
2925471194,1.031541
2925517056,1.031543
2925549705,1.031469
2925571182,1.031355
2925617107,1.031209
2925649840,1.031043
2925671251,1.030968
2925717187,1.0308060000000001
2925749856,1.030723
2925771259,1.030631
2925817163,1.030608
2925849962,1.030609
2925871456,1.030568
2925917291,1.030443
2925949979,1.030482
2925971404,1.030432
2926017284,1.030358
2926050026,1.030358
2926071417,1.030317
2926117386,1.030109
2926150068,1.030174
2926171484,1.030254
2926217396,1.030068
2926250096,1.029958
2926271524,1.029848
2926317446,1.029756
2926350103,1.02971
2926371660,1.029623
2926417483,1.029241
2926450226,1.02906
2926471679,1.028853
2926517533,1.028549
2926550242,1.027315
2926571605,1.025945
2926617575,1.024577
2926650297,1.021735
2926671723,1.019129
2926717713,1.016369
2926750346,1.011125
2926772054,1.007146
2926817683,1.002715
2926850367,0.995706
2926871759,0.98813
2926917759,0.983154
2926950390,0.974735
2926971917,0.967088
2927017791,0.961909
2927050468,0.957352
2927071945,0.953071
2927117824,0.949479
2927150493,0.946662
2927172360,0.943415
2927217867,0.940132
2927250564,0.93826
2927272393,0.9358960000000001
2927317931,0.9344129999999999
2927350587,0.933826
2927372452,0.933236
2927417976,0.933519
2927450673,0.935003
2927472708,0.936568
2927518178,0.940398
2927550687,0.9452160000000001
2927572820,0.948309
2927618160,0.953697
2927650826,0.959288
2927672605,0.962271
2927718236,0.966034
2927750842,0.967321
2927772732,0.968467
2927818150,0.970261
2927850930,0.971492
2927872850,0.974786
2927918236,0.975997
2927950966,0.978401
2927973001,0.980123
2928018245,0.982728
2928050994,0.983654
2928072918,0.983893
2928118325,0.985239
2928151023,0.985866
2928172889,0.984906
2928218382,0.983685
2928251114,0.982948
2928272963,0.981998
2928318457,0.981547
2928351123,0.980873
2928373056,0.980237
2928418476,0.979285
2928451166,0.977407
2928473192,0.976185
2928518590,0.975271
2928551188,0.971832
2928573207,0.970416
2928618558,0.9669490000000001
2928651262,0.965817
2928673405,0.963846
2928718631,0.962264
2928751274,0.959959
2928773254,0.957695
2928818670,0.955423
2928851406,0.952593
2928873475,0.95116
2928918731,0.950354
2928951382,0.949375
2928973310,0.948418
2929018713,0.947176
2929051459,0.946012
2929073405,0.94473
2929118845,0.943196
2929151523,0.940349
2929173526,0.938378
2929218862,0.936439
2929251607,0.934301
2929273801,0.931662
2929319003,0.929435
2929351625,0.927347
2929373601,0.925472
2929418963,0.923137
2929451707,0.919725
2929473693,0.917859
2929519021,0.916889
2929551663,0.917832
2929573479,0.91738
2929619063,0.915915
2929651757,0.916251
2929673763,0.916227
2929719169,0.916353
2929751779,0.915044
2929773712,0.913378
2929819119,0.913289
2929851903,0.914501
2929873838,0.91638
2929919254,0.9179390000000001
2929951872,0.919759
2929973812,0.923234
2930019265,0.925574
2930051954,0.927423
2930073948,0.930169
2930119365,0.932527
2930152022,0.934177
2930174005,0.936267
2930219321,0.9377
2930252087,0.938838
2930274140,0.940215
2930319402,0.941526
2930352099,0.941812
2930374024,0.942213
2930419460,0.942872
2930452182,0.942915
2930474253,0.942935
2930519500,0.943105
2930552206,0.942918
2930574274,0.9427
2930619558,0.941571
2930652294,0.940087
2930674227,0.938326
2930719610,0.9372739999999999
2930752339,0.935842
2930774262,0.935185
2930819660,0.933625
2930852429,0.931588
2930874376,0.928633
2930919674,0.926326
2930952400,0.925057
2930974512,0.924262
2931019748,0.921411
2931052535,0.920146
2931074469,0.919714
2931119778,0.919268
2931152497,0.918873
2931174409,0.918607
2931219831,0.917778
2931252616,0.917511
2931274588,0.916647
2931319872,0.916607
2931352592,0.915796
2931374648,0.915597
2931419976,0.915376
2931452679,0.915529
2931474649,0.91575
2931519989,0.915482
2931552640,0.915635
2931574516,0.915099
2931620008,0.913799
2931652769,0.913103
2931674575,0.913515
2931720128,0.914658
2931752751,0.915992
2931774519,0.917149
2931806306,0.919097
2931839084,0.922555
2931871830,0.92536
2931913743,0.927448
2931946369,0.929507
2931981260,0.93119
2932013535,0.935942
2932046691,0.938679
2932080491,0.943978
2932113619,0.951375
2932146466,0.956831
2932180717,0.961527
2932213979,0.966907
2932246474,0.972236
2932280456,0.97855
2932313604,0.982951
2932346308,0.986535
2932380610,0.989382
2932413419,0.995812
2932446544,0.999705
2932480270,1.004948
2932513566,1.007725
