Sensor,s_0
1613030400,56.3267
1613030460,56.396699999999996
1613030520,56.4033
1613030580,56.3433
1613030640,56.2967
1613030700,56.356700000000004
1613030760,56.478300000000004
1613030820,56.515
1613030880,56.411699999999996
1613030940,56.3
1613031000,56.30500000000001
1613031060,56.32170000000001
1613031120,56.2967
1613031180,56.165000000000006
1613031240,56.209999999999994
1613031300,56.318299999999994
1613031360,56.435
1613031420,56.3917
1613031480,56.398300000000006
1613031540,56.511700000000005
1613031600,56.618300000000005
1613031660,56.495000000000005
1613031720,56.435
1613031780,56.4983
1613031840,56.4983
1613031900,56.491699999999994
1613031960,56.415000000000006
1613032020,56.4717
1613032080,56.385000000000005
1613032140,56.3
1613032200,56.3017
1613032260,56.31
1613032320,56.30500000000001
1613032380,56.33669999999999
1613032440,56.4267
1613032500,56.415000000000006
1613032560,56.405
1613032620,56.363299999999995
1613032680,56.405
1613032740,56.4417
1613032800,56.465
1613032860,56.485
1613032920,56.481700000000004
1613032980,56.4217
1613033040,56.5333
1613033100,56.66
1613033160,56.6233
1613033220,56.66330000000001
1613033280,56.59
1613033340,56.53
1613033400,56.5433
1613033460,56.57170000000001
1613033520,56.53830000000001
1613033580,56.545
1613033640,56.495000000000005
1613033700,56.4833
1613033760,56.45
1613033820,56.44499999999999
1613033880,56.45
1613033940,56.4517
1613034000,56.42829999999999
1613034060,56.5517
1613034120,56.463300000000004
1613034180,56.41330000000001
1613034240,56.44670000000001
1613034300,56.4083
1613034360,56.396699999999996
1613034420,56.401700000000005
1613034480,56.400000000000006
1613034540,56.398300000000006
1613034600,56.41
1613034660,56.42
1613034720,56.366699999999994
1613034780,56.3283
1613034840,56.34
1613034900,56.3
1613034960,56.3
1613035020,56.3
1613035080,56.306700000000006
1613035140,56.3017
1613035200,56.3
1613035260,56.2817
1613035320,56.2367
1613035380,56.2217
1613035440,56.1117
1613035500,55.988299999999995
1613035560,56.040000000000006
1613035620,56.1233
1613035680,56.28
1613035740,56.28830000000001
1613035800,56.256699999999995
1613035860,56.2067
1613035920,56.286699999999996
1613035980,56.3
1613036040,56.3
1613036100,56.265
1613036160,56.261700000000005
1613036220,56.253299999999996
1613036280,56.2067
1613036340,56.19670000000001
1613036400,56.106700000000004
