Sensor,s_0
0,-0.5348999999999999
309,27.1014
618,49.6275
926,62.834900000000005
1234,58.0947
1544,63.869699999999995
1854,57.6173
2163,61.83069999999999
2472,59.909
2781,56.3791
3090,50.2965
3397,58.498
3707,55.482
4014,57.6173
4324,56.3791
4635,51.3634
4944,55.482
5254,50.6684
5562,53.9038
5871,50.2965
6179,51.6851
6488,48.9744
6795,48.0519
7105,52.076
7415,47.4357
7724,51.3634
8034,46.8337
8343,50.6684
8651,50.6684
8961,46.5111
9271,46.5111
9577,49.3287
9886,49.3287
10195,44.8064
10504,48.6827
10812,44.0198
11120,48.0519
11430,44.0198
11738,46.8337
12047,45.9301
12354,46.8337
12663,43.7312
12972,46.2454
13281,42.4735
13589,46.2454
13898,42.2028
14208,42.2028
14516,41.7144
14825,41.4958
15134,44.8064
15444,41.0218
15751,44.5579
16059,40.7674
16367,44.5579
16679,40.3081
16986,43.7312
17296,41.2361
17605,39.8579
17914,43.2109
18224,40.1024
18531,41.9796
18841,40.3081
19150,39.2189
19459,38.5596
19767,-3.3167999999999997
20077,-3.8712
20386,-3.8841
20695,-3.8864
21005,-3.8872
21312,-3.8877
21622,-3.8881
21929,-3.8885
22239,-3.8887
22548,-3.889
22857,-3.8891
23167,-3.8892
23474,-3.8895
23784,-3.8898
24094,-3.8898
24403,-3.8899
24712,-3.9411
25021,0.2770999999999999
25330,30.244799999999998
25640,50.6684
25949,62.2834
26259,58.989
26568,55.9272
26877,61.83069999999999
27186,55.482
27494,61.2954
27804,55.116
28111,60.335899999999995
28421,53.5565
28729,58.0947
29038,52.8068
29346,55.9272
29655,51.6851
29965,54.6825
30274,45.6684
30582,44.6275
30891,49.326
31200,43.9744
31509,46.6851
31819,43.0519
32127,47.4058
32436,42.4357
32744,45.6684
33054,42.4357
33364,45.6684
33672,44.9904
33980,44.3287
34291,40.6703
34599,44.6275
34908,39.5579
35218,43.0519
35527,39.263
35834,39.5579
36143,42.714
36453,39.263
36762,42.4357
37072,39.5579
37381,37.7015
37691,40.9301
38000,37.4735
38307,41.2454
38617,37.4735
38925,40.1079
39234,36.4958
39542,40.362
39851,-8.7663
40160,-8.8771
40469,-8.8846
40779,-8.8865
41087,-8.8871
41396,-8.8879
41704,-8.888
42012,-8.8884
42321,-8.8885
42630,-8.8891
42939,-8.8891
43248,-8.8893
43557,-8.8895
43867,-8.8898
44174,-8.8898
44483,-8.8899
44793,-8.8004
45102,-0.06700000000000017
45412,29.726999999999997
45719,50.482
46029,51.3791
46339,56.83069999999999
46648,51.3791
46958,50.482
47265,49.6825
47575,54.4039
47884,50.482
48194,48.1452
48502,52.6173
48812,47.076
49120,51.3791
49429,45.6684
49740,51.3791
50047,50.116
50357,44.3287
50665,48.9038
50974,43.3368
51284,43.3368
51593,46.3634
51903,42.714
52211,44.3287
52517,47.4058
52826,45.6684
53134,45.2965
53443,45.2965
53753,40.6703
54060,40.6703
54369,43.6827
54679,40.362
54986,43.6827
55296,39.263
55605,43.3368
55913,43.3368
56222,38.7312
56530,39.0198
56840,41.5111
57149,37.7015
57457,41.8337
57766,37.4735
58076,41.2454
58385,37.4735
58695,40.9301
59004,36.7144
59312,36.4958
59621,40.362
59930,36.0218
60238,40.1079
60547,36.4958
60856,35.7674
61166,39.263
61475,35.3081
61783,38.7312
62092,35.5575
62400,37.7015
62710,35.1024
63020,37.978
63328,37.4735
63637,33.984
63947,36.7144
64257,33.984
64565,36.7144
64873,-8.8034
65179,-8.8787
65488,-8.8853
65797,-8.8868
66108,-8.8876
66416,-8.888
66726,-8.8885
67035,-8.8888
67344,-8.889
67652,-8.8891
67961,-8.8895
68270,-8.8895
68578,-8.8898
68884,-8.8899
69195,-8.89
69504,-8.8902
69814,-8.7384
70124,0.5595999999999997
70433,28.052999999999997
70741,46.6851
71050,47.8068
71358,53.498
71667,48.1452
71975,47.4058
72284,48.9038
72591,48.5565
72900,47.076
73210,52.225
73519,45.6684
73828,46.3634
74136,50.482
74445,44.9904
74753,48.5565
75062,43.6827
75372,48.9038
75680,47.076
75990,45.9822
76300,42.4357
76608,43.9744
76918,41.5111
77227,46.3634
77537,42.1056
77846,41.8337
78155,44.9904
78463,44.6275
78772,44.3287
79082,41.5111
79390,39.5579
79698,40.1079
80004,43.3368
80314,38.4933
80622,42.1056
80931,38.4933
81241,41.8337
81550,37.7015
81858,38.7312
82164,42.1056
82473,41.2454
82783,37.4735
83092,40.362
83402,37.4735
83709,40.6703
84019,37.2028
84329,39.263
84639,39.263
84949,-8.8467
85257,-8.8815
85565,-8.8858
85875,-8.8869
86182,-8.8876
86492,-8.8881
86802,-8.8885
87112,-8.8887
87421,-8.889
87731,-8.8891
88040,-8.8893
88350,-8.8898
88659,-8.8898
88969,-8.8899
89277,-8.8899
89586,-8.89
89895,-8.1723
90203,7.092300000000002
90513,36.2361
90823,45.2965
91130,53.0947
91440,48.5565
91749,53.0947
92059,47.8068
92367,47.4058
92675,47.8068
92983,47.076
93292,50.482
93602,47.076
93911,45.2965
94221,45.2965
94529,48.9038
94839,45.2965
95148,47.8068
95457,43.3368
95765,46.6851
96074,43.3368
96382,46.6851
96692,42.714
97002,47.076
97311,42.4357
97618,30.804000000000002
97928,40.6703
98236,45.6684
98545,40.9301
98855,43.9744
99165,40.362
99472,41.5111
99782,39.8064
100089,43.3368
100399,38.7312
100706,43.0519
101016,38.7312
101326,41.2454
101635,38.7312
101945,41.5111
102254,39.0198
102563,36.7144
102871,40.6703
103180,37.4735
103489,37.2028
103799,40.9301
104109,36.7144
104417,36.4958
104724,35.3081
105033,39.5579
105342,39.0198
105652,36.2361
105961,38.4933
106271,35.5575
106580,38.4933
106890,35.5575
107198,34.6563
107506,38.7312
107816,34.2189
108123,37.4735
108432,37.4735
108741,33.7901
109051,37.4735
109361,32.9568
109670,18.2012
109980,-8.857
110288,-8.8828
110606,-8.8864
110911,-8.8875
111218,-8.888
111523,-8.8884
111829,-8.8885
112132,-8.8888
112438,-8.889
112745,-8.8893
113050,-8.8896
113356,-8.8898
113660,-8.8898
113965,-8.89
114270,-8.8902
114575,-8.8902
114879,-8.3155
115184,5.946
115489,34.2189
115793,47.4058
116098,51.3791
