Sensor,s_0
1623991065,3386
1623991067,3386
1623991070,3386
1623991072,3386
1623991074,3386
1623991076,3386
1623991078,3386
1623991081,3386
1623991083,3386
1623991085,3386
1623991087,3386
1623991090,3386
1623991092,3386
1623991094,3386
1623991096,3386
1623991099,3386
1623991101,3386
1623991103,3386
1623991105,3386
1623991107,3386
1623991110,3386
1623991112,3386
1623991114,3386
1623991116,3386
1623991118,3386
1623991121,3386
1623991123,3386
1623991125,3386
1623991127,3386
1623991130,3386
1623991132,3386
1623991134,3386
1623991136,3386
1623991138,3386
1623991141,3386
1623991143,3386
1623991145,3386
1623991147,3386
1623991149,3386
1623991152,3386
1623991154,3386
1623991156,3386
1623991158,3386
1623991161,3386
1623991163,3386
1623991165,3386
1623991167,3386
1623991169,3386
1623991172,3386
1623991174,3386
1623991176,3386
1623991178,3386
1623991180,3386
1623991183,3386
1623991185,3386
1623991187,3386
1623991189,3386
1623991192,3386
1623991194,3386
1623991196,3386
1623991198,3386
1623991200,3386
1623991203,3386
1623991205,3386
1623991207,3386
1623991210,3386
1623991212,3386
1623991214,3386
1623991216,3386
1623991218,3386
1623991221,3386
1623991223,3386
1623991225,3386
1623991227,3386
1623991229,3386
1623991232,3386
1623991234,3386
1623991236,3386
1623991238,3386
1623991241,3386
1623991243,3386
1623991245,3386
1623991247,3386
1623991249,3386
1623991252,3386
1623991254,3386
1623991256,3386
1623991258,3386
1623991260,3386
1623991263,3386
1623991265,3386
1623991267,3386
1623991269,3386
1623991271,3386
1623991274,3386
1623991276,3386
1623991278,3386
1623991280,3386
1623991282,3386
1623991285,3386
1623991287,3386
1623991289,3386
1623991291,3386
1623991294,3386
1623991296,3386
1623991298,3386
1623991300,3386
1623991302,3386
1623991305,3386
1623991307,3386
1623991309,3386
1623991311,3386
1623991314,3386
1623991316,3386
1623991318,3386
1623991320,3386
1623991323,3386
1623991325,3386
1623991328,3386
1623991330,3386
1623991332,3386
1623991334,3386
1623991336,3386
1623991339,3386
1623991341,3386
1623991343,3386
1623991345,3386
1623991347,3386
1623991350,3386
1623991352,3386
1623991354,3386
1623991356,3386
1623991358,3386
1623991361,3386
1623991363,3386
1623991365,3386
1623991367,3386
1623991370,3386
1623991372,3386
1623991374,3386
1623991376,3386
1623991378,3386
1623991381,3386
1623991383,3386
1623991385,3386
1623991387,3386
1623991389,3386
1623991392,3386
1623991394,3386
1623991396,3386
1623991398,3386
1623991401,3386
1623991403,3386
1623991405,3386
1623991407,3386
1623991409,3386
1623991412,3386
1623991414,3386
1623991416,3386
1623991418,3386
1623991421,3386
1623991423,3386
1623991425,3386
1623991427,3386
1623991429,3386
1623991432,3386
1623991434,3386
1623991436,3386
1623991438,3386
1623991441,3386
1623991443,3386
1623991445,3386
1623991448,3386
1623991450,3386
1623991452,3386
1623991454,3386
1623991457,3386
1623991459,3386
1623991461,3386
1623991463,3386
1623991467,3386
1623991469,3386
1623991471,3386
1623991473,3386
1623991476,3386
1623991478,3386
1623991480,3386
1623991482,3386
1623991484,3386
1623991487,3386
1623991489,3386
1623991491,3386
1623991493,3386
1623991495,3386
1623991498,3386
1623991500,3386
1623991502,3386
1623991504,3386
1623991506,3386
1623991509,3386
1623991511,3386
1623991513,3386
1623991515,3386
1623991517,3386
1623991520,3386
1623991522,3386
1623991524,3386
1623991526,3386
1623991528,3386
1623991531,3386
1623991533,3386
1623991535,3386
1623991537,3386
1623991540,3386
1623991542,3386
1623991544,3386
1623991546,3386
1623991548,3386
1623991551,3386
1623991553,3386
1623991555,3386
1623991557,3386
1623991559,3386
1623991562,3386
1623991564,3386
1623991566,3386
1623991569,3386
1623991571,3386
1623991573,3386
1623991575,3386
1623991577,3386
1623991580,3386
1623991582,3386
1623991584,3386
1623991586,3386
1623991588,3386
1623991591,3386
1623991593,3386
1623991595,3386
1623991597,3386
1623991599,3386
1623991602,3386
1623991604,3386
1623991606,3386
1623991608,3386
1623991611,3386
1623991613,3386
1623991615,3386
1623991617,3386
1623991619,3386
1623991622,3386
1623991624,3386
1623991626,3386
1623991628,3386
1623991631,3386
1623991633,3386
1623991635,3386
1623991637,3386
1623991639,3386
1623991642,3386
1623991644,3386
1623991646,3386
1623991648,3386
1623991650,3386
1623991653,3386
1623991655,3385
1623991657,3385
1623991659,3385
1623991661,3385
1623991664,3385
1623991666,3385
1623991668,3385
1623991670,3385
1623991672,3385
1623991675,3385
1623991677,3385
1623991679,3385
1623991681,3385
1623991684,3385
1623991686,3385
1623991688,3385
1623991690,3385
1623991693,3385
1623991695,3385
1623991697,3385
1623991699,3385
1623991702,3385
1623991704,3385
1623991706,3385
1623991708,3385
1623991710,3385
1623991713,3385
1623991715,3385
1623991717,3385
1623991719,3385
1623991721,3385
1623991724,3385
1623991726,3385
1623991728,3385
1623991730,3385
1623991732,3385
1623991735,3385
1623991737,3385
1623991739,3385
1623991741,3385
1623991744,3385
1623991746,3385
1623991748,3385
1623991750,3385
1623991752,3385
1623991755,3385
1623991757,3385
1623991759,3385
1623991761,3385
1623991763,3385
1623991766,3385
1623991768,3385
1623991770,3385
1623991772,3385
1623991774,3385
1623991777,3385
1623991779,3385
1623991781,3385
1623991783,3385
1623991786,3385
1623991788,3385
1623991790,3385
1623991792,3385
1623991794,3385
1623991797,3385
1623991799,3385
1623991801,3385
1623991803,3385
1623991806,3385
1623991808,3385
1623991810,3385
1623991812,3385
1623991814,3385
1623991817,3385
1623991819,3385
1623991821,3385
1623991823,3385
1623991826,3385
1623991828,3385
1623991830,3385
1623991832,3385
1623991834,3385
1623991837,3385
1623991839,3385
1623991841,3385
1623991843,3385
1623991846,3385
1623991848,3385
1623991850,3385
1623991852,3385
1623991854,3385
1623991857,3385
1623991859,3385
1623991861,3385
1623991863,3385
1623991865,3385
1623991868,3385
1623991870,3385
1623991872,3385
1623991874,3385
1623991877,3385
1623991879,3385
1623991881,3385
1623991883,3385
1623991885,3385
1623991888,3385
1623991890,3385
1623991892,3385
1623991894,3385
1623991897,3385
1623991899,3385
1623991901,3385
1623991903,3385
1623991905,3385
1623991908,3385
1623991910,3385
1623991912,3385
1623991914,3385
1623991916,3385
1623991919,3385
1623991921,3385
1623991923,3385
1623991925,3385
1623991928,3385
1623991930,3385
1623991932,3385
1623991934,3385
1623991936,3385
1623991939,3385
1623991941,3385
1623991943,3385
1623991945,3385
1623991948,3385
1623991950,3385
1623991952,3385
1623991954,3385
1623991956,3385
1623991959,3385
1623991961,3385
1623991963,3385
1623991965,3385
1623991967,3385
1623991970,3385
1623991972,3385
1623991974,3385
1623991976,3385
1623991979,3385
1623991981,3385
1623991983,3385
1623991985,3385
1623991987,3385
1623991990,3385
1623991992,3385
1623991994,3385
1623991996,3385
1623991998,3385
1623992001,3385
1623992003,3385
1623992005,3385
1623992007,3385
1623992010,3385
1623992012,3385
1623992014,3385
1623992016,3385
1623992018,3385
1623992021,3385
1623992023,3385
1623992025,3385
1623992027,3385
1623992029,3385
1623992032,3385
1623992034,3385
1623992036,3385
1623992038,3385
1623992040,3385
1623992043,3385
1623992045,3385
1623992047,3385
1623992050,3385
1623992052,3385
1623992054,3385
1623992056,3385
1623992058,3385
1623992061,3385
1623992063,3385
1623992065,3385
1623992067,3385
1623992070,3385
1623992072,3385
1623992074,3385
1623992076,3385
1623992078,3385
1623992081,3385
1623992083,3385
1623992085,3385
1623992087,3385
1623992089,3385
1623992092,3385
1623992094,3385
1623992096,3385
1623992098,3385
1623992100,3385
1623992103,3385
1623992105,3385
1623992107,3385
1623992109,3385
1623992112,3385
1623992114,3385
1623992116,3385
1623992118,3385
1623992120,3385
1623992123,3385
1623992125,3385
1623992127,3385
1623992129,3385
1623992131,3385
1623992134,3385
1623992136,3385
1623992138,3385
1623992140,3385
1623992143,3385
1623992145,3385
1623992147,3385
1623992149,3385
1623992151,3385
1623992154,3385
