Sensor,s_0
114242512786,-3
114242544775,-3
114242577901,-3
114242611516,-3
114242644239,-3
114242673534,-3
114242702595,-3
114242743922,-3
114242773456,-3
114242802550,-3
114242843937,-3
114242873058,-3
114242902120,-3
114242943960,-3
114242977000,-3
114243007476,-3
114243038697,-3
114243069151,-3
114243112166,-3
114243155238,-3
114243195241,-2
114243229139,-2
114243263114,-2
114243296277,-2
114243329716,-2
114243363035,-2
114243395791,-2
114243429964,-2
114243463018,-2
114243495939,-2
114243529806,-2
114243562897,-2
114243595851,-2
114243629946,-2
114243662775,-2
114243697025,-2
114243729802,-2
114243762987,-2
114243796774,-2
114243830036,-2
114243862879,-2
114243896775,-2
114243929916,-2
114243963811,-2
114243997039,-2
114244030043,-2
114244063876,-2
114244097035,-2
114244129824,-2
114244163717,-2
114244196907,-2
114244230080,-2
114244264008,-2
114244296757,-2
114244330998,-2
114244363794,-2
114244396913,-2
114244430653,-2
114244463879,-2
114244497111,-2
114244531267,-2
114244562817,-2
114244597991,-2
114244630772,-2
114244663912,-2
114244706596,-2
114244739148,-2
114244770867,-2
114244802286,-2
114244845071,-2
114244878708,-2
114244923156,-2
114244955780,-2
114245004741,-2
114245037967,-2
114245071314,-2
114245104629,-2
114245140393,-2
114245187987,-2
114245220679,-2
114245242487,-2
114245288050,-2
114245320768,-2
114245342486,-2
114245388074,-2
114245421510,-2
114245454784,-2
114245488157,-2
114245521515,-2
114245554839,-2
114245588221,-2
114245620868,-2
114245642562,-2
114245688261,-2
114245721626,-2
114245755015,-2
114245788384,-2
114245821636,-2
114245855000,-2
114245888420,-2
114245921739,-2
114245955096,-2
114245988423,-2
114246021786,-2
114246055094,-2
114246088440,-2
114246121840,-2
114246155192,-2
114246188490,-2
114246221203,-2
114246243388,-2
114246288595,-2
114246321915,-2
114246355251,-2
114246388607,-2
114246421300,-2
114246443074,-2
114246488657,-2
114246521990,-2
114246555368,-2
114246588726,-2
114246622069,-2
114246655420,-2
114246688800,-2
114246722135,-2
114246755427,-2
114246788839,-2
114246822252,-2
114246855516,-2
114246888821,-2
114246922247,-2
114246955543,-2
114246988882,-2
114247022286,-2
114247055579,-2
114247088935,-2
114247122329,-2
114247155658,-2
114247189160,-2
114247222377,-2
114247255671,-2
114247289155,-2
114247322512,-2
114247355801,-2
114247389210,-2
114247422546,-2
114247455923,-2
114247489212,-2
114247522560,-2
114247555976,-2
114247589245,-2
114247622679,-2
114247656022,-2
114247689284,-2
114247722748,-2
114247756096,-2
114247789343,-2
114247822767,-2
114247856189,-2
114247889353,-2
114247911008,-2
114247942654,-2
114247974796,-2
114248007586,-2
114248039267,-2
114248081047,-2
114248114149,-2
114248147860,-2
114248180955,-2
114248214863,-2
114248246449,-2
114248308570,-2
114248362922,-2
114248404477,-2
114248436218,-2
114248477793,-2
114248510708,-2
114248544076,-2
114248577127,-2
114248608965,-2
114248641565,-2
114248674505,-2
114248707404,-2
114248739204,-2
114248770981,-2
114248814671,-2
114248847857,-2
114248880859,-2
114248914183,-2
114248947811,-2
114248980881,-2
114249014940,-2
114249048195,-2
114249080783,-2
114249115029,-2
114249147996,-2
114249182013,-2
114249214714,-2
114249248006,-2
114249281918,-2
114249314780,-2
114249347658,-2
114249381887,-2
114249414860,-2
114249448814,-2
114249482072,-2
114249515077,-2
114249549164,-2
114249582169,-2
114249615090,-2
114249659112,-2
114249707234,-2
114249740213,-2
114249773730,-2
114249807279,-2
114249839603,-2
114249861546,-2
114249907282,-2
114249939682,-2
114249961537,-2
114250007402,-2
114250039713,-2
114250061677,-2
114250107109,-2
114250139800,-2
114250161682,-2
114250207094,-2
114250239780,-2
114250261503,-2
114250307157,-2
114250340649,-2
114250373244,-2
114250395217,-2
114250440670,-2
114250473321,-2
114250495083,-2
114250540783,-2
114250573299,-2
114250595236,-2
114250640680,-2
114250673392,-2
114250695297,-2
114250740726,-2
114250773426,-2
114250795374,-2
114250840742,-2
114250873494,-2
114250895491,-2
114250940800,-2
114250973529,-2
114250995378,-2
114251040847,-2
114251073535,-2
114251095279,-2
114251140939,-2
114251173588,-2
114251195323,-2
114251240932,-2
114251273690,-2
114251295492,-2
114251341030,-2
114251373729,-2
114251395642,-2
114251441029,-2
114251473743,-2
114251495743,-2
114251541147,-2
114251573791,-2
114251595641,-2
114251641169,-2
114251673871,-2
114251695902,-2
114251741222,-2
114251773888,-2
114251795895,-2
114251841240,-2
114251873927,-2
114251895995,-2
114251941385,-2
114251973992,-2
114251995986,-2
114252041344,-2
114252074034,-2
114252096066,-2
114252141396,-2
114252174797,-2
114252208155,-2
114252242769,-2
114252308120,-2
114252340817,-2
114252362486,-2
114252408160,-2
114252440910,-2
114252462601,-2
114252508218,-2
114252540918,-2
114252562613,-2
114252594441,-2
114252627222,-2
114252660198,-2
114252692945,-2
114252724464,-2
114252766785,-2
114252800006,-2
114252834212,-2
114252866926,-2
114252899760,-2
114252934144,-2
114252966981,-2
114253000029,-2
114253033976,-2
114253066939,-2
114253101002,-2
114253133995,-2
114253166736,-2
114253200968,-2
114253233985,-2
114253266982,-2
114253300823,-2
114253333914,-2
114253368058,-2
114253400713,-2
114253433919,-2
114253467972,-2
114253501074,-2
114253533965,-2
114253568019,-2
114253600923,-2
114253633968,-2
114253667762,-2
114253700745,-2
114253733793,-2
114253767929,-2
114253800771,-2
114253833971,-2
114253867888,-2
114253901069,-2
114253933884,-2
114253968032,-2
114254000869,-2
114254034002,-2
114254067795,-2
114254101081,-2
114254134315,-2
114254168328,-2
114254200253,-2
114254235525,-2
114254275119,-2
114254297032,-2
114254342504,-2
114254375846,-2
114254425879,-2
114254459231,-2
114254492573,-2
114254542736,-2
114254575991,-2
114254609318,-2
114254642602,-2
114254676038,-2
114254709458,-2
114254742673,-2
114254776039,-2
114254809485,-2
114254842839,-2
114254876060,-2
114254909406,-2
114254942808,-2
114254976139,-2
114255008841,-2
114255030579,-2
114255076123,-2
114255109583,-2
114255142960,-2
114255176242,-2
114255209601,-2
114255242995,-2
114255276257,-2
114255309609,-2
114255343078,-2
114255376346,-2
114255409711,-2
114255443093,-2
114255476358,-2
114255509719,-2
114255543146,-2
114255576399,-2
114255609758,-2
114255643201,-2
114255676463,-2
114255709804,-2
114255743226,-2
114255776538,-2
114255809865,-2
114255843285,-2
114255876544,-2
114255909906,-2
114255943242,-2
114255976592,-2
114256009962,-2
114256043303,-2
114256076650,-2
114256109981,-2
114256143399,-2
114256176717,-2
114256209364,-2
114256230595,-2
114256276788,-2
114256310154,-2
114256343489,-2
114256376852,-2
114256443522,-2
114256476877,-2
114256510197,-2
114256560252,-2
114256593552,-2
114256626911,-2
114256660250,-2
114256693634,-2
114256727003,-2
114256760306,-2
114256793669,-2
114256826375,-2
114256860348,-2
114256891941,-2
114256934816,-2
114256967976,-2
114257001875,-2
114257034899,-2
114257067926,-2
114257101870,-2
114257134751,-2
114257168856,-2
114257201892,-2
114257234895,-2
114257268729,-2
114257301887,-2
114257334950,-2
114257368768,-2
114257401889,-2
114257434937,-2
114257469037,-2
114257501771,-2
114257535794,-2
114257568869,-2
114257601797,-2
114257635738,-2
114257668756,-2
114257701878,-2
114257735964,-2
114257768675,-2
114257802988,-2
114257836040,-2
114257869201,-2
114257902953,-2
114257936129,-2
114257979778,-2
114258027622,-2
114258061045,-2
114258094418,-2
114258127668,-2
114258161029,-2
114258193721,-2
114258215786,-2
114258261045,-2
114258327795,-2
114258361119,-2
114258411115,-2
114258443798,-2
114258477851,-2
114258511146,-2
114258543850,-2
114258577913,-2
114258611217,-2
114258661251,-2
114258694592,-2
114258727331,-2
114258749397,-2
114258794654,-2
114258827384,-2
114258849166,-2
114258894721,-2
114258927387,-2
114258949142,-2
114258994768,-2
114259027468,-2
114259049289,-2
114259094813,-2
114259127520,-2
114259149704,-2
114259194879,-2
114259227535,-2
114259249525,-2
114259294878,-2
114259327578,-2
114259349563,-2
114259394981,-2
114259427676,-2
114259449521,-2
114259494999,-2
114259527709,-2
114259549746,-2
114259595076,-2
114259627721,-2
114259649668,-2
114259695057,-2
114259727777,-2
114259749655,-2
114259795155,-2
114259827858,-2
114259849658,-2
114259895181,-2
114259927906,-2
114259949843,-2
114259995267,-2
114260027916,-2
114260049899,-2
114260095288,-2
114260128013,-2
114260149920,-2
114260195340,-2
114260228742,-2
114260261421,-2
114260328746,-2
114260361388,-2
114260412065,-2
114260445470,-2
114260478792,-2
114260512200,-2
114260545483,-2
114260578851,-2
114260612161,-2
114260644916,-2
114260678901,-2
114260712227,-2
114260745617,-2
114260779018,-2
114260828956,-2
114260861708,-2
114260883347,-2
114260929051,-2
114260961756,-2
114260983329,-2
114261029066,-2
114261049864,-2
114261081834,-2
114261114649,-2
114261147338,-2
114261178898,-2
114261220662,-2
114261253916,-2
114261287920,-2
114261320757,-2
114261354963,-2
114261387963,-2
114261420958,-2
114261454713,-2
114261487844,-2
114261520814,-2
114261554774,-2
114261587738,-2
114261620701,-2
114261654824,-2
114261687867,-2
114261721699,-2
114261754835,-2
114261787784,-2
