Sensor,s_0
1536356433,110
1536356935,110
1536357440,110
1536358683,110
1536359220,110
1536359723,110
1536360288,110
1536360797,110
1536358106,110
1536358987,110
1536359487,110
1536359996,110
1536364187,110
1536361517,110
1536362055,110
1536362555,110
1536363059,110
1536363559,110
1536364068,110
1536364569,110
1536361832,110
1536362335,110
1536362840,110
1536363334,110
1536363838,110
1536364340,110
1536365082,110
1536365881,110
1536366389,110
1536366925,110
1536367433,110
1536367936,110
1536364934,110
1536365444,110
1536365953,110
1536367293,110
1536367797,110
1536368298,110
1536368797,110
1536369313,110
1536369894,110
1536370437,110
1536370947,110
1536371526,110
1536368443,110
1536369206,110
1536369985,110
1536369991,110
1536369997,110
1536370002,110
1536370008,110
1536370014,110
1536370019,110
1536370025,110
1536370030,110
1536370035,110
1536370041,110
1536370047,110
1536370052,110
1536370058,110
1536370064,110
1536370069,110
1536370075,110
1536370081,110
1536370086,110
1536370092,110
1536370098,110
1536370103,110
1536370109,110
1536370115,110
1536370121,110
1536370126,110
1536370132,110
1536370138,110
1536370143,110
1536370148,110
1536370154,110
1536370160,110
1536370165,110
1536370171,110
1536370177,110
1536370182,110
1536370187,110
1536370193,110
1536370199,110
1536370204,110
1536370210,110
1536370216,110
1536369212,110
1536369218,110
1536369224,110
1536369230,110
1536369236,110
1536369242,110
1536369248,110
1536369254,110
1536369260,110
1536369266,110
1536369272,110
1536369278,110
1536369284,110
1536369290,110
1536369295,110
1536369301,110
1536369307,110
1536369315,110
1536369320,110
1536369326,110
1536369332,110
1536369338,110
1536369344,110
1536369350,110
1536369356,110
1536369362,110
1536369368,110
1536369374,110
1536369380,110
1536369386,110
1536369391,110
1536369397,110
1536369403,110
1536369409,110
1536369414,110
1536369420,110
1536369425,110
1536369690,110
1536369696,110
1536369702,110
1536369708,110
1536369713,110
1536369722,110
1536369727,110
1536369733,110
1536369739,110
1536369744,110
1536369750,110
1536369756,110
1536369762,110
1536369768,110
1536369774,110
1536369780,110
1536369786,110
1536369791,110
1536369797,110
1536369803,110
1536369809,110
1536369814,110
1536369820,110
1536369826,110
1536369832,110
1536369838,110
1536369844,110
1536369850,110
1536369856,110
1536369862,110
1536369868,110
1536369873,110
1536369879,110
1536369885,110
1536369890,110
1536369895,110
1536369901,110
1536369907,110
1536369913,110
1536369919,110
1536369925,110
1536369931,110
1536369937,110
1536369943,110
1536369948,110
1536369953,110
1536369959,110
1536369964,110
1536369969,110
1536369974,102
1536369980,102
1536370221,102
1536372223,102
1536372229,102
1536372235,102
1536372240,102
1536372246,102
1536372251,102
1536372258,102
1536372263,102
1536372269,102
1536372274,102
1536372279,102
1536372285,102
1536372290,102
1536372296,102
1536372302,102
1536372308,102
1536372314,102
1536372320,102
1536372326,102
1536372331,102
1536372337,102
1536372342,102
1536372348,102
1536372354,102
1536372359,102
1536372365,102
1536372371,102
1536372377,102
1536372383,102
1536372389,102
1536372394,102
1536372400,102
1536372405,102
1536372410,102
1536372416,102
1536372422,102
1536372428,102
1536372434,102
1536372440,102
1536372446,102
1536372452,102
1536372458,102
1536372464,102
1536372470,102
1536372476,102
1536372482,102
1536372488,102
1536372494,102
1536372499,102
1536372505,102
1536372511,102
1536372517,102
1536372522,102
1536372528,102
1536372534,102
1536372540,102
1536372545,102
1536372551,102
1536372557,102
1536372562,102
1536372568,102
1536372574,102
1536372580,102
1536372585,102
1536372591,102
1536372597,102
1536372602,102
1536372608,102
1536372614,102
1536372620,102
1536372625,102
1536372630,102
1536372635,102
1536372641,102
1536372647,102
1536372653,102
1536372658,102
1536372664,102
1536372670,102
1536372676,102
1536372682,102
1536372687,102
1536372692,102
1536372698,102
1536372704,102
1536372710,102
1536372716,102
1536372722,102
1536372728,102
1536372733,102
1536372739,102
1536372745,102
1536372751,102
1536372757,102
1536372763,102
1536372768,102
1536372774,102
1536372779,102
1536372784,102
1536372790,102
1536372795,102
1536372801,102
1536372806,102
1536372811,102
1536372817,102
1536372823,102
1536372829,102
1536372835,102
1536372841,102
1536372847,102
1536372853,102
1536372858,102
1536372864,102
1536372869,102
1536372875,102
1536372880,102
1536372885,102
1536372890,102
1536372895,102
1536372901,102
1536372907,102
1536372913,102
1536372918,102
1536372923,102
1536372929,102
1536372935,102
1536372941,102
1536372947,102
1536372953,102
1536372959,102
1536372965,102
1536372971,102
1536372977,102
1536372983,102
1536372988,102
1536372994,102
1536372999,102
1536373005,102
1536373010,102
1536373016,102
1536373022,102
1536373028,102
1536373034,102
1536373040,102
1536373046,102
1536373052,102
1536373057,102
1536373063,102
1536373068,102
1536373074,102
1536373080,102
1536373086,102
1536373091,102
1536373097,102
1536373102,102
1536373107,102
1536373112,102
1536373118,102
1536373124,102
1536373130,102
1536373136,102
1536373142,102
1536373148,102
1536373154,102
1536373160,102
1536373166,102
1536373171,102
1536373177,102
1536373182,102
1536373188,102
1536373193,102
1536373199,102
1536373204,102
1536373209,102
1536373214,102
1536373219,102
1536373225,102
1536373230,102
1536373235,102
1536373241,102
1536373247,102
1536373252,102
1536373257,102
1536373298,102
1536373304,102
1536373310,102
1536373316,102
1536373322,102
1536373328,102
1536373334,102
1536373339,102
1536373345,102
1536373351,102
1536373357,102
1536373362,102
1536373368,102
1536373373,102
1536373378,102
1536373384,102
1536373389,102
1536373395,107
1536373401,107
1536373407,107
1536373413,107
1536373419,107
1536373424,107
1536373430,107
1536373435,107
1536373441,107
1536373446,107
1536373452,107
1536373458,107
1536373464,107
1536373470,107
1536373476,107
1536373481,107
1536373487,107
1536373493,107
1536373498,107
1536373504,107
1536373510,107
1536373516,107
1536373522,107
1536373528,107
1536373534,107
1536373540,107
1536373545,107
1536373552,107
1536373558,107
1536373563,107
1536373568,107
1536373574,107
1536373580,107
1536373621,107
1536373626,107
1536373632,107
1536373637,107
1536373643,107
1536373649,107
1536373655,107
1536373661,107
1536373667,107
1536373673,107
1536373678,107
1536373683,107
1536373689,107
1536373695,107
1536373700,107
1536373706,107
1536373712,107
1536373718,107
1536373724,107
1536373730,107
1536373736,107
1536373742,107
1536373748,107
1536373754,107
1536373760,107
1536373766,107
1536373772,107
1536373778,107
1536373784,107
1536373790,107
1536374834,107
1536374841,107
1536374847,107
1536374852,107
1536374858,107
1536374864,107
1536374870,107
1536374876,107
1536374882,107
1536374888,107
1536374894,107
1536374900,107
1536374906,107
1536374912,107
1536374918,107
1536374924,107
1536374929,107
1536374935,107
1536374941,107
1536374946,107
1536374952,107
1536374957,107
1536374963,107
1536374969,107
1536374975,107
1536374981,107
1536374987,107
1536374993,107
1536374999,107
1536375004,107
1536375010,107
1536375016,107
1536375022,107
1536375028,107
1536375033,107
1536375038,107
1536375044,107
1536375050,107
1536375056,107
1536375062,107
1536375068,107
1536375074,107
1536375079,107
1536375085,107
1536375091,107
1536375096,107
1536375102,107
1536375108,107
1536375113,107
1536375118,107
1536375123,107
1536375128,107
1536375134,107
1536375140,107
1536375146,107
1536375152,107
1536375157,107
1536375163,107
1536375168,107
1536375174,107
1536375180,107
1536375186,107
1536375191,107
1536375197,107
1536375202,107
1536375208,107
1536375214,107
1536375220,107
1536375226,107
1536375232,107
1536375238,107
1536375244,107
1536375249,107
1536375254,107
1536375260,107
1536375265,107
1536375271,107
1536375276,107
1536375282,107
1536375288,107
1536375294,107
1536375300,107
1536375306,107
1536375311,107
1536375317,107
1536375322,107
1536375328,107
1536375334,107
1536375339,107
1536375344,107
1536375350,107
1536375356,107
1536375361,107
1536375367,107
1536375372,107
1536375378,107
1536375384,107
1536375390,107
1536375395,107
1536375400,107
1536375406,107
1536375411,107
1536375417,107
1536375422,107
1536375428,107
1536375434,107
1536375439,107
1536375444,107
1536375450,107
1536375456,107
1536375461,107
1536375467,107
1536375472,107
1536375478,107
1536375483,107
1536375488,107
1536375494,107
1536375500,107
1536375506,107
1536375512,107
1536375518,107
1536375524,107
1536375530,107
1536375536,107
1536375542,107
1536375548,107
1536375554,107
1536375560,107
1536375565,107
1536375571,107
1536375576,107
1536375581,107
1536375587,107
1536375592,107
1536375597,107
1536372002,107
1536372008,107
1536372014,107
1536372020,107
1536372025,107
1536372030,107
1536372036,107
1536372042,107
1536372047,107
1536372053,107
1536372059,107
1536372065,107
1536372070,107
1536372076,107
1536372082,107
1536372087,107
1536372092,107
1536372097,107
1536372103,107
1536372108,107
1536372114,107
1536372120,107
1536372126,107
1536372132,107
1536372138,107
1536372144,107
1536372150,107
1536372155,107
1536372160,107
1536372166,107
1536372172,107
1536372178,107
1536372183,107
1536372189,107
1536372195,107
1536372201,107
1536372206,107
1536372212,107
1536372217,107
1536372223,107
1536372229,107
1536372234,107
1536372239,107
1536372245,116
1536372251,116
1536372256,116
1536372262,116
1536372267,116
1536372272,116
1536372277,116
1536372283,116
1536372288,116
1536372294,116
1536372300,116
1536372305,116
1536372310,116
1536372316,116
1536372322,116
1536372328,116
1536372333,116
1536372339,116
1536372344,116
1536372350,116
1536372356,116
1536372361,116
1536372367,116
1536372373,116
1536372379,116
1536372385,116
1536372391,116
1536372396,116
1536372402,116
1536372408,116
1536372413,116
1536372419,116
1536372425,116
1536372431,116
1536372436,116
1536372442,116
1536372447,116
1536372452,116
1536372458,116
1536372464,116
1536372470,116
1536372476,116
1536372482,116
