Sensor,s_0
1571359200,5184
1571359260,5249
1571359320,5033
1571359380,5193
1571359440,5156
1571359500,5253
1571359560,5195
1571359620,5190
1571359680,5288
1571359740,4905
1571359800,4984
1571359860,5122
1571359920,5133
1571359980,4790
1571360040,5031
1571360100,4981
1571360160,4597
1571360220,5023
1571360280,4769
1571360340,4598
1571360400,4849
1571360460,4839
1571360520,5066
1571360580,5046
1571360640,5096
1571360700,4903
1571360760,5116
1571360820,5111
1571360880,4991
1571360940,5128
1571361000,5160
1571361060,4994
1571361120,5123
1571361180,4958
1571361240,5069
1571361300,5027
1571361360,5164
1571361420,5096
1571361480,5112
1571361540,5165
1571361600,5101
1571361660,5162
1571361720,5066
1571361780,5088
1571361840,5230
1571361900,5092
1571361960,5147
1571362020,5103
1571362080,5076
1571362140,5064
1571362200,5159
1571362260,5159
1571362320,5156
1571362380,5246
1571362440,4951
1571362500,5237
1571362560,5173
1571362620,5258
1571362680,5036
1571362740,5245
1571362800,5231
1571362860,5076
1571362920,4938
1571362980,4920
1571363040,4905
1571363100,5085
1571363160,4923
1571363220,5009
1571363280,4896
1571363340,5221
1571363400,5188
1571363460,5261
1571363520,5115
1571363580,5195
1571363640,5170
1571363700,5231
1571363760,5243
1571363820,5263
1571363880,5185
1571363940,5139
1571364000,4763
1571364060,5117
1571364120,4912
1571364180,5050
1571364240,5204
1571364300,5180
1571364360,5307
1571364420,5063
1571364480,5130
1571364540,5086
1571364600,5139
1571364660,5101
1571364720,4897
1571364780,5024
1571364840,5175
1571364900,5204
1571364960,5135
1571365020,5153
1571365080,5146
1571365140,5005
1571365200,5107
1571365260,5109
1571365320,5132
1571365380,5260
1571365440,5119
1571365500,5136
1571365560,5074
1571365620,5105
1571365680,5061
1571365740,5066
1571365800,4980
1571365860,5145
1571365920,5135
1571365980,5086
1571366040,4930
1571366100,5131
1571366160,5134
1571366220,5131
1571366280,5048
1571366340,5018
1571366400,5110
1571366460,5089
1571366520,5013
1571366580,5148
1571366640,5164
1571366700,5095
1571366760,4905
1571366820,5000
1571366880,5059
1571366940,5102
1571367000,5013
1571367060,4996
1571367120,5159
1571367180,4966
1571367240,5148
1571367300,5073
1571367360,4674
1571367420,5104
1571367480,5168
1571367540,5061
1571367600,5146
1571367660,4982
1571367720,5130
1571367780,4943
1571367840,5107
1571367900,5100
1571367960,5102
1571368020,5158
1571368080,5063
1571368140,5077
1571368200,5127
1571368260,4884
1571368320,5129
1571368380,5017
1571368440,4933
1571368500,5133
1571368560,5094
1571368620,5142
1571368680,5164
1571368740,5097
1571368800,5093
1571368860,5070
1571368920,5146
1571368980,5103
1571369040,5076
1571369100,5103
1571369160,5137
1571369220,5149
1571369280,5080
1571369340,5093
1571369400,5172
1571369460,5125
1571369520,5047
1571369580,5051
1571369640,5113
1571369700,5139
1571369760,5078
1571369820,5080
1571369880,5146
1571369940,4992
1571370000,5152
1571370060,5153
1571370120,5152
1571370180,5119
1571370240,5170
1571370300,5158
1571370360,4999
1571370420,5154
1571370480,5075
1571370540,5159
1571370600,5139
1571370660,5155
1571370720,4812
1571370780,4882
1571370840,4853
1571370900,4757
1571370960,4819
1571371020,4865
1571371080,4685
1571371140,5167
1571371200,4901
1571371260,4922
1571371320,5142
1571371380,5113
1571371440,5147
1571371500,4892
1571371560,4959
1571371620,5054
1571371680,5213
1571371740,4975
1571371800,5099
1571371860,5200
1571371920,5239
1571371980,4857
1571372040,5105
1571372100,5062
1571372160,5016
1571372220,4931
1571372280,4617
1571372340,4826
1571372400,4800
1571372460,4965
1571372520,5068
1571372580,5147
1571372640,5105
1571372700,5121
1571372760,5105
1571372820,5135
1571372880,5082
1571372940,5117
1571373000,5120
1571373060,5176
1571373120,5208
1571373180,5034
1571373240,5108
1571373300,5211
1571373360,5035
1571373420,5252
1571373480,5035
1571373540,5089
1571373600,5131
1571373660,5143
1571373720,5128
1571373780,5093
1571373840,5091
1571373900,5369
1571373960,5112
1571374020,5111
1571374080,5149
1571374140,5086
1571374200,4956
1571374260,5123
1571374320,5146
1571374380,4961
1571374440,5169
1571374500,5018
1571374560,5110
1571374620,4884
1571374680,5133
1571374740,5164
1571374800,4983
1571374860,5140
1571374920,4956
1571374980,5164
1571375040,5131
1571375100,5161
1571375160,5157
1571375220,5117
1571375280,5116
1571375340,5209
1571375400,5086
1571375460,5151
1571375520,5159
1571375580,5153
1571375640,4900
1571375700,5110
1571375760,4964
1571375820,5088
1571375880,5109
1571375940,4882
1571376000,5079
1571376060,5114
1571376120,5143
1571376180,5215
1571376240,5258
1571376300,5171
1571376360,5256
1571376420,5247
1571376480,4990
1571376540,5259
1571376600,5131
1571376660,5217
1571376720,5089
1571376780,5127
1571376840,5094
1571376900,4980
1571376960,5124
1571377020,5150
1571377080,5119
1571377140,5025
1571377200,5068
1571377260,5035
1571377320,4971
1571377380,5163
1571377440,4994
1571377500,5123
1571377560,5081
1571377620,5160
1571377680,5156
1571377740,5070
1571377800,5140
1571377860,5079
1571377920,5120
1571377980,5152
1571378040,5052
1571378100,4978
1571378160,5116
1571378220,5182
1571378280,5074
1571378340,5117
1571378400,5204
1571378460,5300
1571378520,5187
1571378580,5033
1571378640,5048
1571378700,5029
1571378760,5150
1571378820,4853
1571378880,5134
1571378940,5107
1571379000,5006
1571379060,5110
1571379120,5133
1571379180,5084
1571379240,5048
1571379300,4995
1571379360,5024
1571379420,5015
1571379480,4923
1571379540,4815
1571379600,5046
1571379660,5026
1571379720,5105
1571379780,5020
1571379840,4694
1571379900,4943
1571379960,4602
1571380020,4800
1571380080,5054
1571380140,5158
1571380200,4886
1571380260,5085
1571380320,5146
1571380380,4987
1571380440,4963
1571380500,5150
1571380560,5143
1571380620,4993
1571380680,5030
1571380740,5056
1571380800,5004
1571380860,5077
1571380920,5224
1571380980,5333
1571381040,5290
1571381100,5286
1571381160,5351
1571381220,5344
1571381280,5200
1571381340,5276
1571381400,5247
1571381460,5071
1571381520,5253
1571381580,5136
1571381640,5151
1571381700,5023
1571381760,5171
1571381820,5228
1571381880,5058
1571381940,5236
1571382000,5185
1571382060,5293
1571382120,5235
1571382180,5202
1571382240,5269
1571382300,5322
1571382360,5309
1571382420,5283
1571382480,4943
1571382540,5224
1571382600,5173
1571382660,5238
1571382720,5251
1571382780,5211
1571382840,5204
1571382900,5302
1571382960,5243
1571383020,5251
1571383080,5206
1571383140,5096
1571383200,5297
1571383260,4941
1571383320,5264
1571383380,5264
1571383440,5277
1571383500,5137
1571383560,5186
1571383620,5278
1571383680,5219
1571383740,5245
1571383800,5335
1571383860,5227
1571383920,5182
1571383980,5190
1571384040,5020
1571384100,5190
1571384160,5091
1571384220,4998
1571384280,4930
1571384340,4875
1571384400,4955
1571384460,4794
1571384520,4894
1571384580,4907
1571384640,4808
1571384700,5141
1571384760,4954
1571384820,5031
1571384880,5174
1571384940,5259
1571385000,5212
1571385060,5261
1571385120,5201
1571385180,5250
1571385240,5335
1571385300,5199
1571385360,5339
1571385420,5257
1571385480,5181
1571385540,5203
1571385600,5204
1571385660,5208
1571385720,5213
1571385780,5175
1571385840,5195
1571385900,4922
1571385960,5250
1571386020,5280
1571386080,5134
1571386140,5009
1571386200,5148
1571386260,5250
1571386320,5207
1571386380,5255
1571386440,5061
1571386500,5243
1571386560,5155
1571386620,5140
1571386680,5120
1571386740,5251
1571386800,5215
1571386860,4996
1571386920,5243
1571386980,5090
1571387040,5064
1571387100,5200
1571387160,5121
1571387220,5247
1571387280,5161
1571387340,5074
1571387400,5011
1571387460,4934
1571387520,4993
1571387580,4943
1571387640,5163
1571387700,4915
1571387760,5097
1571387820,5130
1571387880,5058
1571387940,4930
1571388000,4896
1571388060,4846
1571388120,4743
1571388180,4967
1571388240,4925
1571388300,4936
1571388360,4934
1571388420,4956
1571388480,4729
1571388540,4802
1571388600,4794
1571388660,4813
1571388720,4975
1571388780,5042
1571388840,5073
1571388900,5264
1571388960,5118
1571389020,5044
1571389080,5093
1571389140,5124
1571389200,5183
1571389260,5236
1571389320,5113
1571389380,5140
1571389440,5158
1571389500,5100
1571389560,5159
1571389620,5154
1571389680,5198
1571389740,5124
1571389800,5185
1571389860,5090
1571389920,5119
1571389980,5187
1571390040,5160
1571390100,5211
1571390160,5049
1571390220,5136
1571390280,5079
1571390340,5026
1571390400,5151
1571390460,5003
1571390520,5206
1571390580,5089
1571390640,5216
1571390700,5421
1571390760,5197
1571390820,5170
1571390880,4984
1571390940,5104
1571391000,5165
1571391060,5129
1571391120,5030
1571391180,5112
1571391240,5031
1571391300,5162
1571391360,5085
1571391420,5123
1571391480,5129
1571391540,4993
1571391600,5080
1571391660,5093
1571391720,5092
1571391780,5141
1571391840,5051
1571391900,5100
1571391960,5005
1571392020,4986
1571392080,5095
1571392140,4902
1571392200,5078
1571392260,4775
1571392320,4934
1571392380,4980
1571392440,5008
1571392500,4866
1571392560,5072
1571392620,4909
1571392680,5006
1571392740,4911
1571392800,4826
1571392860,4841
1571392920,4848
1571392980,4719
1571393040,4569
1571393100,4877
1571393160,4792
1571393220,4807
1571393280,4841
1571393340,4763
1571393400,4856
1571393460,4607
1571393520,4835
1571393580,4887
1571393640,4816
1571393700,4904
1571393760,4798
1571393820,4948
1571393880,4817
1571393940,4948
1571394000,4918
1571394060,4889
1571394120,4973
1571394180,5139
1571394240,5202
1571394300,4794
1571394360,4914
1571394420,5201
1571394480,5171
1571394540,5177
1571394600,5033
1571394660,5259
1571394720,5245
1571394780,5230
1571394840,5256
1571394900,5196
1571394960,5227
1571395020,5220
1571395080,5212
1571395140,5139
1571395200,5034
1571395260,5455
1571395320,5249
1571395380,5197
1571395440,5082
1571395500,5172
1571395560,5126
1571395620,5223
1571395680,4739
1571395740,5238
1571395800,5205
1571395860,5143
1571395920,5230
1571395980,5108
1571396040,5208
1571396100,5147
1571396160,5268
1571396220,5074
1571396280,5199
1571396340,5236
1571396400,5231
1571396460,5257
1571396520,4812
1571396580,5094
1571396640,5102
1571396700,5119
1571396760,5145
1571396820,5124
1571396880,5052
1571396940,4993
1571397000,4953
1571397060,4949
1571397120,4910
1571397180,4956
1571397240,5020
1571397300,4941
1571397360,4937
1571397420,5077
1571397480,4576
1571397540,5111
1571397600,5028
1571397660,4990
1571397720,4917
1571397780,4885
1571397840,5075
1571397900,4946
1571397960,5072
1571398020,5066
1571398080,4854
1571398140,5164
1571398200,4993
1571398260,5021
1571398320,5345
1571398380,5147
1571398440,5023
1571398500,5122
1571398560,5082
1571398620,5489
1571398680,5196
1571398740,5240
1571398800,5129
1571398860,5241
1571398920,5125
1571398980,5189
1571399040,4940
1571399100,4868
1571399160,4925
1571399220,4853
1571399280,4723
1571399340,4827
1571399400,4736
1571399460,4783
1571399520,4837
1571399580,4731
1571399640,4819
1571399700,4785
1571399760,4975
1571399820,4883
1571399880,4978
1571399940,4916
1571400000,4738
1571400060,4878
1571400120,4766
1571400180,4850
1571400240,4693
1571400300,4860
1571400360,4872
1571400420,4702
1571400480,4804
1571400540,4844
1571400600,4610
1571400660,5022
1571400720,4795
1571400780,4856
1571400840,5040
1571400900,4936
1571400960,4808
1571401020,5088
1571401080,4815
1571401140,5145
1571401200,4936
