Sensor,s_0
1546272000000,4
1546272300000,4
1546272600000,8
1546272900000,17
1546273200000,9
1546273500000,10
1546273800000,26
1546274100000,9
1546274400000,11
1546274700000,9
1546275000000,9
1546275300000,9
1546275600000,9
1546275900000,8
1546276200000,10
1546276500000,17
1546276800000,10
1546277100000,13
1546277400000,19
1546277700000,12
1546278000000,15
1546278300000,21
1546278600000,11
1546278900000,15
1546279200000,23
1546279500000,10
1546279800000,17
1546280100000,30
1546280400000,16
1546280700000,19
1546281000000,32
1546281300000,14
1546281600000,22
1546281900000,32
1546282200000,13
1546282500000,19
1546282800000,34
1546283100000,13
1546283400000,20
1546283700000,34
1546284000000,13
1546284300000,19
1546284600000,41
1546284900000,15
1546285200000,19
1546285500000,30
1546285800000,12
1546286100000,18
1546286400000,27
1546286700000,10
1546287000000,14
1546287300000,26
1546287600000,15
1546287900000,17
1546288200000,28
1546288500000,11
1546288800000,17
1546289100000,28
1546289400000,10
1546289700000,16
1546290000000,34
1546290300000,11
1546290600000,16
1546290900000,29
1546291200000,11
1546291500000,15
1546291800000,30
1546292100000,13
1546292400000,20
1546292700000,40
1546293000000,13
1546293300000,20
1546293600000,36
1546293900000,13
1546294200000,17
1546294500000,33
1546294800000,17
1546295100000,19
1546295400000,32
1546295700000,13
1546296000000,21
1546296300000,33
1546296600000,15
1546296900000,21
1546297200000,39
1546297500000,12
1546297800000,19
1546298100000,32
1546298400000,13
1546298700000,17
1546299000000,34
1546299300000,15
1546299600000,20
1546299900000,35
1546300200000,13
1546300500000,18
1546300800000,31
1546301100000,10
1546301400000,17
1546301700000,39
1546302000000,18
1546302300000,16
1546302600000,26
1546302900000,12
1546303200000,14
1546303500000,20
1546303800000,12
1546304100000,13
1546304400000,14
1546304700000,10
1546305000000,10
1546305300000,10
1546305600000,11
1546305900000,9
1546306200000,7
1546306500000,8
1546306800000,10
1546307100000,24
1546307400000,9
1546307700000,10
1546308000000,24
1546308300000,9
1546308600000,7
1546308900000,5
1546309200000,10
1546309500000,7
1546309800000,6
1546310100000,7
1546310400000,9
1546310700000,7
1546311000000,7
1546311300000,6
1546311600000,5
1546311900000,6
1546312200000,6
1546312500000,5
1546312800000,6
1546313100000,7
1546313400000,6
1546313700000,7
1546314000000,6
1546314300000,5
1546314600000,6
1546314900000,6
1546315200000,4
1546315500000,6
1546315800000,7
1546316100000,11
1546316400000,10
1546316700000,7
1546317000000,5
1546317300000,7
1546317600000,11
1546317900000,16
1546318200000,6
1546318500000,6
1546318800000,5
1546319100000,8
1546319400000,7
1546319700000,5
1546320000000,10
1546320300000,22
1546320600000,10
1546320900000,7
1546321200000,6
1546321500000,5
1546321800000,8
1546322100000,7
1546322400000,5
1546322700000,9
1546323000000,7
1546323300000,6
1546323600000,11
1546323900000,7
1546324200000,5
1546324500000,8
1546324800000,10
1546325100000,13
1546325400000,7
1546325700000,7
1546326000000,6
1546326300000,124
1546326600000,461
1546326900000,119
1546327200000,21
1546327500000,68
1546327800000,21
1546328100000,5
1546328400000,6
1546328700000,5
1546329000000,7
1546329300000,9
1546329600000,25
1546329900000,8
1546330200000,48
1546330500000,311
1546330800000,49
1546331100000,24
1546331400000,119
1546331700000,16
1546332000000,34
1546332300000,188
1546332600000,21
1546332900000,11
1546333200000,36
1546333500000,7
1546333800000,23
1546334100000,124
1546334400000,14
1546334700000,11
1546335000000,35
1546335300000,8
1546335600000,16
1546335900000,65
1546336200000,181
1546336500000,38
1546336800000,68
1546337100000,110
1546337400000,27
1546337700000,51
1546338000000,11
1546338300000,10
1546338600000,29
1546338900000,9
1546339200000,11
1546339500000,22
1546339800000,7
1546340100000,13
1546340400000,55
1546340700000,9
1546341000000,8
1546341300000,16
1546341600000,6
1546341900000,8
1546342200000,15
1546342500000,62
1546342800000,236
1546343100000,73
1546343400000,21
1546343700000,71
1546344000000,35
1546344300000,7
1546344600000,8
1546344900000,13
1546345200000,64
1546345500000,238
1546345800000,78
1546346100000,5
1546346400000,9
1546346700000,5
1546347000000,18
1546347300000,67
1546347600000,25
1546347900000,2
1546348200000,5
1546348500000,5
1546348800000,2
1546349100000,7
1546349400000,25
1546349700000,3
1546350000000,6
1546350300000,12
1546350600000,3
1546350900000,5
1546351200000,9
1546351500000,3
1546351800000,6
1546352100000,13
1546352400000,8
1546352700000,8
1546353000000,24
1546353300000,23
1546353600000,80
1546353900000,32
1546354200000,3
1546354500000,6
1546354800000,7
1546355100000,5
1546355400000,6
1546355700000,2
1546356000000,3
1546356300000,7
1546356600000,17
1546356900000,8
1546357200000,23
1546357500000,24
1546357800000,5
1546358100000,7
1546358400000,14
1546358700000,9
1546359000000,27
1546359300000,37
1546359600000,9
1546359900000,8
1546360200000,6
1546360500000,7
1546360800000,18
1546361100000,25
1546361400000,16
1546361700000,25
1546362000000,37
1546362300000,18
1546362600000,41
1546362900000,92
1546363200000,29
1546363500000,57
1546363800000,128
1546364100000,40
1546364400000,64
1546364700000,139
1546365000000,37
1546365300000,68
1546365600000,172
1546365900000,42
1546366200000,67
1546366500000,159
1546366800000,43
1546367100000,71
1546367400000,165
1546367700000,45
1546368000000,83
1546368300000,199
1546368600000,45
1546368900000,70
1546369200000,167
1546369500000,40
1546369800000,75
1546370100000,187
1546370400000,40
1546370700000,72
1546371000000,179
1546371300000,41
1546371600000,67
1546371900000,159
1546372200000,36
1546372500000,55
1546372800000,125
