Sensor,s_0
1627360020581,10
1627365763289,10
1627365946679,10
1627366715891,10
1627366724378,10
1627366734269,10
1627366833084,10
1627367287964,10
1627367411469,10
1627381551241,10
1627390101545,10
1627390465247,10
1627390497437,10
1627390639458,10
1627390662230,10
1627391456330,10
1627391509523,10
1627392045312,10
1627392303153,10
1627392408629,10
1627392569211,10
1627392788809,10
1627393063014,10
1627393086610,10
1627393102519,10
1627393125615,10
1627393136995,10
1627393159715,10
1627393172714,10
1627393222086,10
1627393235011,10
1627393400091,10
1627395275097,10
1627395653476,11
1627395798979,11
1627396067121,11
1627396168797,11
1627396275291,11
1627399018460,10
1627399042967,10
1627399962114,10
1627400085133,10
1627400096023,10
1627400492875,10
1627400613112,10
1627400623627,10
1627400926318,10
1627401163759,11
1627401536500,11
1627403035233,11
1627403045236,11
1627403092547,11
1627404812145,11
1627407471445,11
1627407475716,11
1627407502327,11
1627419331096,10
1627419528688,10
1627419997455,10
1627420659074,11
1627421250586,12
1627421653273,13
1627422607679,13
1627423198873,13
1627424473961,13
1627424823289,13
1627424828265,13
1627424966158,13
1627425093359,13
1627425437370,13
1627425544968,14
1627425798957,14
1627426079046,15
1627426237735,15
1627426671655,15
1627426689152,15
1627437089226,10
1627437433549,10
1627437669125,10
1627437800119,10
1627438004532,10
1627438317446,11
1627438468428,12
1627438864021,12
1627439206632,12
1627440354220,12
1627440362918,12
1627440664106,12
1627442072855,12
1627442144415,12
1627442453288,12
1627442552297,12
1627442585106,12
1627442593801,12
1627443259294,12
1627443501896,13
1627443636489,13
1627443832293,14
1627444246192,14
1627444441378,14
1627445044590,14
1627445055497,14
1627445545983,14
1627445571080,14
1627445636474,14
1627458719338,10
1627458963451,10
1627459378325,10
1627459940239,10
1627460630838,10
1627460686934,11
1627460792039,11
1627461129267,11
1627462326518,11
1627462508623,11
1627462586926,12
1627463200927,14
1627463372320,14
1627463556023,14
1627464543122,14
1627464861886,10
1627464922463,10
1627464935963,10
1627471360544,10
1627471807641,10
1627471826748,10
1627472748744,10
1627473340129,10
1627473632623,10
1627473657834,10
1627474167731,10
1627475356221,10
1627475529707,10
1627475532034,10
1627476976520,10
1627477249523,10
1627477281142,10
1627477316472,10
1627477408132,10
1627477451732,10
1627477707612,10
1627478250516,10
1627478250905,10
1627478530636,10
1627478674706,11
1627478803118,11
1627484166960,11
1627484194142,11
1627484721651,11
1627484972870,11
1627485132646,11
1627485298631,11
1627486700236,12
1627486725639,12
1627486731446,12
1627486855042,12
1627487103738,12
1627487586934,12
1627487955251,12
1627488517427,12
1627488532226,12
1627490073716,13
1627490093124,13
1627490099714,13
1627490116615,13
1627490121032,13
1627490499122,13
1627490502223,13
1627490505336,13
1627490527951,13
1627490538927,13
1627490782614,13
1627490935218,14
1627490950523,14
1627491224512,14
1627491454406,15
1627491623902,15
1627493380094,15
1627494256499,15
1627494400820,15
1627494510329,15
1627495911117,16
1627496247512,16
1627496748714,16
1627496786716,16
1627496787414,16
1627497020421,16
1627498555395,16
1627499611089,16
1627499966987,16
1627500110189,16
1627500991608,17
1627501787668,18
1627501812466,18
1627502156258,18
1627502169463,18
1627502189455,18
1627502202662,18
1627502206255,18
1627502243362,18
1627502592462,18
1627502878566,18
1627503852468,18
1627504120877,18
1627504442267,18
1627506190554,18
1627506240459,18
1627512226329,18
1627512261639,18
1627512295037,18
1627520973175,18
1627524339975,18
1627524712256,18
1627524719961,18
1627524727160,18
1627524731257,18
1627524759254,18
1627524970245,18
1627525635744,18
1627525672649,18
1627525742860,18
1627526412528,19
1627526585844,19
1627526748251,19
1627527042047,20
1627527267535,21
1627532581443,10
1627533368064,10
1627533516750,10
1627533591645,10
1627533600249,10
1627537618977,10
1627538050153,10
1627538075964,10
1627538259055,10
1627539024169,10
1627539066978,10
1627539346545,10
1627539847443,10
1627539972253,10
1627539974467,10
1627540149045,10
1627540212078,10
1627540251248,10
1627540470052,10
1627540476146,10
1627540491751,10
1627540578850,10
1627540683930,10
1627540699638,10
1627540703048,10
1627547118995,10
1627547321497,10
1627547398612,10
1627547468706,10
1627547896703,10
1627548001703,10
1627548522098,10
1627548919893,10
1627549034997,10
1627549079287,10
1627549085997,10
1627549100427,10
1627549109415,10
1627549572116,10
1627550490684,10
1627550528684,10
1627554093800,10
1627554431196,10
1627554666791,10
1627555053398,10
1627618847126,10
1627620068954,10
1627621588119,11
1627621735711,11
1627621881318,11
1627622348047,11
1627622600524,11
1627622752312,11
1627623165713,12
1629704808753,10
1629704893874,10
1629704934627,10
1629704983530,10
1629708435921,10
1629708515512,10
1629708613482,10
1629708621372,10
1629708631320,10
1629708642001,10
1629708644132,10
1629708664462,10
1629708700733,10
1629708706970,10
1629708713479,10
1629708727102,10
1629708741990,10
1629708824742,10
1629708836486,10
1629708838593,10
1629708860189,10
1629708867014,10
1629708983402,10
1629709060876,10
1629709087101,10
1629709561398,10
1629709809608,10
1629710003850,10
1629710196062,10
1629710197943,10
1629710274953,10
1629716650703,10
1629716663602,10
1629717014129,10
1629717264800,10
1629717631506,10
1629717658305,10
1629718152705,10
1629718176001,10
1629718188902,10
1629718204015,10
1629718205919,10
1629718209109,10
1629718241608,10
1629718277409,10
1629718314179,10
1629718361805,10
1629718573609,10
1629718726422,10
1629718740513,10
1629718769797,10
1629718861725,10
1629718895204,10
1629718897204,10
1629718903005,10
1629722005383,10
1629722014485,10
1629722019176,10
1629722024583,10
1629722030687,10
1629722044871,10
1629722125637,10
1629722150379,10
1629722155080,10
1629722661374,10
1629723085177,10
1629723090574,10
1629723119960,10
1629723191209,10
1629723215672,10
1629723384852,10
1629723408057,10
1629723430073,10
1629723470783,10
1629724033662,10
1629724058681,10
1629724069362,10
1629724072371,10
1629724096575,10
1629724109475,10
1629724122874,10
1629724132174,10
1629724146372,10
1629724159066,10
1629724193854,10
1629724226864,10
1629756482022,10
1629756502908,10
1629756695921,10
1629756980206,10
1629757410817,10
1629757440308,10
1629757455510,10
1629757566108,10
1629757566715,10
1629757720028,10
1629757840530,10
1629758045809,10
1629758552405,10
1629758558825,10
1629758559414,10
1629758627896,10
1629758943317,10
1629759010692,10
1629759151916,10
1629759210503,10
1629759244309,10
1629759336991,10
1629759343183,10
1629759361585,10
1629759495190,10
1629759524013,10
1629759534309,10
1629760291602,10
1629760334404,10
1629761211701,10
1629761227503,10
1629761229615,10
1629761478212,10
1629761561192,10
1629761937295,10
1629778036324,10
1629778050922,10
1629778421228,10
1629778949130,10
1629778973025,10
1629779214636,10
1629779284916,10
1629779310222,10
1629779592421,10
1629780803230,10
1629780958719,10
1629781193310,10
1629781369326,10
1629781475913,10
1629781572221,10
1629781585210,10
1629781594219,10
1629781635694,10
1629781805811,10
1629781965430,10
1629782003912,10
1629782093694,10
1629782127518,10
1629782156821,10
1629783327904,10
1629783363705,10
1629784979991,10
1629785020295,10
1629791055549,10
1629791072249,10
1629791091848,10
1629791746767,10
1629792570344,10
1629792586465,10
1629792591773,10
1629793778034,10
1629793792842,10
1629794176130,10
1629794293436,10
1629794459470,10
1629794565830,10
1629794671039,10
1629794812837,10
1629795142027,10
1629795147428,10
1629795197145,10
1629795342926,10
1629795783527,10
1629795854317,10
1629795899023,10
1629796002931,10
1629796156028,10
1629796374926,10
1629796527741,10
1629796574036,10
1629796718918,10
1629796904012,10
1629797056515,10
1629797080101,10
1629797881862,10
1629797914007,10
1629798006614,10
1629798095722,10
1629798458808,10
1629798744051,10
1629798800449,10
1629798817447,10
1629803577573,10
1629805468105,10
1629805485886,10
1629805488307,10
1629805810726,10
1629806062498,10
1629806358610,10
1629806382895,10
1629806468908,10
1629806658100,10
1629807003612,10
1629807004203,10
1629807192101,10
1629807288091,10
1629807320401,10
1629807901906,10
1629807999873,10
1629808375022,10
1629808719113,10
1629808841906,10
1629808926795,10
1629809004391,10
1629809098200,10
1629809178599,10
1629809193993,10
1629809276315,10
1629809414492,10
1629809421485,10
1629810409165,10
1629810422872,10
1629813438952,10
1629813713538,10
1629814699453,10
1629814715150,10
1629814720341,10
1629814746145,10
1629814761207,10
1629814767664,10
1629815889752,10
1629815902931,10
1629816228761,10
1629816283939,10
1629816368229,10
1629816565243,10
1629816658960,10
1629816662947,10
1629816697835,10
1629816811776,10
1629816819361,10
1629817201744,10
1629817226228,10
1629817273047,10
1629817275943,10
1629817369032,10
1629817764441,10
1629818013029,10
1629818536730,10
1629818622416,10
1629818765707,10
1629818789917,10
1629818801025,10
1629819100704,10
1629819600304,10
1629819628397,10
1629829862530,10
1629829892335,10
1629830775324,10
1629830812616,10
1629830839402,10
1629830962061,10
1629831418624,10
1629831474708,10
1629831478710,10
1629832941612,10
1629833082795,10
1629833221307,10
1629833273016,10
1629833284426,10
1629833297617,10
1629836188082,10
1629836211287,10
1629836256397,10
1629839257574,10
1629839272282,10
1629839275684,10
1629839805583,10
1629839810872,10
1629840116852,10
1629840567261,10
1629840809167,10
1629840866477,10
1629841198180,10
1629841426272,10
1629841609055,10
1629841679861,10
1629842053464,10
1629842215765,10
1629842245758,10
1629842813571,10
1629842829769,10
1629842845068,10
1629842863165,10
1629845813120,10
1629845840928,10
1629846092938,10
1629846107631,10
1629846116729,10
1629846149046,10
1629846156432,10
1629846216133,10
1629857587837,10
1629857598504,10
1629857633219,10
