Sensor,s_0
1611830400,23
1611830460,23
1611830520,23
1611830580,23
1611830640,23
1611830700,23
1611830760,23
1611830820,23
1611830880,23
1611830940,23
1611831000,23
1611831060,23
1611831120,23
1611831180,23
1611831240,23
1611831300,23
1611831360,23
1611831420,23
1611831480,23
1611831540,23
1611831600,23
1611831660,23
1611831720,23
1611831780,23
1611831840,23
1611831900,23
1611831960,23
1611832020,23
1611832080,23
1611832140,23
1611832200,23
1611832260,23
1611832320,23
1611832380,23
1611832440,23
1611832500,23
1611832560,23
1611832620,23
1611832680,23
1611832740,23
1611832800,23
1611832860,23
1611832920,23
1611832980,23
1611833040,23
1611833100,23
1611833160,23
1611833220,23
1611833280,23
1611833340,23
1611833400,23
1611833460,23
1611833520,23
1611833580,23
1611833640,23
1611833700,23
1611833760,23
1611833820,23
1611833880,23
1611833940,23
1611834000,23
1611834060,23
1611834120,23
1611834180,23
1611834240,23
1611834300,23
1611834360,23
1611834420,23
1611834480,23
1611834540,23
1611834600,23
1611834660,23
1611834720,23
1611834780,23
1611834840,23
1611834900,23
1611834960,23
1611835020,23
1611835080,23
1611835140,23
1611835200,23
1611835260,23
1611835320,23
1611835380,23
1611835440,23
1611835500,23
1611835560,23
1611835620,23
1611835680,23
1611835740,23
1611835800,23
1611835860,23
1611835920,23
1611835980,23
1611836040,23
1611836100,23
1611836160,23
1611836220,23
1611836280,23
1611836340,23
1611836400,23
1611836460,23
1611836520,23
1611836580,23
1611836640,23
1611836700,23
1611836760,23
1611836820,23
1611836880,23
1611836940,23
1611837000,23
1611837060,23
1611837120,23
1611837180,23
1611837240,23
1611837300,23
1611837360,23
1611837420,23
1611837480,23
1611837540,23
1611837600,23
1611837660,23
1611837720,23
1611837780,22
1611837840,22
1611837900,22
1611837960,22
1611838020,22
1611838080,22
1611838140,22
1611838200,22
1611838260,22
1611838320,22
1611838380,22
1611838440,22
1611838500,22
1611838560,22
1611838620,22
1611838680,22
1611838740,22
1611838800,22
1611838860,22
1611838920,22
1611838980,22
1611839040,22
1611839100,22
1611839160,22
1611839220,22
1611839280,22
1611839340,22
1611839400,22
1611839460,22
1611839520,22
1611839580,22
1611839640,22
1611839700,22
1611839760,22
1611839820,22
1611839880,22
1611839940,22
1611840000,22
1611840060,22
1611840120,22
1611840180,22
1611840240,22
1611840300,22
1611840360,22
1611840420,22
1611840480,22
1611840540,22
1611840600,22
1611840660,22
1611840720,22
1611840780,22
1611840840,22
1611840900,22
1611840960,22
1611841020,22
1611841080,22
1611841140,22
1611841200,22
1611841260,22
1611841320,22
1611841380,22
1611841440,22
1611841500,22
1611841560,22
1611841620,22
1611841680,22
1611841740,22
1611841800,22
1611841860,22
1611841920,22
1611841980,22
1611842040,22
1611842100,22
1611842160,22
1611842220,22
1611842280,22
1611842340,22
1611842400,22
1611842460,22
1611842520,22
1611842580,22
1611842640,22
1611842700,22
1611842760,22
1611842820,22
1611842880,22
1611842940,22
1611843000,22
1611843060,22
1611843120,22
1611843180,22
1611843240,22
1611843300,22
1611843360,22
1611843420,22
1611843480,22
1611843540,22
1611843600,22
1611843660,22
1611843720,22
1611843780,22
1611843840,22
1611843900,22
1611843960,22
1611844020,22
1611844080,22
1611844140,22
1611844200,22
1611844260,22
1611844320,22
1611844380,22
1611844440,22
1611844500,22
1611844560,22
1611844620,22
1611844680,22
1611844740,22
1611844800,22
1611844860,22
1611844920,22
1611844980,22
1611845040,22
1611845100,22
1611845160,22
1611845220,22
1611845280,22
1611845340,22
1611845400,22
1611845460,22
1611845520,22
1611845580,22
1611845640,22
1611845700,22
1611845760,22
