Sensor,s_0
1589028629041,26
1589028629522,26
1589028630033,26
1589028630522,26
1589028631031,26
1589028631521,26
1589028658543,26
1589028659077,26
1589028659527,26
1589028766638,26
1589028767128,26
1589028805123,26
1589028805633,26
1589028850729,26
1589028851252,26
1589028886728,26
1589028888247,26
1589028890727,26
1589028891236,26
1589028891775,26
1589028954328,26
1589028954836,26
1589028955324,26
1589028955833,26
1589028956325,26
1589028956836,26
1589028957335,26
1589028957836,26
1589028958326,26
1589028958838,26
1589028959329,26
1589028991330,26
1589028991842,26
1589028992321,26
1589028992831,26
1589028993335,26
1589028993837,26
1589028994327,26
1589028994839,26
1589028995328,26
1589028995845,26
1589028996385,26
1589028996838,26
1589028997329,26
1589028997841,26
1589028998322,26
1589028998834,26
1589028999344,26
1589028999866,26
1589029000326,26
1589029000839,26
1589029001389,26
1589029001847,26
1589029002328,26
1589029002837,26
1589029003325,26
1589029003835,26
1589029004324,26
1589029004833,26
1589029005336,26
1589029005841,26
1589029006387,26
1589029006836,26
1589029007324,26
1589029007833,26
1589029008327,26
1589029008836,26
1589029009325,26
1589029009841,26
1589029010321,26
1589029010832,26
1589029011381,26
1589029011843,26
1589029012344,26
1589029012834,26
1589029013323,26
1589029013833,26
1589029014328,26
1589029014837,26
1589029015326,26
1589029015836,26
1589029016385,26
1589029016836,26
1589029017339,26
1589029017842,26
1589029018321,26
1589029018831,26
1589029019321,26
1589029019845,26
1589029020328,23
1589029020837,23
1589029162328,23
1589029162839,23
1589029163329,23
1589029163844,23
1589029164330,23
1589029164834,23
1589029165325,23
1589029165839,23
1589029166329,23
1589029166889,23
1589029199328,23
1589029200328,23
1589029200838,23
1589029201839,23
1589029202330,23
1589029202860,23
1589029203351,23
1589029355438,23
1589029355928,23
1589029356461,23
1589029356973,23
1589029357440,23
1589029357940,23
1589029358439,23
1589029358921,23
1589029359439,23
1589029359930,23
1589029362937,23
1589029369928,23
1589029375500,23
1589029377928,23
1589029378930,23
1589029379444,23
1589029380969,23
1589029381937,23
1589029383929,23
1589029385498,23
1589029385929,23
1589029387435,23
1589029387924,23
1589029388924,23
1589029390499,23
1589029393464,23
1589029393923,23
1589029394436,23
1589029394928,23
1589029395933,23
1589029396435,23
1589029397926,23
1589029398936,23
1589029399435,23
1589029400493,23
1589029402441,23
1589029402921,23
1589029403440,23
1589029403928,23
1589029406438,23
1589029406928,23
1589029408438,23
1589029410504,23
1589029411434,23
1589029412924,23
1589029414921,23
1589029566528,23
1589029569526,23
1589029570546,23
1589029603033,23
1589029604040,23
1589029829128,23
1589029829639,23
1589029830129,23
1589029830631,23
1589029831123,23
1589029831634,23
1589029832171,23
1589029832643,23
1589029833135,23
1589029833643,23
1589029834175,23
1589029860127,23
1589029860637,23
1589029861125,23
1589029861635,23
1589029862136,23
1589029862636,23
1589029863124,23
1589029863633,23
1589029864124,23
1589029864640,23
1589029865179,23
1589029865638,23
1589029866126,23
1589029866635,23
1589029867123,23
1589029867633,23
1589029868143,23
1589029868663,23
1589029869124,23
1589029869660,23
1589029958647,23
1589029959127,23
1589029959637,23
1589029960125,23
1589029960634,23
1589029961127,23
1589029961636,23
1589029962125,23
1589029962633,23
1589029963123,23
1589029963785,23
1589029964236,23
1589029989724,23
1589029990234,23
1589029990724,23
1589029991236,23
1589029991738,23
1589029992242,23
1589029992724,23
1589029993236,23
1589029993727,23
1589029994246,23
1589030020236,23
1589030029232,23
1589030030249,23
1589030116728,23
1589030117236,23
1589030117743,23
1589030219738,23
1589030220238,23
1589030220728,23
1589030337239,23
1589030337728,23
1589030338239,23
1589030338727,23
1589030339237,23
1589030339736,23
1589030340236,23
1589030340727,23
1589030341243,23
1589030341726,23
1589030342238,23
1589030342729,23
1589030343238,23
1589030343727,23
1589030344237,23
1589030344725,23
1589030345235,23
1589030345770,23
1589030346240,23
1589030346741,23
1589030347242,23
1589030347721,23
1589030348247,23
1589030348728,23
1589030349238,23
1589030349726,23
1589030350235,23
1589030350724,23
1589030351234,23
1589030351738,23
1589030352241,23
1589030352722,23
1589030353235,23
1589030353725,23
1589030354238,23
1589030354728,23
1589030355238,23
1589030355723,23
1589030356235,23
1589030356726,23
1589030357238,23
1589030357751,23
1589030358267,23
1589030358728,23
1589030359238,23
1589030359727,23
1589030360245,23
1589030360728,23
1589030361238,23
1589030361734,23
1589030362241,23
1589030362722,23
1589030363241,23
1589030363737,23
1589030364236,23
1589030364724,23
1589030365233,23
1589030365721,23
1589030366231,23
1589030366721,23
1589030367233,23
1589030367725,23
1589030368240,23
1589030368720,23
1589030369261,23
1589030369752,23
1589030370241,23
1589030370740,23
1589030371238,23
1589030371728,23
1589030372265,23
1589030372731,23
1589030373234,23
1589030373726,23
1589030374239,23
1589030374728,23
