Sensor,s_0
0,7
309,27
618,55
926,65
1234,68
1544,64
1854,65
2163,61
2472,60
2781,61
3090,66
3397,57
3707,60
4014,56
4324,65
4635,60
4944,60
5254,58
5562,57
5871,58
6179,56
6488,55
6795,53
7105,53
7415,51
7724,53
8034,51
8343,51
8651,49
8961,54
9271,47
9577,47
9886,47
10195,48
10504,48
10812,47
11120,47
11430,48
11738,47
12047,49
12354,44
12663,43
12972,43
13281,47
13589,44
13898,46
14208,42
14516,43
14825,43
15134,43
15444,45
15751,41
16059,46
16367,40
16679,45
16986,41
17296,43
17605,42
17914,41
18224,43
18531,40
18841,42
19150,43
19459,41
19767,26
20077,6
20386,6
20695,6
21005,6
21312,6
21622,6
21929,6
22239,6
22548,6
22857,6
23167,6
23474,6
23784,6
24094,6
24403,6
24712,6
25021,7
25330,29
25640,59
25949,65
26259,64
26568,60
26877,61
27186,62
27494,61
27804,59
28111,63
28421,61
28729,57
29038,59
29346,57
29655,61
29965,57
30274,60
30582,53
30891,56
31200,56
31509,57
31819,53
32127,53
32436,54
32744,51
33054,55
33364,50
33672,50
33980,49
34291,51
34599,47
34908,52
35218,46
35527,51
35834,47
36143,46
36453,49
36762,45
37072,46
37381,49
37691,44
38000,46
38307,44
38617,44
38925,45
39234,45
39542,43
39851,7
40160,6
40469,6
40779,6
41087,6
41396,6
41704,6
42012,6
42321,6
42630,6
42939,6
43248,6
43557,6
43867,6
44174,6
44483,6
44793,6
45102,10
45412,37
45719,57
46029,66
46339,62
46648,64
46958,60
47265,61
47575,59
47884,58
48194,59
48502,58
48812,58
49120,58
49429,57
49740,57
50047,54
50357,60
50665,54
50974,59
51284,54
51593,54
51903,55
52211,51
52517,52
52826,49
53134,51
53443,48
53753,51
54060,49
54369,38
54679,49
54986,47
55296,52
55605,45
55913,48
56222,47
56530,47
56840,46
57149,48
57457,46
57766,48
58076,47
58385,47
58695,43
59004,43
59312,44
59621,44
59930,46
60238,42
60547,43
60856,46
61166,42
61475,44
61783,41
62092,44
62400,40
62710,44
63020,40
63328,42
63637,44
63947,41
64257,41
64565,40
64873,6
65179,6
65488,6
65797,6
66108,6
66416,6
66726,6
67035,6
67344,6
67652,6
67961,6
68270,6
68578,6
68884,6
69195,6
69504,6
69814,6
70124,10
70433,37
70741,55
71050,62
71358,59
71667,66
71975,57
72284,59
72591,59
72900,61
73210,57
73519,62
73828,60
74136,55
74445,61
74753,54
75062,59
75372,53
75680,57
75990,56
76300,57
76608,55
76918,55
77227,52
77537,51
77846,52
78155,49
78463,50
78772,47
79082,50
79390,47
79698,49
80004,48
80314,48
80622,50
80931,48
81241,46
81550,47
81858,47
82164,44
82473,44
82783,47
83092,45
83402,46
83709,43
84019,48
84329,42
84639,44
84949,6
85257,6
85565,6
85875,6
86182,6
86492,6
86802,6
87112,6
87421,6
87731,6
88040,6
88350,6
88659,6
88969,6
89277,6
89586,6
89895,6
90203,15
90513,46
90823,60
91130,60
91440,65
91749,60
92059,62
92367,56
92675,59
92983,58
93292,54
93602,53
93911,57
94221,50
94529,51
94839,51
95148,51
95457,53
95765,47
96074,50
96382,46
96692,51
97002,45
97311,49
97618,43
97928,48
98236,43
98545,47
98855,43
99165,47
99472,42
99782,43
100089,42
100399,42
100706,41
101016,43
101326,31
101635,41
101945,39
102254,39
102563,41
102871,39
103180,39
103489,38
103799,37
104109,41
104417,37
104724,40
105033,37
105342,37
105652,39
105961,36
106271,36
106580,35
106890,37
107198,34
107506,36
107816,37
108123,36
108432,34
108741,39
109051,34
109361,37
109670,34
109980,0
110288,0
110606,0
110911,0
111218,0
111523,0
111829,0
112132,0
112438,0
112745,0
113050,0
113356,0
113660,0
113965,0
114270,0
114575,0
114879,0
115184,8
115489,35
115793,50
116098,55
116402,54
116708,53
117012,51
117317,52
117621,51
117928,51
118232,49
118537,50
118842,49
119147,49
119451,48
119756,52
120061,50
120365,46
120670,47
120975,48
121280,46
121585,44
121890,45
122195,45
122499,46
122804,42
123108,42
123413,43
123718,42
124023,41
124328,39
124632,41
124937,40
125241,39
125549,41
125854,40
126159,38
126464,37
126770,41
127074,38
127380,37
127685,36
127990,37
128294,37
128598,37
128904,37
129209,38
129514,36
129818,3
130124,0
130428,0
130734,0
131038,0
131343,0
131648,0
131952,0
132257,0
132561,0
132866,0
133171,0
133475,0
133781,0
134085,0
134392,0
134698,0
135003,1
135308,20
135612,44
135917,53
136222,55
136526,54
136831,51
137136,50
137441,52
137745,54
138050,49
138354,49
138672,49
138980,51
139291,49
139598,50
139906,49
140213,47
140523,48
140830,52
141138,50
141448,50
141758,48
142067,47
142376,52
142685,47
142995,48
143303,46
143612,46
143919,47
144226,42
144535,43
144845,45
145154,42
145464,44
145771,41
146081,41
146391,39
146699,40
147008,39
147317,43
147627,38
147936,40
148245,41
148554,39
148863,37
149173,41
149480,37
149790,40
150099,38
150409,36
150716,39
151024,38
151332,39
151642,38
151951,36
152261,37
152570,36
152880,37
153189,39
153498,35
153808,39
154117,36
154426,37
154735,38
155044,0
155353,0
155661,0
155970,0
156280,0
156589,0
156898,0
157208,0
157517,0
157826,0
158136,0
158445,0
158755,0
159064,0
159374,0
159684,0
159991,1
160298,19
160607,54
160917,55
161227,61
161535,60
161844,56
162154,52
162463,58
162772,51
163081,52
163389,53
163696,50
164006,56
164315,52
164624,54
164933,53
165243,53
165553,49
165862,51
166170,46
166480,49
166788,48
167097,50
167407,47
167716,46
168025,49
168336,46
168643,44
168953,47
169260,43
169570,43
169878,42
170188,39
170497,42
170807,42
171116,41
171425,42
171733,40
172042,40
172351,40
172660,40
172969,37
173278,39
173585,29
173894,42
174203,39
174512,38
174821,3
175130,0
175439,0
175748,0
176057,0
176365,0
176675,0
176985,0
177293,0
177601,0
177911,0
178220,0
178531,0
178841,0
179149,0
179457,0
179766,0
180074,3
180383,30
180690,61
180998,59
181307,65
181617,58
181925,54
182235,58
182542,53
182852,59
183162,51
183471,56
183780,51
184089,54
184399,54
184707,51
185015,52
185324,50
185633,53
185941,52
186250,53
186558,47
186868,54
187177,46
187487,50
187794,47
188103,45
188413,50
188722,44
189032,49
189341,43
189651,44
189958,40
190268,46
190579,41
190888,46
191197,40
191506,41
191816,42
192124,41
192433,41
192742,41
193051,39
193361,43
193671,39
193980,42
194288,39
194597,38
194906,40
195215,38
195524,38
195832,36
196142,40
196450,37
196759,39
197067,37
197377,38
197685,36
197993,35
198302,40
198612,35
198921,40
199231,34
199540,40
199849,1
200157,0
200466,0
200774,0
201084,0
201392,0
201700,0
202008,0
202317,0
202626,0
202934,0
203244,0
203553,0
203863,0
204172,0
204482,0
204792,0
205100,4
205410,36
205719,56
206029,63
206339,61
206647,55
206956,58
207265,54
207573,54
207882,59
208189,52
208499,54
208808,57
209118,54
209428,55
209737,53
210047,54
210355,53
210664,50
210973,55
211282,48
211592,52
211900,48
212209,48
212518,52
212827,45
213137,49
213444,43
213753,45
214063,47
214371,45
214680,45
214990,43
215298,41
215608,44
215915,41
216225,41
216534,44
216844,39
217153,44
217462,38
217772,45
218082,38
218389,41
218698,38
219008,41
219317,42
219627,41
219934,0
220243,0
220553,0
220861,0
221170,0
221478,0
221785,0
222094,0
222402,0
222711,0
223019,0
223328,0
223637,0
223947,0
224257,0
224565,0
224874,0
225183,10
225491,44
225801,60
226110,63
226420,58
226730,65
227039,56
227348,57
227657,58
227967,56
228277,55
228587,58
228895,51
229205,61
229514,51
229822,53
230131,52
230441,56
230748,50
231058,52
231367,50
231677,54
231986,48
232296,51
232605,47
232914,46
233221,48
233530,47
233840,46
234149,44
234458,46
234766,42
235076,46
235385,42
235692,43
236001,46
236311,40
236620,44
236928,39
237237,43
237546,39
237854,40
238163,39
238472,42
238779,39
239088,38
239398,42
239707,37
240017,43
240326,37
240635,38
240944,40
241253,36
241561,37
241871,38
242180,37
242488,36
242797,37
243107,39
243415,37
243724,36
244034,25
244341,37
244650,38
244958,0
245267,0
245576,0
245886,0
246195,0
246504,0
246813,0
247123,0
247431,0
247739,0
248048,0
248357,0
248665,0
248975,0
249284,0
249593,0
249901,0
250211,12
250520,49
250829,60
251138,61
251446,60
251756,60
252064,57
252373,60
252682,54
252992,58
253300,53
253608,55
253917,51
254227,57
254534,51
254844,59
255153,50
255463,57
255772,50
256079,49
256389,55
256697,48
257007,53
257315,46
257625,49
257933,45
258242,50
258550,45
258858,47
259166,44
259476,42
259785,45
260091,43
260402,44
260711,42
261019,43
261327,45
261636,42
261946,42
262255,42
262562,41
262872,41
263181,39
263491,40
263800,42
264109,38
264419,43
264727,38
265036,0
265345,0
265654,0
265964,0
266273,0
266583,0
266890,0
267200,0
267508,0
267817,0
268125,0
268432,0
268741,0
269049,0
269357,0
269667,0
269975,1
270284,21
270594,53
270903,61
271211,58
271519,61
271829,60
272137,58
272446,54
272755,59
273064,53
273374,58
273683,52
273993,55
274304,55
274613,54
274922,55
275230,58
275540,54
275849,51
276159,53
276467,49
276776,51
277085,47
277395,52
277703,47
278013,53
278323,45
278631,51
278940,45
279250,46
279559,41
279869,44
280177,46
280485,42
280795,44
281102,40
281412,46
281719,39
282029,43
282339,39
282647,40
282957,39
283266,40
283576,42
283883,39
284192,39
284503,38
284812,42
285122,38
285431,41
285739,39
286048,43
286358,37
286668,42
286977,37
287287,42
287596,37
287906,39
288214,36
288523,39
288831,37
289139,36
289449,38
289756,37
290066,0
290375,0
290684,0
290994,0
291301,0
291610,0
291920,0
292229,0
292538,0
292847,0
293157,0
293466,0
293776,0
294086,0
294395,0
294705,0
295014,1
295323,26
295632,58
295942,62
296252,63
296561,65
296871,56
297179,57
297489,57
297797,54
298106,59
298414,53
298723,58
299034,54
299342,55
299651,56
299959,53
300268,55
300578,52
300887,54
301195,50
301505,51
301814,49
302123,50
302431,37
302741,51
303049,44
303358,51
303668,46
303977,49
304284,43
304593,43
304903,44
305210,42
305520,46
305829,42
306138,42
306448,41
306755,41
307065,39
307373,43
307681,40
307991,42
308298,40
308608,41
308916,40
309224,38
309534,41
309841,1
310151,0
310459,0
310778,0
311085,0
311390,0
311695,0
312000,0
312304,0
312609,0
312915,0
313220,0
313524,0
313831,0
314135,0
314440,0
314744,0
315049,2
315354,30
315658,52
315963,57
316269,60
316573,58
316877,54
317182,53
317487,54
317791,54
318096,51
318401,51
318706,52
319011,55
319315,51
319620,50
319924,51
320229,51
320534,49
320838,48
321143,49
321448,52
321752,47
322057,46
322363,46
322666,46
322971,44
323276,43
323581,43
323885,47
324190,44
324495,41
324799,41
325104,43
325408,40
325713,39
326018,41
326323,41
326628,39
326932,38
327237,39
327542,39
327847,40
328151,38
328455,38
328760,38
329065,38
329370,36
329674,37
329979,38
330284,37
330588,36
330894,37
331198,37
331503,36
331808,35
332113,36
332418,38
332723,38
333029,35
333335,37
333640,36
333946,37
334251,35
334556,36
334861,1
335165,0
335470,0
335775,0
336079,0
336384,0
336689,0
336993,0
337298,0
337603,0
337907,0
338212,0
338517,0
338822,0
339126,0
339431,0
339736,0
340041,2
340345,28
340650,54
340955,58
341259,55
341564,56
341868,57
342173,57
342478,51
342783,53
343087,54
343392,52
343696,50
344001,51
344394,50
344702,52
345008,51
345312,49
345616,49
345922,51
346226,50
346531,48
346835,46
347140,46
347445,47
347749,45
348054,43
348358,44
348664,44
348969,43
349274,41
349579,41
349883,42
350188,41
350492,40
350797,40
351102,40
351407,40
351711,39
352016,38
352321,39
352625,39
352930,37
353235,37
353539,38
353847,38
354152,37
354457,40
354762,37
355067,0
355371,0
355676,0
355980,0
356285,0
356590,0
356895,0
357200,0
357504,0
357809,0
358115,0
358420,0
358725,0
359030,0
359334,0
359639,0
359943,0
360248,16
360553,50
360858,63
361162,58
361467,58
361772,55
362076,58
362381,54
362686,52
362990,53
363295,54
363599,52
363905,52
364209,51
364514,52
364818,51
365123,49
365428,49
365733,51
366037,50
366343,47
366648,49
366952,49
367257,47
367563,46
367866,44
368172,47
368475,45
368780,43
369085,42
369390,43
369694,42
370000,43
370305,41
370610,41
370915,41
371220,40
371524,39
371829,40
372134,39
372440,40
372745,38
373050,39
373355,38
373660,40
373966,38
374272,40
374576,37
374882,36
375186,37
375491,37
375796,38
376101,36
376408,38
376712,37
377016,36
377321,36
377626,36
377931,36
378236,35
378540,35
378844,35
379150,38
379454,34
379759,34
380064,0
380368,0
380673,0
380977,0
381282,0
381587,0
381891,0
382196,0
382501,0
382807,0
383112,0
383417,0
383724,0
384032,0
384337,0
384641,0
384945,0
385250,17
385556,46
