Sensor,s_0
0,-3080351.1132453913
1,-3078929.828165509
2,-3079088.842035552
3,-3079797.656255383
4,-3080539.5455672443
5,-3080388.011002078
6,-3080408.321230869
7,-3079063.9110493953
8,-3079390.146843309
9,-3081384.953645429
10,-3080225.7746849596
11,-3080739.9641644657
12,-3080742.807931256
13,-3078726.3239442552
14,-3078730.867295563
15,-3079394.9192443267
16,-3078402.994354612
17,-3075729.8246413385
18,-3075783.2574507417
19,-3076245.7369954125
20,-3075516.3209242676
21,-3074049.998235075
22,-3072754.412096575
23,-3070931.079790101
24,-3070382.6971362783
25,-3070461.206416864
26,-3072263.0365478666
27,-3070785.146375732
28,-3067276.6829637275
29,-3067885.637413827
30,-3064916.048307359
31,-3065074.2848865995
32,-3063870.3732879637
33,-3063908.684761787
34,-3062333.060063249
35,-3059955.1636872045
36,-3061622.5659489897
37,-3060826.296261144
38,-3060991.846682137
39,-3058884.7242788724
40,-3059994.7861823714
41,-3060325.78187214
42,-3060805.6347437697
43,-3061662.8708469947
44,-3059763.843713598
45,-3060057.88943168
46,-3058625.879201619
47,-3056916.796179529
48,-3056953.680006001
49,-3054263.0237100073
50,-3053680.2315359944
51,-3051199.7367968364
52,-3051280.74145799
53,-3051768.0447609853
54,-3049677.331931463
55,-3048409.314256947
56,-3047284.248019333
57,-3045287.0900131958
58,-3042905.577382618
59,-3040822.8799977
60,-3040935.2498724866
61,-3036351.5800912417
62,-3037448.246469878
63,-3034443.138083434
64,-3035001.3751054783
65,-3032595.15590374
66,-3030313.1136483382
67,-3031652.09573791
68,-3029622.4521166687
69,-3028144.164814958
70,-3025831.2805416
71,-3026123.1669331407
72,-3026374.1905096346
73,-3024343.8157579536
74,-3022604.935197817
75,-3022596.9070563214
76,-3023229.74420213
77,-3025141.9786795476
78,-3025430.1226662393
79,-3025115.1751302765
80,-3026892.091983161
81,-3027128.6386963
82,-3025738.5821828544
83,-3024569.6918831887
84,-3024578.682738422
85,-3022100.7947704704
86,-3022274.6469660467
87,-3022629.0212065103
88,-3023269.6007770556
89,-3019495.408336725
90,-3020105.2082876163
91,-3020298.101262982
92,-3020640.470723757
93,-3019124.0565948864
94,-3016932.2688968675
95,-3017041.625733113
96,-3014011.9745675353
97,-3014568.4988897787
98,-3013381.153684311
99,-3011902.8414515294
100,-3012642.902060812
101,-3011883.6303533507
102,-3012121.6363570937
103,-3012191.9194206214
104,-3012886.383541443
105,-3009935.4892599466
106,-3010188.5115823243
107,-3006806.8945482895
108,-3007156.980598136
109,-3004511.3699076227
110,-3002225.62799307
111,-3002552.265105789
112,-3001324.004510926
113,-3000644.556188994
114,-3000964.1463259915
