Sensor,s_0
0,1421011
1,1420090
2,1420167
3,1420327
4,1420399
5,1420020
6,1420827
7,1418910
8,1418786
9,1419021
10,1419312
11,1419474
12,1418332
13,1417460
14,1416995
15,1416091
16,1416243
17,1415553
18,1414562
19,1411206
20,1411676
21,1412016
22,1411604
23,1410263
24,1409626
25,1408077
26,1407122
27,1407431
28,1408254
29,1408410
30,1407697
31,1407656
32,1407995
33,1405918
34,1406472
35,1407551
36,1409184
37,1409033
38,1409641
39,1408612
40,1410071
41,1410947
42,1410576
43,1409623
44,1409671
45,1409975
46,1410505
47,1410374
48,1410701
49,1411298
50,1410704
51,1411019
52,1408335
53,1409670
54,1407213
55,1408340
56,1409213
57,1408553
58,1408712
59,1408456
60,1407028
61,1407934
62,1407175
63,1407122
64,1406133
65,1405157
66,1407364
67,1407935
68,1407197
69,1407689
70,1406829
71,1407080
72,1406517
73,1405509
74,1402872
75,1404177
76,1404997
77,1405237
78,1405254
79,1405232
80,1405309
81,1405697
82,1406223
83,1404486
84,1404465
85,1404864
86,1407890
87,1406089
88,1404936
89,1404895
90,1405176
91,1405878
92,1406305
93,1404905
94,1405227
95,1404254
96,1403952
97,1405176
98,1404035
99,1402258
100,1401925
101,1401952
102,1400652
103,1400878
104,1399961
105,1399817
106,1400144
107,1400678
108,1401079
109,1399062
110,1398655
111,1398852
112,1398169
113,1399254
114,1400136
115,1399244
116,1399819
117,1401346
118,1399632
119,1400429
120,1400191
121,1400355
122,1401046
123,1401204
124,1402307
125,1402551
126,1402287
127,1402808
128,1402012
129,1401251
130,1398398
131,1398627
132,1399589
133,1398886
134,1396596
135,1396147
136,1395477
137,1396020
138,1396294
139,1397031
140,1397164
141,1397324
142,1396754
143,1397152
144,1397177
145,1398401
146,1398817
147,1398086
148,1395883
149,1395935
150,1395064
151,1395175
152,1395848
153,1394325
154,1391954
155,1392693
156,1393063
157,1393061
158,1393800
159,1393899
160,1393553
161,1393430
162,1392434
163,1390833
164,1388845
165,1387982
166,1389063
167,1389668
168,1390993
169,1391189
170,1391332
171,1391871
172,1390192
173,1391166
174,1391549
175,1390364
176,1390106
177,1390494
178,1390424
179,1391508
180,1391672
181,1389746
182,1390430
183,1388594
184,1389542
185,1389106
186,1387932
187,1384486
188,1384048
189,1384618
190,1383847
191,1383861
192,1384047
193,1384415
194,1384063
195,1382910
196,1380565
197,1381074
198,1381173
199,1379967
200,1380692
201,1381096
202,1379871
203,1377370
204,1376452
205,1376351
206,1375311
207,1374667
208,1375426
209,1373796
210,1373566
211,1374800
212,1374884
213,1375869
214,1374869
215,1375517
216,1377796
217,1376240
218,1375693
219,1376633
220,1375154
221,1375427
222,1375555
223,1375989
224,1375450
225,1375586
226,1375766
227,1376268
228,1376762
229,1377836
230,1377150
231,1378560
232,1379143
233,1378021
234,1378662
235,1379632
236,1377668
237,1375961
238,1374219
239,1373939
240,1373235
241,1372229
242,1370333
243,1370145
244,1370436
245,1371727
246,1370533
247,1370603
248,1371350
249,1371866
250,1372140
251,1371307
252,1372598
253,1373656
254,1372719
255,1373312
256,1374032
257,1374431
258,1374276
259,1372214
260,1372323
261,1372506
262,1372145
263,1370977
264,1369637
265,1367004
266,1365164
267,1365495
268,1365323
269,1366350
270,1365210
271,1366538
272,1366424
273,1367963
274,1366999
275,1366354
276,1366640
277,1367239
278,1367743
279,1367257
280,1367049
281,1366398
282,1364565
283,1362261
284,1362252
285,1361215
286,1362650
287,1362148
288,1362217
289,1362819
290,1361978
291,1361060
292,1360144
293,1360496
294,1360399
295,1360478
296,1359935
297,1359797
298,1357491
299,1358399
300,1357405
301,1358896
302,1357818
303,1357986
304,1356301
305,1355301
306,1352807
307,1353368
308,1353779
309,1353794
310,1351785
311,1350582
312,1350912
313,1350640
314,1348936
315,1350013
316,1348539
317,1347945
318,1346595
319,1345100
320,1343353
321,1343271
322,1343657
323,1344620
324,1345488
325,1346015
326,1345326
327,1345330
328,1344777
329,1344903
330,1342668
331,1340517
332,1339394
333,1338965
334,1339530
335,1338944
336,1337476
337,1337834
338,1337794
339,1336427
340,1334582
341,1335770
342,1334777
343,1335735
344,1334618
345,1335972
346,1334678
347,1334705
348,1335441
349,1335876
350,1336107
351,1336172
352,1336273
353,1336272
354,1336643
355,1334803
356,1334675
357,1334937
358,1334861
359,1333918
360,1334281
361,1334189
362,1335637
363,1334933
364,1335635
365,1333931
366,1331847
367,1332532
368,1332746
369,1333527
370,1332802
371,1331081
372,1331318
373,1333469
374,1334061
375,1332349
376,1332699
377,1331486
378,1329794
379,1330735
380,1329131
381,1329907
382,1328458
383,1327567
384,1326461
385,1325022
386,1326054
387,1326173
388,1324814
389,1323422
390,1321693
391,1322047
392,1320543
393,1318617
394,1317255
395,1315808
396,1315650
397,1314119
398,1314089
399,1316329
400,1316417
401,1317400
402,1317788
403,1318784
404,1319205
405,1320096
406,1320384
407,1320156
408,1320786
409,1322060
410,1321344
411,1323562
412,1321704
413,1322242
414,1321232
415,1321006
416,1322778
417,1320620
418,1321352
419,1320928
420,1320171
421,1320438
422,1319243
423,1318711
424,1318094
425,1318890
426,1319337
427,1319370
428,1321323
429,1322768
430,1323469
431,1323758
432,1322832
433,1323126
434,1324189
435,1323157
436,1324168
437,1324612
438,1323602
439,1323128
440,1323351
441,1320599
442,1319532
443,1319450
444,1318757
445,1318897
446,1316718
447,1317803
448,1317145
449,1317053
450,1317818
451,1317978
452,1318000
453,1318608
454,1316180
455,1317446
456,1314425
457,1314523
458,1315836
459,1313755
460,1311682
461,1312027
462,1312733
463,1312521
464,1312968
465,1314707
466,1314705
467,1315051
468,1313074
469,1313784
470,1314700
471,1314422
472,1314608
473,1314642
474,1314675
475,1315516
476,1315041
477,1315523
478,1314883
479,1313924
480,1313445
481,1314192
482,1314776
483,1315116
484,1314503
485,1312453
486,1312907
487,1311633
488,1310531
489,1310018
490,1310042
491,1310187
492,1310720
493,1310287
494,1309998
495,1309828
496,1308743
497,1308314
498,1309192
499,1309643
500,1309994
501,1309586
502,1309253
503,1307875
504,1308077
505,1308412
506,1308939
507,1309059
508,1309605
509,1309786
510,1310337
511,1310847
512,1310722
513,1311663
514,1311886
515,1311327
516,1310355
517,1308912
518,1309981
519,1309922
520,1308647
521,1309821
522,1308348
523,1307333
524,1307275
525,1305391
526,1306001
527,1306209
528,1305155
529,1304265
530,1304907
531,1303934
532,1304083
533,1304297
534,1303480
535,1304144
536,1303152
537,1303460
538,1303480
539,1302363
540,1302041
541,1302267
542,1299735
543,1299337
544,1298801
545,1299838
546,1299196
547,1298799
548,1298574
549,1299260
550,1299183
551,1298381
552,1295392
553,1293417
554,1294881
555,1293258
556,1292411
557,1292975
558,1291619
559,1293415
560,1294576
561,1294836
562,1293526
563,1293548
564,1294251
565,1295182
566,1293696
567,1293793
568,1294583
569,1294310
570,1293051
571,1293721
572,1293129
573,1292622
574,1293900
575,1294149
576,1294752
577,1293842
578,1292396
579,1289877
580,1287720
581,1288950
582,1289630
583,1291181
584,1290213
