Sensor,s_0
0,-4917.138575246264
1,-5013.316526993305
2,-5018.520736171148
3,-4821.30107137887
4,-4814.8061705841155
5,-4844.179417895136
6,-4792.519507468017
7,-4471.376103346174
8,-4478.131425909729
9,-4371.5378958281635
10,-4170.736180596801
11,-4199.377995845818
12,-4152.122944658098
13,-4206.7262620649835
14,-4419.169793765027
15,-4361.520951113765
16,-4282.832254067527
17,-4211.837482631876
18,-4142.992496021223
19,-4204.3891004049465
20,-4255.8868914396935
21,-4412.800911676382
22,-4388.375803770929
23,-4445.130819109203
24,-4334.576622145905
25,-4188.721545010421
26,-4057.57521138339
27,-4024.0504252235683
28,-3967.5893383263838
29,-4034.4996130716763
30,-4074.914903474625
31,-4146.871930112552
32,-4130.011580062843
33,-4034.8291230519008
34,-4023.4271571925156
35,-3999.4857436509346
36,-4094.6028203062015
37,-4229.29614534475
38,-3991.8930260818174
39,-3936.495218504112
40,-3854.0351831015246
41,-3949.339919596775
42,-4058.3307063470234
43,-4085.055408630173
44,-4150.543187805348
45,-4349.0278858754045
46,-4423.090050491484
47,-4505.140006645666
48,-4502.815498342021
49,-4455.580790914386
50,-4338.937902180524
51,-4403.2663400165575
52,-4345.543512055521
53,-4431.130841957952
54,-4498.635229581347
55,-4622.257776495683
56,-4716.468628227475
57,-4890.041112435388
58,-4901.718673364053
59,-4835.53389450266
60,-4952.426085860379
61,-4964.063212629022
62,-4933.129912979407
63,-5067.3793232022435
64,-5090.6634043325585
65,-5082.1522946999
66,-5168.384602358128
67,-5220.068211239781
68,-5205.433898761423
69,-5185.363678676262
70,-5356.433019253149
71,-5395.994373223134
72,-5343.748592483065
73,-5203.12446561731
74,-4961.4080575394455
75,-4769.123494526527
76,-4810.033915162697
77,-4874.369013275606
78,-4851.43366323488
79,-4767.115189252059
80,-5087.414939450551
81,-5025.920803240886
82,-5103.77673830422
83,-5106.982168533942
84,-5131.3725355197585
85,-5130.273769261232
86,-5140.409179419389
87,-5183.793241503226
88,-5093.074223178593
89,-5090.906570821306
90,-5116.5554305795395
91,-5008.440046829594
92,-4955.199039885256
93,-4747.456297367317
94,-4841.686910401217
95,-4844.732287581338
96,-4978.891101403253
97,-4777.716070334171
98,-4835.192290562667
99,-4673.717872749754
100,-4640.971661562031
101,-4499.434246558734
102,-4539.3528069363965
103,-4439.11001523857
104,-4391.347369704037
105,-4309.21622996898
106,-4320.369506090978
107,-4335.428241424272
108,-4469.967564000587
109,-4611.926152714091
110,-4562.857129752989
111,-4713.00528583268
112,-4730.8620288800175
113,-4776.6811361552445
114,-4595.722902243234
115,-4732.887389799471
116,-4794.729733845508
117,-4956.688513135543
118,-4968.666613226812
119,-4970.601000598877
120,-4897.674750297003
121,-4828.995366748023
122,-5054.666646393879
123,-4908.438937511345
124,-4945.867168758282
125,-4723.95487698786
126,-4873.91296122193
127,-4903.720483813362
128,-4818.462134495839
129,-4874.140595012377
130,-4713.898250584034
131,-4674.623770517586
132,-4951.045882443485
133,-4866.2251525851025
134,-4855.779012265269
135,-4730.858356397164
136,-4511.668408137203
137,-4522.51064274068
138,-4676.268358227764
139,-4661.344902611454
140,-4632.056465547358
141,-4500.866949045673
142,-4441.048507640988
143,-4402.99280190935
144,-4526.068588573826
145,-4476.402515052319
146,-4598.150556979947
147,-4504.981900128769
148,-4353.688393396739
149,-4348.977736900049
150,-4441.348091212142
151,-4289.476797349549
152,-4214.4267227776245
153,-4173.469409792187
154,-4008.5125336055835
155,-3715.9985535525607
156,-3687.8277686040983
157,-3542.9063193734282
158,-3469.4395162564106
159,-3548.1675420669803
160,-3428.9639281449963
161,-3518.0719334168753
162,-3526.9142560001
163,-3614.32009175284
164,-3580.4505918272503
165,-3518.030577955054
166,-3269.438830712655
167,-3351.8545715773766
168,-3402.999482633014
169,-3465.2827975780183
170,-3344.9114455314257
171,-3439.786954723746
172,-3670.445775195922
173,-3650.36569412438
174,-3636.4885619069873
175,-3614.3700811551125
176,-3639.4503819450183
177,-3701.105770668336
178,-3687.6631091863983
179,-3405.622227677944
180,-3616.4207933323596
181,-3646.4299045954826
182,-3443.759150270056
183,-3495.686611238162
184,-3629.6187399754417
185,-3612.5034029650833
186,-3496.1535608682752
187,-3517.3101691950114
188,-3573.302196282866
189,-3676.3351700138483
190,-3740.8503818938225
191,-3709.4233273244854
192,-3734.6486485789774
193,-3681.148601733503
194,-3867.379301667819
195,-3980.0262709286135
196,-4126.239008195358
197,-4115.188762331594
198,-4080.429727992316
199,-4121.597577034921
200,-3938.679176516621
201,-4106.557681467847
202,-4226.338136067891
203,-4216.008017728789
204,-4081.178762953614
205,-4100.897084123248
206,-4012.75933471443
207,-3963.496058936911
208,-4004.1897951964734
209,-4003.2683315208815
210,-4058.3200725497395
211,-4078.4425640216537
212,-4084.658455034513
213,-4138.003126867107
214,-4097.286325347217
215,-4175.293833443288
216,-4120.247724200253
217,-4081.5596544241407
218,-4084.2233135898773
219,-4121.678229605293
220,-4091.5599518529616
221,-4138.5936172950105
222,-4187.597363457858
223,-4163.50845541575
224,-4135.085783352133
225,-4164.814058133248
226,-4189.856783004309
227,-4420.777634096996
228,-4436.9187900249235
229,-4378.557915256109
230,-4288.525222446394
231,-4260.9946083124305
232,-4263.489647571254
233,-4245.529202073502
234,-4337.281699203062
235,-4333.572487693695
236,-4288.630021624441
237,-4312.621857027168
