Sensor,s_0
0,-19045.875854404334
1,-19147.608500747112
2,-19034.833260553296
3,-18647.47985724396
4,-19349.60377185126
5,-20039.758170418525
6,-19493.245676324506
7,-18812.480648585257
8,-19030.195866856764
9,-20807.444538964322
10,-21081.484910426003
11,-21282.954255465113
12,-21276.363426014344
13,-20205.147709177636
14,-19924.198509388916
15,-20325.371508368953
16,-21039.10972042443
17,-21150.569569039028
18,-20748.51345672221
19,-21458.94552895885
20,-20804.410536786552
21,-20583.345013011225
22,-20960.56169571125
23,-20033.8079676644
24,-19005.41507229375
25,-19200.637742422965
26,-19599.032571858
27,-19336.94006736648
28,-19051.88201770455
29,-19222.1584730689
30,-19439.80688547195
31,-19754.910962369715
32,-20549.491953956225
33,-20713.993036523923
34,-20891.513207265325
35,-20977.86503208448
36,-20753.41222519784
37,-20187.359228913992
38,-18926.13137553924
39,-19428.113990771468
40,-19749.258942779656
41,-20134.24596871879
42,-19041.15462142607
43,-19173.52740285127
44,-18038.890746735142
45,-18503.374774982058
46,-17531.456039930927
47,-17905.199558253425
48,-17732.27548834055
49,-17949.04985297872
50,-17412.333619024394
51,-16883.50732164555
52,-17495.74363520447
53,-17857.337965804407
54,-17952.43088154674
55,-17075.51375842996
56,-16350.929753642227
57,-15584.617617693963
58,-15564.08742543072
59,-15766.172238768126
60,-16478.686229845323
61,-15639.98881976433
62,-15076.016485871232
63,-15655.686946772299
64,-14531.962439876148
65,-14794.156449518201
66,-13480.810472620447
67,-14006.489270365604
68,-14474.71033369463
69,-15060.019801779548
70,-15399.871698394018
71,-15756.92240431579
72,-15423.300413809156
73,-15189.072308990448
74,-14760.714853161833
75,-13904.838464420354
76,-14245.722907642046
77,-13728.602632312819
78,-13447.67677665146
79,-13075.095489119074
80,-13123.346232633583
81,-13387.259273553558
82,-14182.533999695206
83,-14741.571244699262
84,-14801.783268541467
85,-15233.646714224182
86,-14734.690442583884
87,-14226.343835222233
88,-14596.541277968881
89,-14446.80599707284
90,-15606.142481532468
91,-16006.261131731928
92,-15083.268608248469
93,-14595.000365943644
94,-15258.158338188337
95,-15404.69083695954
96,-14978.075024481575
97,-14489.615198219873
98,-13722.660125347313
99,-13833.577987309767
100,-14076.23106479774
101,-13630.355382390691
102,-13958.469000236546
103,-13821.333856825018
104,-14982.957852842625
105,-14598.806081415289
106,-13881.145680797752
107,-13167.822758422077
108,-12484.98256182958
109,-12852.93182183773
110,-12261.9891049929
111,-13482.489260002709
112,-13455.012503013706
113,-13378.096636675491
114,-13786.282308092403
115,-14078.99360395924
116,-14615.304185201156
117,-14504.781248738615
118,-15651.018087530818
119,-14617.929572156927
120,-15216.575939396756
121,-14658.068857553888
122,-15295.533754420409
123,-14624.483467834154
124,-13711.303256433732
125,-13406.136454106818
126,-13488.057387551664
127,-13268.843254293564
128,-13633.089803062503
129,-13809.242433533132
130,-14722.832536334572
131,-14877.668007872324
132,-15981.317346997894
133,-14934.557062161135
134,-15808.543956013504
135,-15491.020217205973
136,-15575.195659161553
137,-15740.667169906483
138,-16356.777678325703
139,-16399.727204066952
140,-16132.734581152388
141,-16592.852409717438
142,-16581.667040073095
143,-16139.56559000316
144,-16555.820449303665
145,-16875.68955825805
146,-16581.16907279813
147,-17244.072235170403
148,-16694.82672449373
149,-17025.324806397388
150,-16667.78956743201
151,-15996.003255931028
152,-15328.092430473433
153,-15357.298019183636
154,-15553.414807956593
155,-15264.504973424417
