Sensor,s_0
0,10312
1,10102
2,10297
3,10426
4,10253
5,9939
6,10193
7,10209
8,10082
9,9469
10,9039
11,8382
12,8554
13,8679
14,8841
15,8809
16,8029
17,8021
18,8517
19,7861
20,8296
21,8511
22,8440
23,9623
24,9990
25,9819
26,9448
27,10033
28,10589
29,9627
30,9553
31,8140
32,6993
33,6684
34,6644
35,6566
36,6809
37,7244
38,7319
39,6914
40,6532
41,6182
42,6488
43,6208
44,6309
45,5912
46,6455
47,6393
48,8029
49,7791
50,7862
51,8031
52,7505
53,6892
54,6211
55,6290
56,6401
57,6700
58,7137
59,6511
60,6167
61,6233
62,6318
63,5827
64,6060
65,5471
66,5890
67,4962
68,4662
69,4278
70,3662
71,3496
72,3746
73,4819
74,4845
75,5030
76,4554
77,4779
78,5570
79,5991
80,5725
81,5201
82,5174
83,4725
84,4282
85,3160
86,3751
87,4752
88,3660
89,3818
90,3317
91,3284
92,3553
93,4735
94,4659
95,3692
96,4010
97,4646
98,4891
99,4228
100,4088
101,4439
102,3906
103,4024
104,3254
105,3828
106,3903
107,4514
108,5002
109,4068
110,4114
111,3567
112,3663
113,3960
114,3734
115,2710
116,1796
117,2551
118,2199
119,3020
120,2256
121,2794
122,2075
123,2572
124,4119
125,4187
126,4091
127,4968
128,4061
129,3270
130,2931
131,2824
132,2741
133,3131
134,3058
135,3409
136,2489
137,2108
138,1990
139,1181
140,1679
141,983
142,1985
143,2360
144,2161
145,1952
146,2972
147,2164
148,2651
149,2313
150,2710
151,3981
152,4443
153,3077
154,2830
155,3641
156,3077
157,3591
158,3263
159,3411
160,3465
161,2884
162,2659
163,1787
164,1572
165,2410
166,2412
167,1948
168,1929
169,1431
170,1943
171,2094
172,1827
173,1744
174,1384
175,1928
176,2151
177,2327
178,1516
179,81
180,-819
181,-415
182,104
183,468
184,-226
185,289
186,-331
187,-670
188,-713
189,-754
190,-670
191,-1202
192,-2066
193,-1220
194,-485
195,-575
196,-341
197,-916
198,-1022
199,-877
200,-2398
201,-1846
202,-1948
203,-2020
204,-2652
205,-2890
206,-3814
207,-3975
208,-4589
209,-4436
210,-4528
211,-5116
212,-4673
213,-4536
214,-4230
215,-4543
216,-4804
217,-4932
218,-4562
219,-4246
220,-4392
221,-3921
222,-4742
223,-4206
224,-3668
225,-3506
226,-3447
227,-4128
228,-4396
229,-3752
230,-2596
231,-2618
232,-3062
233,-3188
234,-3965
235,-3526
236,-2654
237,-2217
238,-2141
239,-3324
240,-3788
241,-3478
242,-4008
243,-4655
244,-4766
245,-5810
246,-5468
247,-5175
248,-5908
249,-6223
250,-6997
251,-7148
252,-6412
253,-6861
254,-6701
255,-6259
256,-5250
257,-6073
258,-5162
259,-5217
260,-5297
261,-4973
262,-5119
263,-4289
264,-4699
265,-3577
266,-3406
267,-2836
268,-2669
269,-2280
270,-1958
271,-704
272,-185
273,465
274,506
275,1151
276,658
277,1736
278,1867
279,1120
280,1365
281,1405
282,991
283,761
284,185
285,357
286,-90
287,-267
288,241
289,537
290,341
291,-940
292,-1232
293,-1132
294,-637
295,-1269
296,-804
297,-882
298,-605
299,-1267
300,-957
301,-336
302,-66
303,-105
304,-82
305,68
306,-214
307,-532
308,-71
309,-690
310,-1005
311,-960
312,-1277
313,-762
314,-1586
315,-2040
316,-2370
317,-1319
318,-1758
319,-1945
320,-2851
321,-3045
322,-3060
323,-2642
324,-1180
325,-1043
326,-505
327,-683
328,-524
329,282
330,-295
331,-114
332,-617
333,-1374
334,-1461
335,-1587
336,-1446
337,-764
338,-1102
339,-974
340,-1149
341,-1570
342,-1921
343,-1917
344,-1706
345,-956
346,-549
347,-236
348,233
349,506
350,112
351,-408
352,-1510
353,-1913
354,-1602
355,-2148
356,-1314
357,-1172
358,-1414
359,-1433
360,-1283
361,-1875
362,-2291
363,-2306
364,-2030
365,-1370
366,-1875
367,-2589
368,-2177
369,-2510
370,-1570
371,-1842
372,-1898
373,-2570
374,-3532
375,-2823
376,-2467
377,-3026
378,-3460
379,-3552
380,-3459
381,-2524
382,-1849
383,-1864
384,-2332
385,-2468
386,-1506
387,-1368
388,-1963
389,-3248
390,-3419
391,-3152
392,-3561
393,-4079
394,-4016
395,-5091
396,-5119
397,-5115
398,-5296
399,-4242
400,-3918
401,-4224
402,-4096
403,-3775
404,-3554
405,-3053
406,-3409
407,-2667
408,-2408
409,-1487
410,-751
411,-963
412,-127
413,546
414,806
415,1609
416,1957
417,1922
418,1317
419,1050
420,1151
421,1476
422,1383
423,1504
424,1568
425,2070
426,2029
427,1937
428,2379
429,2883
430,2989
431,3158
432,3730
433,3633
434,3540
435,3086
436,2209
437,2015
438,1743
439,1237
440,1429
441,2401
442,3161
443,3124
444,2731
445,2788
446,2206
447,968
448,819
449,228
450,-224
451,-834
452,-688
453,-1123
454,-1099
455,-1491
456,-1981
457,-2783
458,-2862
459,-2346
460,-2801
461,-2736
462,-2543
463,-3188
464,-2409
465,-1960
466,-3038
467,-3742
468,-3166
469,-3145
470,-1322
471,-194
472,-324
473,42
474,392
475,263
476,946
477,1012
478,337
479,-364
480,-953
481,-1145
482,-1795
483,-3443
484,-4565
485,-5203
486,-5405
487,-6341
488,-5968
489,-3797
490,-3741
491,-3382
492,-2909
493,-2727
494,-2255
