Sensor,s_0
0,162409.3529896199
1,162382.9783028847
2,162378.06938523482
3,162326.84532366227
4,162309.21538804093
5,162193.17019676455
6,162167.4218737128
7,162161.92474768913
8,162122.3698367946
9,162105.00606075895
10,162121.10164751494
11,162022.38955579454
12,162002.6004146456
13,161954.72631170927
14,161913.2767589063
15,161911.6937199954
16,161986.41897405745
17,161911.94981770503
18,161905.0827238832
19,161819.86638670988
20,161791.50723595504
21,161711.00240119974
22,161660.57613922787
23,161623.82346833518
24,161606.93024083317
25,161606.75385058322
26,161586.66112807806
27,161565.7796542231
28,161507.73357653554
29,161469.37306252873
30,161465.00413414088
31,161403.7971553718
32,161366.63105645103
33,161370.95876979173
34,161329.056001346
35,161269.92051894963
36,161249.49797488647
37,161233.3269301676
38,161181.25288867464
39,161195.99032755173
40,161186.66684972588
41,161162.8040291781
42,161085.8214631321
43,161041.11101096924
44,161010.5803984238
45,160968.23848218407
46,160893.182690727
47,160871.62309820548
48,160832.00411237185
49,160770.83630548968
50,160739.23198863372
51,160671.39055962575
52,160527.9446773176
53,160496.42200773064
54,160469.737256158
55,160436.46531290896
56,160396.6386914727
57,160351.6723154223
58,160320.35010488142
59,160308.11556754794
60,160302.03214418542
61,160273.89423363266
62,160335.4590556875
63,160305.40791427018
64,160283.70267860466
65,160253.41791615367
66,160179.56969244205
67,160169.7067739566
68,160090.96218265136
69,160060.0849859201
70,160036.76580616544
71,159981.56921355875
72,159922.62131899755
73,159883.44485438094
74,159943.74287966607
75,159909.41082178717
76,159848.2157949462
77,159824.69307821605
78,159812.8882073848
79,159685.06996561564
80,159658.75427964624
81,159618.69202402837
82,159544.9894545298
83,159527.37670326448
84,159485.61538496998
85,159494.40128033113
86,159444.9146571129
87,159411.24810299985
88,159404.44151903296
89,159401.73011920144
90,159368.9522502641
91,159263.74214620373
92,159205.6221582789
93,159196.9130604578
94,159170.11362597396
95,159159.1821086773
96,159141.43857768763
97,159086.60134982792
98,159052.5258212901
99,159020.84836064468
100,159006.5352082406
101,158988.68123367926
102,158958.0245835581
103,158954.06080812414
104,158886.84544397768
105,158871.24159473667
106,158866.43809673458
107,158837.62375621288
108,158826.7951144276
109,158776.89572735407
110,158813.8779217318
111,158809.62043020834
112,158804.5990711637
113,158752.4023316373
114,158743.65555829945
115,158723.70932359959
116,158716.7286428672
117,158708.16626927705
118,158671.10186919526
119,158635.5414768638
120,158640.16225531828
121,158591.01394519818
122,158589.17674471982
123,158566.1030521513
124,158538.15840488355
125,158493.18758445527
126,158474.62021916042
127,158391.68481637083
128,158406.8538278712
129,158360.54209712538
130,158315.32449208532
131,158208.85936522472
132,158181.52755228424
133,158090.62671305987
134,158027.46269183743
135,158025.39736747713
136,157904.17279725557
137,157834.42023032764
138,157803.86276502127
139,157853.6605963127
140,157729.3521618245
141,157670.92904396102
142,157637.17038577734
143,157572.88197429065
144,157547.6130178345
145,157515.6143309862
146,157501.61258884656
147,157491.6202394344
148,157501.43800841368
149,157483.44806107666
150,157470.20699938992
151,157448.55450224548
152,157437.01144607493
153,157479.2324996185
154,157486.93077838435
155,157464.9283292545
156,157451.99315051586
157,157410.8707232778
158,157398.44605538313
159,157381.0508832058
160,157262.6260517956
161,157249.2715870634
162,157244.09088700413
163,157229.58044159948
164,157297.62745324345
165,157363.03703673137
166,157362.7838207545
167,157317.5476404084
168,157293.80903058546
169,157279.7417165942
170,157229.37961885252
171,157194.793476334
172,157128.76580884383
173,157103.49089761206
174,157060.80444130857
175,157038.4092911997
176,156976.41663946258
177,156968.37909311856
178,156983.14964305397
179,156942.29636662753
180,156869.23966610522
181,156840.41457558374
182,156831.0578331968
183,156797.54005070933
184,156790.39980343534
185,156751.82722811788
186,156714.94920710978
187,156672.4212833965
188,156529.45816311048
189,156501.60966105713
190,156485.0114628738
191,156439.87606518212
192,156394.28085457938
193,156412.6372596825
194,156385.15733885075
195,156271.94083236746
196,156235.47873095682
197,156209.43637679867
198,156220.124369219
199,156168.91213135433
200,156155.38822777005
201,156131.95274354581
202,156064.2904306745
203,156021.52126643344
204,155946.71277464903
205,155946.3130300365
206,155935.97834523066
207,155910.9776988797
208,155843.3811152611
209,155764.8774422501
210,155727.49359499995
211,155713.50703430694
212,155658.36115271022
213,155565.8318221421
214,155537.04299071833
215,155487.6742688308
