Sensor,s_0
0,36957.603347991986
1,37025.02750262133
2,36965.55311517941
3,37028.44511743017
4,36965.946810739886
5,37055.692505962186
6,37027.76779320675
7,37018.9283876983
8,37062.28275077289
9,37038.566315206444
10,37065.302274422655
11,37090.16039616584
12,37051.21734680489
13,37033.075065303725
14,36949.7787855915
15,36892.54194613712
16,36797.824787727215
17,36885.16300402027
18,36855.34313986979
19,36829.72543288462
20,36766.301523975344
21,36715.83076407794
22,36641.03269706665
23,36581.68478831906
24,36595.115824160916
25,36576.17218288746
26,36542.20869951984
27,36471.29358078465
28,36486.291983586096
29,36546.204473873455
30,36609.79484740877
31,36530.32460424096
32,36498.105780151614
33,36514.24750231613
34,36495.84910672662
35,36486.25042848154
36,36480.2275564906
37,36517.28776375196
38,36586.14981389889
39,36695.90800691342
40,36681.41393186753
41,36701.721772878554
42,36657.040044446825
43,36625.545270169765
44,36614.25620325027
45,36653.44889070126
46,36625.241697094316
47,36557.42309909132
48,36580.69105740901
49,36578.37328973019
50,36615.81554756728
51,36559.6667653472
52,36509.98977991344
53,36478.34235663166
54,36504.157226382136
55,36496.6532788317
56,36410.650521086165
57,36354.78550896282
58,36394.6258122415
59,36380.70229116526
60,36362.072453743946
61,36349.6976771747
62,36328.946952058046
63,36385.13243793948
64,36393.8303308336
65,36464.102017616264
66,36422.88538170239
67,36423.44526930258
68,36368.43442624718
69,36323.79025223057
70,36332.130777042345
71,36330.71990798367
72,36327.4378798018
73,36349.59170357215
74,36349.94426082898
75,36346.77220921951
76,36376.829715664986
77,36475.55107343625
78,36460.42984189593
79,36441.9646256029
80,36452.62700100715
81,36427.50564995061
82,36363.386767314725
83,36308.81638591989
84,36315.75013332646
85,36407.64560126923
86,36437.56957399133
87,36393.71897105306
88,36365.901990242906
89,36347.79566160427
90,36316.12359206417
91,36320.01254370512
92,36265.977548715644
93,36252.93933474873
94,36222.826400103644
95,36225.56769464085
96,36209.66899279707
97,36286.26725488845
98,36251.63357975762
99,36223.76157516527
100,36170.67446174386
101,36146.43561952873
102,36085.72483552623
103,36076.48482326279
104,36073.76134121358
105,36065.7264919967
106,36049.817305192904
107,36006.68207683314
108,35948.24234701063
109,35983.01778188989
110,35989.16978339521
111,35957.928608837195
112,35999.65109064884
113,35965.49740889756
114,35922.915094136784
115,35873.45433482263
116,35858.14582632175
117,35854.11139777038
118,35974.368948922165
119,35971.17654125828
120,35949.438444270534
121,35887.8232792722
122,35915.06203002139
123,35978.393020252646
124,36023.469599018776
125,36129.81304984839
126,36220.7533778227
127,36215.57665526094
128,36175.34310218407
129,36200.7519100991
130,36173.74502530235
131,36100.17212433948
132,36056.364287279226
133,36016.24562746116
134,36007.41636082073
135,36056.63959310934
136,36073.19522478151
137,36051.051015810684
138,36064.35213793987
139,36004.107470336196
140,35925.73343563219
141,35978.14917964052
142,35956.70422729125
143,35949.87659687539
144,35926.68835027826
145,35914.54589563848
146,35908.861848181274
147,35847.21287641618
148,35754.19183807656
149,35704.4190568426
150,35654.63624819115
151,35638.12599078984
152,35647.22852826514
153,35664.00006431472
154,35593.77445671055
155,35664.035691696794
156,35631.916228126305
157,35563.08100719404
158,35541.53478758958
159,35493.88816299265
160,35504.926290497584
161,35480.59519348699
162,35429.006392997435
163,35442.864285208445
164,35353.10001661805
165,35320.77886584926
166,35282.89659906301
167,35351.48855732857
168,35320.547401071366
169,35304.35192741615
170,35214.91643592068
171,35237.88350668192
172,35247.23214095628
173,35179.13501907616
174,35167.65357851479
175,35120.03090378535
176,35115.99072504359
177,35112.605509634355
178,35062.794071055294
179,35059.31302097301
180,35116.84441095982
181,35051.86103046426
182,35016.289575801144
183,34957.175119765634
184,34928.978540122334
185,34861.30772172792
186,34880.94192937805
187,34834.63017462854
188,34885.63375357278
189,34869.60494647462
190,34830.2591975201
191,34932.39741273637
192,35001.707484859275
193,35038.86730923357
194,35049.30388125504
195,35098.62934528377
196,35148.21112105013
197,35070.96293795559
198,35075.44419355117
199,35151.971789309755
200,35201.22657461709
201,35241.15674425401
202,35265.12604820256
203,35309.08471253699
204,35276.539919244235
205,35275.57358883382
206,35269.44972934294
207,35152.01801502774
208,35121.23968843332
209,35059.50013805697
210,34995.20780406741
211,34825.61991758563
212,34865.072376893564
213,34914.080542795426
214,34925.7369693069
215,34868.586092635174
216,34812.39310574082
217,34824.49764096174
218,34759.66292314304
219,34770.0707247491
220,34776.56922110653
221,34758.2451619252
222,34691.45082415937
223,34638.98372357204
224,34623.66763697771
225,34628.5099347728
226,34620.0048611782
227,34767.18334234365
228,34787.0244835904
229,34745.99837106879
230,34712.39936816314
231,34695.1167812887
232,34623.797920403566
233,34586.81642483885
234,34590.384284985776
235,34573.535743839646
236,34466.76050133802
237,34422.281016584864
238,34380.9497235662
239,34346.56249265269
240,34375.15658308502
241,34417.9562774032
242,34451.732700858534
243,34529.43677115719
244,34438.507878257136
245,34430.08181946123
246,34430.430704235536
247,34365.15292332301
248,34361.41506035806
249,34414.76460211168
250,34366.8686370651
251,34435.43959159004
252,34357.5439594859
253,34460.926823450594
254,34377.999481332874
255,34411.209405003676
256,34392.733447743354
257,34421.85247774821
258,34363.213991827826
259,34396.81517336899
260,34439.07073702004
261,34343.27812968387
262,34359.19218673258
263,34243.59140925606
264,34240.57394375596
265,34188.335622098624
266,34260.41210799331
267,34148.24166722009
268,34225.833792067155
269,34187.566105770544
270,34131.80636323197
271,33983.99799726428
272,34022.21349369974
273,34040.12372980752
274,34005.97334756738
275,33991.18300562451
276,33954.30036491804
277,33978.44185278261
278,33982.15177498316
279,33945.2972155007
280,33955.01999417928
281,33955.409924793596
282,33826.33769365593
283,33800.08098620539
284,33770.45573237556
285,33764.27504002805
286,33757.783853321984
287,33688.299934147275
288,33807.53114833281
289,33725.44486485398
290,33695.14125476582
291,33677.09651101402
292,33647.49463791227
293,33644.883049217504
294,33680.033499432735
295,33727.556320427495
296,33798.74647797553
297,33847.912768234826
298,33913.6312930701
299,33885.20455464248
300,33862.92469809263
301,33885.14557810617
302,33814.14046186719
303,33854.75117534518
304,33935.55906721814
305,33909.12549800405
306,33929.29638336243
307,33957.42783150124
308,33951.66001698837
309,33972.994520811
310,33988.81917098862
311,33982.52936939732
312,33932.0813352167
313,33900.17150065645
314,33918.35035877881
315,33869.69371293861
316,33932.660578229086
317,33942.30100451003
318,33927.60064342366
319,33934.56175232145
320,33917.99396209907
321,33881.50146544025
322,33869.497943836315
323,33892.00062306956
324,33957.848569706046
325,33990.01704992526
326,33983.031973994046
327,34030.51858358285
328,33942.55422227092
329,34033.60563346203
330,33958.903739475325
331,33980.97851624805
332,33935.51813601228
333,33939.638269640396
334,33943.92544400602
335,33929.393378637535
336,33928.43270953106
337,33942.13506548285
338,33971.67679398263
339,33856.90987805535
340,33878.342621814605
341,33835.82527501666
342,33847.12704383731
343,33824.13433474729
344,33897.57980911639
345,33902.121579584986
346,33784.26895145323
347,33758.04461325244
348,33822.23442685285
349,33741.29973709247
350,33728.56501044823
351,33759.48800893714
352,33712.97096999176
353,33742.02578090771
354,33657.1859581094
355,33657.137880918985
356,33642.14453561104
357,33541.68202841375
358,33618.11501041315
359,33617.80316768671
360,33603.49970280325
361,33577.275643409164
362,33572.88728034596
363,33516.00060356567
364,33526.86593023714
365,33529.043213052006
366,33678.70073931912
367,33687.40090628346
368,33576.8082529457
369,33481.526924756145
370,33490.61802546012
371,33467.76043970199
372,33393.17181929894
373,33385.18258287241
374,33364.47535346415
375,33322.70023566027
376,33410.384612650276
377,33341.417143866835
378,33359.581037254495
379,33343.52332795044
380,33320.162290949585
381,33370.769621232954
382,33352.40462332432
383,33286.03714854054
384,33384.4028214097
385,33302.64992095372
386,33293.023000116686
387,33318.127733377354
388,33373.46863175666
389,33349.52712400006
390,33336.06079140566
391,33340.93074606263
392,33262.986354022345
393,33293.10322847435
394,33300.96890763287
395,33404.27777793286
396,33340.32932531268
397,33318.5093290387
398,33298.07331611418
399,33326.05011105373
400,33335.72330368961
401,33374.97345519494
402,33370.150327611984
403,33410.41967542388
404,33389.7985169787
405,33431.06947910606
406,33456.32847516751
407,33455.32549194258
408,33467.93780301761
409,33459.981900003026
410,33478.42907031696
411,33452.89151236856
412,33444.46038638759
413,33382.15048157084
414,33365.07939937761
415,33362.28622373465
416,33272.55540041812
417,33252.226267759586
418,33156.062959366485
419,33118.17723086988
420,33047.4164718148
421,33015.80054255646
422,33043.43574124568
423,33098.70865788743
424,33187.510198620505
425,33155.66955259373
426,33147.79602501816
427,33171.95750984832
428,33217.04715648098
429,33264.793663784956
430,33259.268656542496
431,33352.10137883333
432,33348.85901863793
433,33332.290458054
434,33282.756834576336
435,33192.090432019555
436,33232.66150406085
437,33192.133909551165
438,33238.734559608776
