Sensor,s_0
0,160021
1,159972
2,159939
3,159928
4,159908
5,159843
6,159763
7,159738
8,159678
9,159625
10,159658
11,159623
12,159617
13,159555
14,159527
15,159418
16,159517
17,159481
18,159472
19,159451
20,159419
21,159369
22,159342
23,159325
24,159309
25,159287
26,159283
27,159246
28,159218
29,159153
30,159133
31,159130
32,159011
33,159062
34,159045
35,159033
36,158985
37,158955
38,158895
39,158922
40,158861
41,158848
42,158845
43,158838
44,158814
45,158735
46,158704
47,158702
48,158701
49,158689
50,158666
51,158661
52,158563
53,158542
54,158516
55,158458
56,158418
57,158405
58,158392
59,158382
60,158350
61,158346
62,158377
63,158310
64,158262
65,158122
66,158110
67,158096
68,158040
69,157997
70,157948
71,157944
72,157867
73,157866
74,157892
75,157879
76,157768
77,157711
78,157670
79,157652
80,157646
81,157621
82,157612
83,157604
84,157544
85,157558
86,157523
87,157483
88,157468
89,157400
90,157341
91,157314
92,157313
93,157270
94,157221
95,157165
96,157127
97,157062
98,157030
99,157002
100,156997
101,156965
102,156924
103,156895
104,156856
105,156820
106,156735
107,156712
108,156686
109,156665
110,156725
111,156715
112,156657
113,156649
114,156645
115,156628
116,156569
117,156535
118,156477
119,156457
120,156504
121,156489
122,156489
123,156461
124,156441
125,156387
126,156350
127,156304
128,156343
129,156304
130,156274
131,156260
132,156215
133,156157
134,156096
135,156050
136,155979
137,155958
138,155893
139,155931
140,155882
141,155879
142,155868
143,155780
144,155746
145,155689
146,155657
147,155653
148,155673
149,155668
150,155627
151,155573
152,155506
153,155558
154,155628
155,155615
156,155574
157,155542
158,155539
159,155517
160,155463
161,155405
162,155395
163,155338
164,155389
165,155405
166,155346
167,155300
168,155285
169,155192
170,155175
171,155113
172,154988
173,154959
174,154868
175,154854
176,154787
177,154716
178,154748
179,154696
180,154654
181,154652
182,154640
183,154636
184,154607
185,154601
186,154541
187,154461
188,154448
189,154448
190,154420
191,154352
192,154341
193,154357
194,154311
195,154305
196,154287
197,154246
198,154280
199,154260
200,154257
201,154240
202,154189
203,154185
204,154119
205,154038
206,154004
207,153971
208,153965
209,153874
210,153856
211,153778
212,153758
213,153709
214,153693
215,153669
216,153646
217,153579
218,153549
219,153471
220,153456
221,153400
222,153374
223,153296
224,153310
225,153251
226,153229
227,153204
228,153165
229,153163
230,153107
231,153099
232,153013
233,153000
234,152955
235,152937
236,152897
237,152875
238,152848
239,152793
240,152773
241,152714
242,152652
243,152630
244,152598
245,152608
246,152598
247,152579
248,152554
249,152511
250,152507
251,152461
252,152554
253,152550
254,152396
255,152366
256,152320
257,152287
258,152218
259,152202
260,152188
261,152161
262,152151
263,152134
264,152122
265,152148
266,152139
267,152089
268,152110
269,152006
270,151981
271,151912
272,151896
273,151922
274,151793
275,151735
276,151707
277,151656
278,151625
279,151536
280,151513
281,151460
282,151449
283,151366
284,151397
285,151448
286,151432
287,151424
288,151371
289,151370
290,151349
291,151369
292,151283
293,151337
294,151339
295,151429
296,151418
297,151295
298,151273
299,151242
300,151234
301,151179
302,151280
303,151244
304,151185
305,151148
306,151100
307,151083
308,151063
309,151053
310,151044
311,151009
312,150992
313,150974
314,150924
315,150903
316,150875
317,150765
318,150795
319,150688
320,150648
321,150632
322,150648
323,150565
324,150540
325,150537
326,150530
327,150478
328,150475
329,150437
330,150413
331,150328
332,150292
333,150204
334,150189
335,150181
336,150122
337,150068
338,150053
339,150053
340,150032
341,150072
342,150041
343,149967
344,149916
345,149994
346,149947
347,149900
348,149875
349,149855
350,149888
351,149856
352,149794
353,149788
354,149745
355,149722
356,149696
357,149681
358,149640
359,149611
360,149583
361,149545
362,149529
363,149447
364,149430
365,149374
366,149365
367,149339
368,149315
369,149285
