Sensor,s_0
0,-566.5900535195594
1,-566.5900535195594
2,-566.5900535195594
3,-566.5900535195594
4,-566.5900535195594
5,-566.5900535195594
6,-566.5900535195594
7,-566.5900535195594
8,-566.5900535195594
9,-436.87685821512
10,-449.149802439664
11,-449.149802439664
12,-449.149802439664
13,-449.149802439664
14,-449.149802439664
15,-449.149802439664
16,-449.149802439664
17,-449.149802439664
18,-449.149802439664
19,-449.149802439664
20,-449.149802439664
21,-449.149802439664
22,-449.149802439664
23,-449.149802439664
24,-449.149802439664
25,-449.149802439664
26,-449.149802439664
27,-449.149802439664
28,-449.149802439664
29,-449.149802439664
30,-449.149802439664
31,-449.149802439664
32,-449.149802439664
33,-449.149802439664
34,-449.149802439664
35,-449.149802439664
36,-449.149802439664
37,-449.149802439664
38,-455.18927072814813
39,-455.18927072814813
40,-455.18927072814813
41,-455.18927072814813
42,-455.18927072814813
43,-455.18927072814813
44,-455.18927072814813
45,-455.18927072814813
46,-455.18927072814813
47,-455.18927072814813
48,-455.18927072814813
49,-455.18927072814813
50,-455.18927072814813
51,-455.18927072814813
52,-455.18927072814813
53,-455.18927072814813
54,-455.18927072814813
55,-558.7193056268957
56,-558.7193056268957
57,-558.7193056268957
58,-558.7193056268957
59,-558.7193056268957
60,-558.7193056268957
61,-558.7193056268957
62,-558.7193056268957
63,-558.7193056268957
64,-558.7193056268957
65,-558.7193056268957
66,-488.45694877896767
67,-488.45694877896767
68,-488.45694877896767
69,-488.45694877896767
70,-488.45694877896767
71,-488.45694877896767
72,-488.45694877896767
73,-488.45694877896767
74,-488.45694877896767
75,-489.04373960215656
76,-489.04373960215656
77,-489.04373960215656
78,-489.04373960215656
79,-489.04373960215656
80,-489.04373960215656
81,-489.04373960215656
82,-489.04373960215656
83,-489.04373960215656
84,-489.04373960215656
85,-489.04373960215656
86,-447.71614450310847
87,-431.74477324619113
88,-486.4343986073129
89,-556.342434481916
90,-556.342434481916
91,-556.342434481916
92,-556.342434481916
93,-556.342434481916
94,-556.342434481916
95,-556.342434481916
96,-556.342434481916
97,-556.342434481916
98,-556.342434481916
99,-556.342434481916
100,-576.9600487010939
101,-576.9600487010939
102,-576.9600487010939
103,-576.9600487010939
104,-576.9600487010939
105,-576.9600487010939
106,-576.9600487010939
107,-576.9600487010939
108,-576.9600487010939
109,-576.9600487010939
110,-576.9600487010939
111,-576.9600487010939
112,-576.9600487010939
113,-576.9600487010939
114,-576.9600487010939
115,-576.9600487010939
116,-576.9600487010939
117,-576.9600487010939
118,-576.9600487010939
119,-620.2586708399263
120,-620.2586708399263
121,-620.2586708399263
122,-620.2586708399263
123,-620.2586708399263
124,-620.2586708399263
125,-620.2586708399263
126,-620.2586708399263
127,-620.2586708399263
128,-620.2586708399263
129,-620.2586708399263
130,-620.2586708399263
131,-620.2586708399263
132,-620.2586708399263
133,-620.2586708399263
134,-620.2586708399263
135,-620.2586708399263
136,-620.2586708399263
137,-620.2586708399263
138,-620.2586708399263
139,-620.2586708399263
140,-620.2586708399263
141,-620.2586708399263
142,-620.2586708399263
143,-620.2586708399263
144,-620.2586708399263
145,-620.2586708399263
146,-620.2586708399263
147,-620.2586708399263
148,-620.2586708399263
149,-581.89186204414
150,-581.89186204414
151,-581.89186204414
152,-581.89186204414
153,-581.89186204414
154,-581.89186204414
155,-581.89186204414
156,-581.89186204414
157,-581.89186204414
158,-581.89186204414
159,-585.9531575909006
160,-585.9531575909006
161,-585.9531575909006
162,-585.9531575909006
163,-585.9531575909006
164,-585.9531575909006
165,-585.9531575909006
166,-585.9531575909006
167,-585.9531575909006
168,-585.9531575909006
169,-585.9531575909006
170,-585.9531575909006
171,-585.9531575909006
172,-585.9531575909006
173,-585.9531575909006
174,-585.9531575909006
175,-585.9531575909006
176,-585.9531575909006
177,-585.9531575909006
178,-585.9531575909006
179,-585.9531575909006
180,-585.9531575909006
181,-585.9531575909006
182,-585.9531575909006
183,-585.9531575909006
184,-585.9531575909006
185,-585.9531575909006
186,-577.5639171414483
187,-577.5639171414483
188,-577.5639171414483
189,-577.5639171414483
190,-577.5639171414483
191,-577.5639171414483
192,-577.5639171414483
193,-577.5639171414483
194,-577.5639171414483
195,-577.5639171414483
196,-577.5639171414483
197,-588.9497884308128
198,-553.479564694563
199,-553.479564694563
200,-553.479564694563
201,-553.479564694563
202,-553.479564694563
203,-553.479564694563
204,-553.479564694563
205,-553.479564694563
206,-553.479564694563
207,-497.1648137948655
208,-560.8713086602693
209,-548.1940638913625
210,-528.0987442492155
211,-528.0987442492155
212,-528.0987442492155
213,-528.0987442492155
214,-528.0987442492155
215,-528.0987442492155
216,-528.0987442492155
217,-528.0987442492155
218,-528.0987442492155
219,-528.0987442492155
220,-559.6635598479932
221,-527.53428931058
222,-527.53428931058
223,-527.53428931058
224,-527.53428931058
225,-527.53428931058
226,-527.53428931058
227,-527.53428931058
228,-527.53428931058
229,-527.53428931058
230,-604.3810935907001
231,-604.3810935907001
232,-604.3810935907001
233,-604.3810935907001
234,-604.3810935907001
235,-604.3810935907001
236,-604.3810935907001
237,-604.3810935907001
238,-604.3810935907001
239,-604.3810935907001
240,-585.9578430506989
241,-576.8498256669652
242,-562.2103141487754
243,-518.0468658441213
244,-602.230459832813
245,-602.230459832813
246,-602.230459832813
247,-602.230459832813
248,-602.230459832813
249,-602.230459832813
250,-602.230459832813
251,-602.230459832813
252,-602.230459832813
253,-602.230459832813
254,-602.230459832813
255,-602.230459832813
256,-602.230459832813
257,-602.230459832813
258,-602.230459832813
259,-602.230459832813
260,-602.230459832813
261,-602.230459832813
262,-602.230459832813
263,-602.230459832813
264,-602.230459832813
265,-568.7886905468208
266,-568.7886905468208
267,-568.7886905468208
268,-568.7886905468208
269,-568.7886905468208
270,-568.7886905468208
271,-568.7886905468208
272,-568.7886905468208
273,-568.7886905468208
274,-568.7886905468208
275,-568.7886905468208
276,-568.7886905468208
277,-568.7886905468208
278,-568.7886905468208
279,-568.7886905468208
280,-568.7886905468208
281,-568.7886905468208
282,-568.7886905468208
283,-568.7886905468208
284,-568.7886905468208
285,-568.7886905468208
286,-708.6706018151931
287,-708.6706018151931
288,-708.6706018151931
289,-708.6706018151931
290,-708.6706018151931
291,-708.6706018151931
292,-708.6706018151931
293,-708.6706018151931
294,-708.6706018151931
295,-708.6706018151931
296,-708.6706018151931
297,-751.8334588219122
298,-751.8334588219122
299,-751.8334588219122
300,-751.8334588219122
301,-751.8334588219122
302,-751.8334588219122
303,-751.8334588219122
304,-751.8334588219122
305,-751.8334588219122
306,-751.8334588219122
307,-751.5170044595884
308,-743.6647324584233
309,-851.8949344327666
310,-851.8949344327666
311,-851.8949344327666
312,-851.8949344327666
313,-851.8949344327666
314,-851.8949344327666
315,-851.8949344327666
316,-851.8949344327666
317,-851.8949344327666
318,-851.8949344327666
319,-851.8949344327666
320,-908.4045403044556
321,-908.4045403044556
322,-908.4045403044556
323,-908.4045403044556
324,-908.4045403044556
325,-908.4045403044556
326,-908.4045403044556
327,-908.4045403044556
328,-908.4045403044556
329,-908.4045403044556
330,-1002.5763411012897
331,-1002.5763411012897
332,-1002.5763411012897
333,-1002.5763411012897
334,-1002.5763411012897
335,-1002.5763411012897
336,-1002.5763411012897
337,-1002.5763411012897
338,-1002.5763411012897
339,-1002.5763411012897
340,-1044.054231445999
341,-1071.6707083941353
342,-1071.6707083941353
343,-1071.6707083941353
344,-1071.6707083941353
345,-1071.6707083941353
346,-1071.6707083941353
347,-1071.6707083941353
348,-1071.6707083941353
349,-1071.6707083941353
350,-1071.6707083941353
351,-1071.6707083941353
352,-1071.6707083941353
353,-1071.6707083941353
354,-1071.6707083941353
355,-1071.6707083941353
356,-1071.6707083941353
357,-1071.6707083941353
358,-1071.6707083941353
359,-1071.6707083941353
360,-1071.6707083941353
361,-971.8893146573907
362,-884.7925517431156
363,-884.7925517431156
364,-884.7925517431156
365,-884.7925517431156
366,-884.7925517431156
367,-884.7925517431156
368,-884.7925517431156
369,-884.7925517431156
370,-884.7925517431156
371,-884.7925517431156
372,-999.7570032446563
373,-999.7570032446563
374,-999.7570032446563
375,-999.7570032446563
376,-999.7570032446563
377,-999.7570032446563
378,-999.7570032446563
379,-999.7570032446563
380,-999.7570032446563
381,-999.7570032446563
382,-999.7570032446563
383,-999.7570032446563
384,-999.7570032446563
385,-999.7570032446563
386,-999.7570032446563
387,-999.7570032446563
388,-999.7570032446563
389,-999.7570032446563
390,-999.7570032446563
391,-952.8470697710275
392,-925.0325856634861
393,-919.61688241796
394,-939.5509613261513
395,-966.3543265179178
396,-955.9880652684033
397,-900.2052162988914
398,-925.5791753673041
399,-925.5791753673041
400,-925.5791753673041
401,-925.5791753673041
402,-925.5791753673041
403,-925.5791753673041
404,-925.5791753673041
405,-925.5791753673041
406,-925.5791753673041
407,-925.5791753673041
408,-925.5791753673041
409,-925.5791753673041
410,-925.5791753673041
411,-925.5791753673041
412,-925.5791753673041
413,-925.5791753673041
414,-925.5791753673041
415,-925.5791753673041
416,-925.5791753673041
417,-925.5791753673041
418,-925.5791753673041
419,-925.5791753673041
420,-925.5791753673041
421,-925.5791753673041
422,-925.5791753673041
423,-925.5791753673041
424,-925.5791753673041
425,-925.5791753673041
426,-925.5791753673041
427,-925.5791753673041
428,-925.5791753673041
429,-925.5791753673041
430,-925.5791753673041
431,-925.5791753673041
432,-925.5791753673041
433,-925.5791753673041
434,-888.1045858089042
435,-957.5519208117748
436,-914.0079952584924
437,-914.0079952584924
438,-914.0079952584924
439,-914.0079952584924
440,-914.0079952584924
441,-914.0079952584924
442,-914.0079952584924
443,-914.0079952584924
444,-914.0079952584924
445,-914.0079952584924
446,-914.0079952584924
447,-914.0079952584924
448,-914.0079952584924
449,-914.0079952584924
450,-914.0079952584924
451,-914.0079952584924
452,-914.0079952584924
453,-914.0079952584924
454,-914.0079952584924
455,-914.0079952584924
456,-914.0079952584924
457,-923.625929984782
458,-923.625929984782
459,-923.625929984782
460,-923.625929984782
461,-923.625929984782
462,-923.625929984782
463,-923.625929984782
464,-923.625929984782
465,-923.625929984782
466,-861.579558305644
467,-894.582097710557
468,-894.582097710557
469,-894.582097710557
470,-894.582097710557
471,-894.582097710557
472,-894.582097710557
473,-894.582097710557
474,-894.582097710557
475,-894.582097710557
476,-894.582097710557
477,-894.582097710557
478,-894.582097710557
479,-894.582097710557
480,-894.582097710557
481,-894.582097710557
482,-894.582097710557
483,-894.582097710557
484,-894.582097710557
485,-894.582097710557
486,-983.4779276587186
487,-1069.5734210146572
488,-1122.9120436531612
489,-1164.5467823756444
490,-1164.5467823756444
491,-1164.5467823756444
492,-1164.5467823756444
493,-1164.5467823756444
494,-1164.5467823756444
495,-1164.5467823756444
496,-1164.5467823756444
497,-1164.5467823756444
498,-1164.5467823756444
499,-1164.5467823756444
500,-1246.9805757311822
501,-1246.9805757311822
502,-1246.9805757311822
503,-1246.9805757311822
504,-1246.9805757311822
505,-1246.9805757311822
506,-1246.9805757311822
507,-1246.9805757311822
508,-1246.9805757311822
509,-1246.9805757311822
510,-1246.9805757311822
511,-1246.9805757311822
512,-1246.9805757311822
513,-1246.9805757311822
514,-1246.9805757311822
515,-1246.9805757311822
516,-1246.9805757311822
517,-1246.9805757311822
518,-1246.9805757311822
519,-1246.9805757311822
520,-1282.9605564487356
521,-1282.9605564487356
522,-1282.9605564487356
523,-1282.9605564487356
524,-1282.9605564487356
525,-1282.9605564487356
526,-1282.9605564487356
527,-1282.9605564487356
528,-1282.9605564487356
529,-1282.9605564487356
530,-1282.9605564487356
531,-1282.9605564487356
532,-1282.9605564487356
533,-1282.9605564487356
534,-1282.9605564487356
535,-1282.9605564487356
536,-1282.9605564487356
537,-1282.9605564487356
538,-1282.9605564487356
539,-1282.9605564487356
540,-1282.9605564487356
541,-1282.9605564487356
542,-1282.9605564487356
543,-1282.9605564487356
544,-1282.9605564487356
545,-1282.9605564487356
546,-1282.9605564487356
547,-1282.9605564487356
548,-1282.9605564487356
549,-1282.9605564487356
550,-1282.9605564487356
551,-1282.9605564487356
552,-1282.9605564487356
553,-1282.9605564487356
554,-1163.8700512622052
555,-1163.8700512622052
556,-1163.8700512622052
557,-1163.8700512622052
558,-1163.8700512622052
559,-1163.8700512622052
560,-1163.8700512622052
561,-1163.8700512622052
562,-1163.8700512622052
563,-1163.8700512622052
564,-1214.7930918484035
565,-1162.6190881893979
566,-1168.1216137466
567,-1168.1216137466
568,-1168.1216137466
569,-1168.1216137466
570,-1168.1216137466
571,-1168.1216137466
572,-1168.1216137466
573,-1168.1216137466
574,-1168.1216137466
575,-1186.0128932996224
576,-1186.0128932996224
577,-1186.0128932996224
578,-1186.0128932996224
579,-1186.0128932996224
580,-1186.0128932996224
581,-1186.0128932996224
582,-1186.0128932996224
583,-1186.0128932996224
584,-1186.0128932996224
585,-1141.7560397202783
586,-1159.4163482148597
587,-1182.9304918892606
588,-1182.9304918892606
589,-1182.9304918892606
590,-1182.9304918892606
591,-1182.9304918892606
592,-1182.9304918892606
593,-1182.9304918892606
594,-1182.9304918892606
595,-1182.9304918892606
596,-1182.9304918892606
597,-1182.9304918892606
598,-1182.9304918892606
599,-1182.9304918892606
600,-1182.9304918892606
601,-1182.9304918892606
602,-1182.9304918892606
603,-1182.9304918892606
604,-1182.9304918892606
605,-1097.8628417807063
606,-1097.8628417807063
607,-1097.8628417807063
608,-1097.8628417807063
609,-1097.8628417807063
610,-1097.8628417807063
611,-1097.8628417807063
612,-1097.8628417807063
613,-1097.8628417807063
614,-1097.8628417807063
615,-1097.8628417807063
616,-1097.8628417807063
617,-1097.8628417807063
618,-1097.8628417807063
619,-1097.8628417807063
620,-1097.8628417807063
621,-1097.8628417807063
622,-1097.8628417807063
623,-1097.8628417807063
624,-1097.8628417807063
625,-1097.8628417807063
626,-1097.8628417807063
627,-1097.8628417807063
628,-1097.8628417807063
629,-1097.8628417807063
630,-1097.8628417807063
631,-1097.8628417807063
632,-1097.8628417807063
633,-1097.8628417807063
634,-1097.8628417807063
635,-1097.8628417807063
636,-1097.8628417807063
637,-1097.8628417807063
638,-1097.8628417807063
639,-1097.8628417807063
640,-1108.012891445961
641,-1108.012891445961
642,-1108.012891445961
643,-1108.012891445961
644,-1108.012891445961
645,-1108.012891445961
646,-1108.012891445961
647,-1108.012891445961
648,-1108.012891445961
649,-1108.012891445961
650,-1108.012891445961
651,-1108.012891445961
652,-1108.012891445961
653,-1108.012891445961
654,-1108.012891445961
655,-1108.012891445961
656,-1108.012891445961
657,-1095.0785557878844
658,-1027.8930477894014
659,-953.9243062095752
660,-921.6513782215532
661,-921.6513782215532
662,-921.6513782215532
663,-921.6513782215532
664,-921.6513782215532
665,-921.6513782215532
666,-921.6513782215532
667,-921.6513782215532
668,-921.6513782215532
669,-921.6513782215532
670,-921.6513782215532
671,-921.6513782215532
672,-921.6513782215532
673,-921.6513782215532
674,-921.6513782215532
675,-921.6513782215532
676,-921.6513782215532
677,-921.6513782215532
678,-921.6513782215532
679,-921.6513782215532
680,-921.6513782215532
681,-1049.9127733346695
682,-964.5952478819866
683,-1049.6926901085778
684,-935.0636116661758
685,-842.0284260963235
686,-842.0284260963235
687,-842.0284260963235
688,-842.0284260963235
689,-842.0284260963235
690,-842.0284260963235
691,-842.0284260963235
692,-842.0284260963235
693,-842.0284260963235
694,-842.0284260963235
695,-842.0284260963235
696,-784.7158737333518
697,-784.7158737333518
698,-784.7158737333518
699,-784.7158737333518
700,-784.7158737333518
701,-784.7158737333518
702,-784.7158737333518
703,-784.7158737333518
704,-784.7158737333518
705,-784.7158737333518
706,-784.7158737333518
707,-784.7158737333518
708,-784.7158737333518
709,-784.7158737333518
710,-784.7158737333518
711,-784.7158737333518
712,-784.7158737333518
713,-784.7158737333518
714,-784.7158737333518
715,-822.0833915131237
716,-769.0920138528888
717,-769.0920138528888
718,-769.0920138528888
719,-769.0920138528888
720,-769.0920138528888
721,-769.0920138528888
722,-769.0920138528888
723,-769.0920138528888
724,-769.0920138528888
725,-769.0920138528888
726,-746.0485675861312
727,-697.7059655559032
728,-788.6541828588838
729,-817.9066148225588
730,-817.9066148225588
731,-817.9066148225588
732,-817.9066148225588
733,-817.9066148225588
734,-817.9066148225588
735,-817.9066148225588
736,-817.9066148225588
737,-817.9066148225588
738,-817.9066148225588
739,-817.9066148225588
740,-817.9066148225588
741,-817.9066148225588
742,-817.9066148225588
743,-817.9066148225588
744,-817.9066148225588
745,-817.9066148225588
746,-817.9066148225588
747,-817.9066148225588
748,-895.4629411674636
749,-895.4629411674636
750,-895.4629411674636
751,-895.4629411674636
752,-895.4629411674636
753,-895.4629411674636
754,-895.4629411674636
755,-895.4629411674636
756,-895.4629411674636
757,-895.4629411674636
758,-895.4629411674636
759,-895.4629411674636
760,-895.4629411674636
761,-895.4629411674636
762,-895.4629411674636
763,-895.4629411674636
764,-895.4629411674636
765,-895.4629411674636
766,-895.4629411674636
767,-895.4629411674636
768,-895.4629411674636
769,-895.4629411674636
770,-895.4629411674636
771,-895.4629411674636
772,-895.4629411674636
773,-895.4629411674636
774,-895.4629411674636
775,-895.4629411674636
776,-895.4629411674636
777,-935.8208697406831
778,-935.8208697406831
779,-935.8208697406831
780,-935.8208697406831
781,-935.8208697406831
782,-935.8208697406831
783,-935.8208697406831
784,-935.8208697406831
785,-935.8208697406831
786,-872.9578629492399
787,-872.9578629492399
788,-872.9578629492399
789,-872.9578629492399
790,-872.9578629492399
791,-872.9578629492399
792,-872.9578629492399
793,-872.9578629492399
794,-872.9578629492399
795,-872.9578629492399
796,-872.9578629492399
797,-872.9578629492399
798,-872.9578629492399
799,-872.9578629492399
800,-872.9578629492399
801,-872.9578629492399
802,-872.9578629492399
803,-872.9578629492399
804,-892.8042542014566
805,-892.8042542014566
806,-892.8042542014566
807,-892.8042542014566
808,-892.8042542014566
809,-892.8042542014566
810,-892.8042542014566
811,-892.8042542014566
812,-892.8042542014566
813,-892.8042542014566
814,-947.2706958355647
815,-947.2706958355647
816,-947.2706958355647
817,-947.2706958355647
818,-947.2706958355647
819,-947.2706958355647
820,-947.2706958355647
821,-947.2706958355647
822,-947.2706958355647
823,-947.2706958355647
824,-947.2706958355647
825,-947.2706958355647
826,-947.2706958355647
827,-947.2706958355647
828,-947.2706958355647
829,-947.2706958355647
830,-947.2706958355647
831,-947.2706958355647
832,-947.2706958355647
833,-947.2706958355647
834,-947.2706958355647
835,-981.2979676320244
836,-971.7059739678675
837,-978.3792920852331
838,-972.5997650961522
839,-960.810359334561
840,-960.810359334561
841,-960.810359334561
842,-960.810359334561
843,-960.810359334561
844,-960.810359334561
845,-960.810359334561
846,-960.810359334561
847,-960.810359334561
848,-960.810359334561
849,-960.810359334561
850,-960.810359334561
851,-960.810359334561
852,-960.810359334561
853,-960.810359334561
854,-960.810359334561
855,-960.810359334561
856,-960.810359334561
857,-960.810359334561
858,-960.810359334561
859,-960.810359334561
860,-960.810359334561
861,-960.810359334561
862,-960.810359334561
863,-960.810359334561
864,-960.810359334561
865,-960.810359334561
866,-960.810359334561
867,-960.810359334561
868,-960.810359334561
869,-960.810359334561
870,-960.810359334561
871,-960.810359334561
872,-960.810359334561
873,-960.810359334561
874,-960.810359334561
875,-960.810359334561
876,-960.810359334561
877,-960.810359334561
878,-1025.3110228898045
879,-1016.4948246224376
880,-1016.4948246224376
881,-1016.4948246224376
882,-1016.4948246224376
883,-1016.4948246224376
884,-1016.4948246224376
885,-1016.4948246224376
886,-1016.4948246224376
887,-1016.4948246224376
888,-1016.4948246224376
889,-1016.4948246224376
890,-1021.2098086083142
891,-1082.9049168949537
892,-1082.9049168949537
893,-1082.9049168949537
894,-1082.9049168949537
895,-1082.9049168949537
896,-1082.9049168949537
897,-1082.9049168949537
898,-1082.9049168949537
899,-1082.9049168949537
900,-1082.9049168949537
901,-1082.9049168949537
902,-1082.9049168949537
903,-1082.9049168949537
904,-1082.9049168949537
905,-1082.9049168949537
906,-1082.9049168949537
907,-1082.9049168949537
908,-1082.9049168949537
909,-1082.9049168949537
910,-1082.9049168949537
911,-1062.8522355800142
912,-1037.0080565256224
913,-1037.0080565256224
914,-1037.0080565256224
915,-1037.0080565256224
916,-1037.0080565256224
917,-1037.0080565256224
918,-1037.0080565256224
919,-1037.0080565256224
920,-1037.0080565256224
921,-1037.0080565256224
922,-1072.231931647568
923,-1069.7645985491044
924,-1069.7645985491044
925,-1069.7645985491044
926,-1069.7645985491044
927,-1069.7645985491044
928,-1069.7645985491044
929,-1069.7645985491044
930,-1069.7645985491044
931,-1069.7645985491044
932,-1069.7645985491044
933,-1107.8401419847096
934,-1061.4206630951403
935,-1060.0869389183417
936,-1060.0869389183417
937,-1060.0869389183417
938,-1060.0869389183417
939,-1060.0869389183417
940,-1060.0869389183417
941,-1060.0869389183417
942,-1060.0869389183417
943,-1060.0869389183417
944,-1060.0869389183417
945,-1070.9915874407752
946,-1070.9915874407752
947,-1070.9915874407752
948,-1070.9915874407752
949,-1070.9915874407752
950,-1070.9915874407752
951,-1070.9915874407752
952,-1070.9915874407752
953,-1070.9915874407752
954,-1070.9915874407752
955,-1012.8528911550045
956,-1012.8528911550045
957,-1012.8528911550045
958,-1012.8528911550045
959,-1012.8528911550045
960,-1012.8528911550045
961,-1012.8528911550045
962,-1012.8528911550045
963,-1012.8528911550045
964,-1012.8528911550045
965,-1038.0041763294862
966,-1038.0041763294862
967,-1038.0041763294862
968,-1038.0041763294862
969,-1038.0041763294862
970,-1038.0041763294862
971,-1038.0041763294862
972,-1038.0041763294862
973,-1038.0041763294862
974,-1011.4286303987506
975,-973.9196689493051
976,-973.9196689493051
977,-973.9196689493051
978,-973.9196689493051
979,-973.9196689493051
980,-973.9196689493051
981,-973.9196689493051
982,-973.9196689493051
983,-973.9196689493051
984,-973.9196689493051
985,-1016.2023110262146
986,-1068.8143283950828
987,-1068.8143283950828
988,-1068.8143283950828
989,-1068.8143283950828
990,-1068.8143283950828
991,-1068.8143283950828
992,-1068.8143283950828
993,-1068.8143283950828
994,-1068.8143283950828
995,-1068.8143283950828
996,-1068.8143283950828
997,-1052.8730140519608
998,-1091.0220933173382
999,-1091.0220933173382
1000,-1091.0220933173382
1001,-1091.0220933173382
1002,-1091.0220933173382
1003,-1091.0220933173382
1004,-1091.0220933173382
1005,-1091.0220933173382
1006,-1091.0220933173382
1007,-1091.0220933173382
1008,-1091.0220933173382
1009,-1091.0220933173382
1010,-1091.0220933173382
1011,-1091.0220933173382
1012,-1091.0220933173382
1013,-1091.0220933173382
1014,-1091.0220933173382
1015,-1091.0220933173382
1016,-1091.0220933173382
1017,-1146.7476760784243
1018,-1146.7476760784243
1019,-1146.7476760784243
1020,-1146.7476760784243
1021,-1146.7476760784243
1022,-1146.7476760784243
1023,-1146.7476760784243
1024,-1146.7476760784243
1025,-1146.7476760784243
1026,-1120.3257106099636
1027,-1167.3854045482144
1028,-1176.118093195471
1029,-1069.5942660927446
1030,-997.6108212791946
1031,-997.6108212791946
1032,-997.6108212791946
1033,-997.6108212791946
1034,-997.6108212791946
1035,-997.6108212791946
1036,-997.6108212791946
1037,-997.6108212791946
