Sensor,s_0
0,1750.3844573196566
1,1734.128850657377
2,1683.9590279262222
3,1725.4059891293027
4,1725.4059891293027
5,1725.4059891293027
6,1725.4059891293027
7,1725.4059891293027
8,1725.4059891293027
9,1725.4059891293027
10,1725.4059891293027
11,1725.4059891293027
12,1686.8801075513372
13,1804.3066897005763
14,1823.2258964667844
15,1773.283834193829
16,1824.4527533298924
17,1931.9113427963075
18,1867.8201479192496
19,1867.8201479192496
20,1867.8201479192496
21,1867.8201479192496
22,1867.8201479192496
23,1867.8201479192496
24,1867.8201479192496
25,1867.8201479192496
26,1867.8201479192496
27,1825.0233278017356
28,1779.8068623083836
29,1813.1655315328462
30,1855.3535835701161
31,1891.0974356057784
32,1947.4821810320718
33,1935.8954102696491
34,1929.7874244076834
35,1929.7874244076834
36,1929.7874244076834
37,1929.7874244076834
38,1929.7874244076834
39,1929.7874244076834
40,1929.7874244076834
41,1929.7874244076834
42,1929.7874244076834
43,1929.7874244076834
44,1929.7874244076834
45,1960.9351424843846
46,1911.2387408202826
47,1941.355198231896
48,2000.4476768037634
49,2017.4536459741917
50,2048.42784985887
51,2085.013190654703
52,2053.3871281784823
53,1966.2158867725973
54,1966.2158867725973
55,1966.2158867725973
56,1966.2158867725973
57,1966.2158867725973
58,1966.2158867725973
59,1966.2158867725973
60,1966.2158867725973
61,1966.2158867725973
62,1966.2158867725973
63,1966.2158867725973
64,2017.0652362814594
65,2051.565838416058
66,2086.825477481738
67,2148.01279153062
68,2063.7671326924797
69,2053.7325439783535
70,2099.5871113671947
71,2177.4669144948343
72,2198.3359385425483
73,2155.988573311732
74,2155.988573311732
75,2155.988573311732
76,2155.988573311732
77,2155.988573311732
78,2155.988573311732
79,2155.988573311732
80,2155.988573311732
81,2155.988573311732
82,2155.988573311732
83,2143.8072851314687
84,2081.3800903758765
85,2067.36647917037
86,1998.015979803633
87,1906.619257126234
88,1921.4789747701352
89,1980.4648007983028
90,2027.7097029849126
91,1873.2838189935267
92,1873.2838189935267
93,1873.2838189935267
94,1873.2838189935267
95,1873.2838189935267
96,1873.2838189935267
97,1873.2838189935267
98,1873.2838189935267
99,1873.2838189935267
100,1873.2838189935267
101,1835.9752441850123
102,1822.9386769869855
103,1800.9059916011759
104,1800.563192198149
105,1708.8154684936117
106,1708.8154684936117
107,1708.8154684936117
108,1708.8154684936117
109,1708.8154684936117
110,1708.8154684936117
111,1708.8154684936117
112,1708.8154684936117
113,1708.8154684936117
114,1708.8154684936117
115,1708.8154684936117
116,1804.3974176072313
117,1785.865813049273
118,1720.7615429103516
119,1759.5607949389555
120,1759.5607949389555
121,1759.5607949389555
122,1759.5607949389555
123,1759.5607949389555
124,1759.5607949389555
125,1759.5607949389555
126,1759.5607949389555
127,1759.5607949389555
128,1759.5607949389555
129,1759.5607949389555
130,1749.3478039959914
131,1816.0391851326744
132,1727.5930289996297
133,1655.9009341392602
134,1655.9009341392602
135,1655.9009341392602
136,1655.9009341392602
137,1655.9009341392602
138,1655.9009341392602
139,1655.9009341392602
140,1655.9009341392602
141,1655.9009341392602
142,1655.9009341392602
143,1744.2886140607811
144,1687.8066178275976
145,1638.6203312186803
146,1664.8046454990513
147,1711.1506487341528
148,1712.212771655453
149,1727.8533516800228
150,1687.2616024343436
151,1552.5047182999642
152,1584.4541422544132
153,1584.870681869892
154,1530.2871122340973
155,1544.3455607279845
156,1481.6686414103451
157,1481.6686414103451
158,1481.6686414103451
159,1481.6686414103451
160,1481.6686414103451
161,1481.6686414103451
162,1481.6686414103451
163,1481.6686414103451
164,1481.6686414103451
165,1481.6686414103451
166,1481.6686414103451
167,1430.2351522609547
168,1498.3941841571689
169,1479.0722369720816
170,1467.8668914117013
171,1467.9820460430842
172,1517.151399279602
173,1501.8305999244853
174,1605.9905458409557
175,1681.3795319368467
176,1720.3189486892772
177,1682.9406021674936
178,1657.638288781172
179,1634.5185242428483
180,1701.0256961131495
181,1664.2810052582636
182,1677.3184671905829
183,1762.4654525991525
184,1789.5917818678993
185,1753.38189185554
186,1810.4060196790483
187,1824.5487315214764
188,1836.1934115161976
189,1778.6401054621056
190,1757.669103302767
191,1737.001806944633
192,1684.6701669292086
193,1696.3487444137206
194,1667.038964094067
195,1610.8750746327303
196,1529.8734766373948
197,1574.177191949473
198,1518.2565279576356
199,1463.9968011615242
200,1461.0790032790549
201,1416.4425495817284
202,1416.4425495817284
203,1416.4425495817284
204,1416.4425495817284
205,1416.4425495817284
206,1416.4425495817284
207,1416.4425495817284
208,1416.4425495817284
209,1416.4425495817284
210,1416.4425495817284
211,1462.365629396404
212,1526.211936838622
213,1464.742931122648
214,1509.1661311166135
215,1449.5404647545802
216,1503.0566353607612
217,1464.1765268053691
218,1423.0271513132561
219,1423.0271513132561
220,1423.0271513132561
221,1423.0271513132561
222,1423.0271513132561
223,1423.0271513132561
224,1423.0271513132561
225,1423.0271513132561
226,1423.0271513132561
227,1311.6531871891511
228,1318.578649020396
229,1336.328681652801
230,1323.9474700373248
231,1329.9585089557372
232,1351.6293511798515
233,1462.4740888874474
234,1511.6425061329064
235,1467.6404438583688
236,1425.6722850161848
237,1469.231755006251
238,1493.6650317203862
239,1527.2350658061287
240,1550.3329569530906
241,1551.1605456767693
242,1535.624748362122
243,1578.9528342192787
244,1562.872351261345
245,1604.3791120049127
246,1615.8949446918505
247,1615.8949446918505
248,1615.8949446918505
249,1615.8949446918505
250,1615.8949446918505
251,1615.8949446918505
252,1615.8949446918505
253,1615.8949446918505
254,1615.8949446918505
255,1615.8949446918505
256,1572.1075640250085
257,1582.7231325832904
258,1606.182103365918
259,1606.182103365918
260,1606.182103365918
261,1606.182103365918
262,1606.182103365918
263,1606.182103365918
264,1606.182103365918
265,1606.182103365918
266,1606.182103365918
267,1629.5514828666114
268,1680.916918475423
269,1744.89307642592
270,1771.0589684818399
271,1776.2734228467039
272,1740.1548170514684
273,1740.6198405394427
274,1704.1835467828414
275,1693.325129570417
276,1653.1001739555875
277,1705.9121615503593
278,1804.5590851689212
279,1861.3840750761167
280,1850.7295533922638
281,1820.6289527827996
282,1749.590820044937
283,1799.5870181848854
284,1754.331762002949
285,1711.764083502583
286,1756.1165851768244
287,1768.777594889187
288,1775.2930092197687
289,1738.845447342212
290,1634.9313704539632
291,1685.600007601187
292,1691.0347082473013
293,1677.5942472016818
294,1587.6147943160056
295,1587.6147943160056
296,1587.6147943160056
297,1587.6147943160056
298,1587.6147943160056
299,1587.6147943160056
300,1587.6147943160056
301,1587.6147943160056
302,1587.6147943160056
303,1566.691369578821
304,1553.4448585725645
305,1606.0495247579502
306,1606.0495247579502
307,1606.0495247579502
308,1606.0495247579502
309,1606.0495247579502
310,1606.0495247579502
311,1606.0495247579502
312,1606.0495247579502
313,1606.0495247579502
314,1592.0813841072577
315,1583.9293449047611
316,1583.9293449047611
317,1583.9293449047611
318,1583.9293449047611
319,1583.9293449047611
320,1583.9293449047611
321,1583.9293449047611
322,1583.9293449047611
323,1583.9293449047611
324,1583.9293449047611
325,1583.9293449047611
326,1494.0040642633576
327,1503.2352503512218
328,1466.8239907480513
329,1499.5985594882197
330,1499.5985594882197
331,1499.5985594882197
332,1499.5985594882197
333,1499.5985594882197
334,1499.5985594882197
335,1499.5985594882197
336,1499.5985594882197
337,1499.5985594882197
338,1499.5985594882197
339,1391.46600094141
340,1365.0695129954051
341,1398.918086206511
342,1404.8267340197858
343,1331.4097001691584
344,1387.5650359684432
345,1366.5495029599547
346,1347.7955950647652
347,1358.6201499725416
348,1358.6201499725416
349,1358.6201499725416
350,1358.6201499725416
351,1358.6201499725416
352,1358.6201499725416
353,1358.6201499725416
354,1358.6201499725416
355,1358.6201499725416
356,1358.6201499725416
357,1329.5055609528742
358,1338.3188942930183
359,1360.1358376569867
360,1295.4090160663495
361,1344.554780722332
362,1317.9973938335397
363,1309.1358037691546
364,1288.0968329402376
365,1222.7750544454784
366,1253.4702751124416
367,1253.4702751124416
368,1253.4702751124416
369,1253.4702751124416
370,1253.4702751124416
371,1253.4702751124416
372,1253.4702751124416
373,1253.4702751124416
374,1253.4702751124416
375,1253.4702751124416
376,1253.4702751124416
377,1276.0920491909685
378,1304.0172666056803
379,1303.4356312071006
380,1218.9359348471369
381,1218.9359348471369
382,1218.9359348471369
383,1218.9359348471369
384,1218.9359348471369
385,1218.9359348471369
386,1218.9359348471369
387,1218.9359348471369
388,1218.9359348471369
389,1198.9901960997115
390,1198.9901960997115
391,1198.9901960997115
392,1198.9901960997115
393,1198.9901960997115
394,1198.9901960997115
395,1198.9901960997115
396,1198.9901960997115
397,1198.9901960997115
398,1198.9901960997115
399,1207.950889113837
400,1218.4861777112083
401,1211.532514278234
402,1166.7342596814478
403,1105.6495228803644
404,1105.6495228803644
405,1105.6495228803644
406,1105.6495228803644
407,1105.6495228803644
408,1105.6495228803644
409,1105.6495228803644
410,1105.6495228803644
411,1105.6495228803644
412,1105.6495228803644
413,1177.1642510637043
414,1184.4248987968554
415,1231.7544633237917
416,1197.803127311693
417,1217.2306393809336
418,1193.3425359516236
419,1203.0664765265985
420,1203.0664765265985
421,1203.0664765265985
422,1203.0664765265985
423,1203.0664765265985
424,1203.0664765265985
425,1203.0664765265985
426,1203.0664765265985
427,1203.0664765265985
428,1203.0664765265985
429,1189.3907577327318
430,1264.1309414343368
431,1195.1178925423296
432,1224.2892387182642
433,1247.8489051662423
434,1252.5089735810266
435,1222.658292732362
436,1222.658292732362
437,1222.658292732362
438,1222.658292732362
439,1222.658292732362
440,1222.658292732362
441,1222.658292732362
442,1222.658292732362
443,1222.658292732362
444,1309.3027479272694
445,1367.5972706997718
446,1385.1649389849108
447,1390.7623546813713
448,1342.7132872478803
449,1356.0775606929428
450,1381.5945898653608
451,1389.880852635371
452,1402.4203918821065
453,1378.5828626040136
454,1371.2541005296132
455,1325.392370104399
456,1241.185777904857
457,1199.9570731774581
458,1231.3114577451497
459,1128.824650763045
460,1125.0239779504532
461,1175.4635441834562
462,1221.6571229036867
463,1156.3793561067405
464,1156.3793561067405
465,1156.3793561067405
466,1156.3793561067405
467,1156.3793561067405
468,1156.3793561067405
469,1156.3793561067405
470,1156.3793561067405
471,1156.3793561067405
472,1132.4532856258272
473,1213.635868349109
474,1213.635868349109
475,1213.635868349109
476,1213.635868349109
477,1213.635868349109
478,1213.635868349109
479,1213.635868349109
480,1213.635868349109
481,1213.635868349109
482,1210.9439653415686
483,1215.3698303348422
484,1193.5774808432777
485,1255.666445689095
486,1268.2662693121424
487,1326.9505169595338
488,1316.9763741065499
489,1309.5530273218153
490,1317.813417383911
491,1287.0155836793833
492,1336.6178830683218
493,1272.678494331396
494,1241.4312584339891
495,1250.126289351769
496,1233.981937110948
497,1278.5681418195818
498,1280.0949034701355
499,1267.3984347335165
500,1179.955986917973
501,1179.1920829023015
502,1134.3053617733221
503,1084.8545495360086
504,1127.3384007004522
505,1110.1607140999895
506,1119.7799288719898
507,1172.4845893803586
508,1300.3568247136604
509,1228.4490527347232
510,1228.4490527347232
511,1228.4490527347232
512,1228.4490527347232
513,1228.4490527347232
514,1228.4490527347232
515,1228.4490527347232
516,1228.4490527347232
517,1228.4490527347232
518,1228.4490527347232
519,1228.4490527347232
520,1246.176514880105
521,1137.3093531651034
522,1193.7847443564738
523,1197.3948304679434
524,1212.3215512016543
525,1287.3384019521877
526,1246.5558600593993
527,1246.5601638658986
528,1153.13831964765
529,1186.6612606015333
530,1105.961588923763
531,1186.262838579507
532,1214.0375297996923
533,1209.9678366836602
534,1164.8846727378314
535,1195.5416590754053
536,1242.6397865954016
537,1276.9728566612457
538,1321.6912271671106
539,1308.0659412099776
540,1327.290866958212
541,1343.9357161019457
542,1339.2997090376782
543,1427.195863415475
544,1427.195863415475
545,1427.195863415475
546,1427.195863415475
547,1427.195863415475
548,1427.195863415475
549,1427.195863415475
550,1427.195863415475
551,1427.195863415475
552,1466.3591887986577
553,1433.1307485188308
554,1523.008405558069
555,1523.008405558069
556,1523.008405558069
557,1523.008405558069
558,1523.008405558069
559,1523.008405558069
560,1523.008405558069
561,1523.008405558069
562,1523.008405558069
563,1523.008405558069
564,1523.008405558069
565,1523.008405558069
566,1523.008405558069
