Sensor,s_0
0,-29531.42039944716
1,-29498.941821063312
2,-29549.752560984878
3,-29562.058963074847
4,-29576.693269861247
5,-29600.59595716082
6,-29588.713280932254
7,-29512.843369425475
8,-29552.650088100665
9,-29591.74218658408
10,-29528.094170954682
11,-29548.495129937826
12,-29543.05204703774
13,-29606.28143718057
14,-29654.48670203666
15,-29671.490056105195
16,-29659.170036622094
17,-29522.312687390484
18,-29470.193875414276
19,-29396.75999241775
20,-29350.30835744252
21,-29359.37762787054
22,-29297.41163568595
23,-29401.966891010612
24,-29354.251246709333
25,-29417.22945969569
26,-29373.704033501646
27,-29363.12379377811
28,-29321.268679571614
29,-29378.379146645006
30,-29459.0742840331
31,-29486.765342228737
32,-29525.515747166075
33,-29541.372635215932
34,-29518.74253033021
35,-29518.4847023602
36,-29501.52790080992
37,-29465.790861203215
38,-29498.15767002077
39,-29559.083364747807
40,-29637.263801211713
41,-29707.49917334177
42,-29717.21234676381
43,-29734.688510570333
44,-29749.76015804512
45,-29826.05045661532
46,-29886.256963356296
47,-29842.183683636893
48,-29872.036792719296
49,-29817.270877356415
50,-29756.769744475547
51,-29727.698551494766
52,-29726.439301861028
53,-29675.927793131304
54,-29653.355695076705
55,-29736.19934110291
56,-29789.241183501716
57,-29774.617432160525
58,-29769.957046915137
59,-29753.958558592025
60,-29740.88112267707
61,-29649.243772172547
62,-29621.291560406353
63,-29547.862930547028
64,-29519.234361574818
65,-29562.55804256293
66,-29552.79993964262
67,-29583.32807519269
68,-29545.83458256353
69,-29573.681685015363
70,-29574.7301157367
71,-29613.99034038551
72,-29586.02844773155
73,-29614.525848781996
74,-29579.482579387626
75,-29599.884614509534
76,-29486.581854265427
77,-29499.02573712163
78,-29459.944573165747
79,-29444.526798292987
80,-29385.421941388788
81,-29384.329508651135
82,-29310.528191707952
83,-29272.52303722064
84,-29220.740275053064
85,-29187.660345918513
86,-29145.99502791034
87,-29090.785249231394
88,-29130.44788744249
89,-29201.33593680812
90,-29230.46399963167
91,-29170.784750578707
92,-29224.28595352432
93,-29231.586235496652
94,-29280.88187884309
95,-29261.966133422633
96,-29339.134453797447
97,-29263.892718509775
98,-29299.56524007587
99,-29381.147214244313
100,-29428.53704533402
101,-29409.36550004005
102,-29394.10456882915
103,-29351.751842103586
104,-29326.145980982317
105,-29364.255897508738
106,-29368.646161450775
107,-29369.40797204578
108,-29264.771486839796
109,-29275.194897904305
110,-29358.465816828902
111,-29338.505820440227
112,-29299.553012950855
113,-29283.68561356179
114,-29173.47729405994
115,-29167.29574989517
116,-29104.557437121803
117,-29098.301378383432
118,-29071.861939380353
119,-29010.39066559329
120,-29090.51944418394
121,-29117.192162398987
122,-29208.36678655907
123,-29152.335623996576
124,-29093.522033796817
125,-29125.54211777646
126,-29133.125076418193
127,-29102.45189807794
128,-29127.399184917722
129,-29112.98156609406
130,-29043.222530169285
131,-29060.30188124043
132,-29042.375300313863
133,-29074.145651546176
134,-29075.62742493094
135,-29127.746811180827
136,-29111.81556409286
137,-29093.072846786603
138,-29094.119811838802
139,-29137.49782060135
140,-29085.22677809163
141,-29085.83653209771
142,-29070.74957899562
143,-29136.315709159728
144,-29175.73927998556
145,-29171.711306618803
146,-29216.26697613081
147,-29187.483499509315
148,-29166.991820152092
149,-29145.932587771364
150,-29180.747480388418
151,-29121.249305925507
152,-29126.110834854277
153,-29129.472940610452
154,-29190.72397776348
155,-29160.370418090966
156,-29231.192718452683
157,-29231.387652472444
158,-29190.23582165339
159,-29194.728479244535
160,-29245.122034490607
161,-29193.79288248412
162,-29125.725287581125
163,-29189.328854196883
164,-29233.184124331958
165,-29217.680131719597
166,-29217.90358935947
167,-29185.97157587557
168,-29225.295664027697
169,-29289.743297179903
170,-29358.09544084854
171,-29281.202079084655
172,-29303.29774683943
173,-29334.98317979304
174,-29365.05526992011
175,-29409.28612760148
176,-29453.16720595998
177,-29456.310885580828
178,-29438.48170896259
179,-29432.347682570482
180,-29389.245857268834
181,-29375.818282730303
182,-29337.935722283066
183,-29320.225775872237
184,-29281.03626860428
185,-29207.814749737463
186,-29132.059859727
187,-29078.527573775973
188,-29156.305275391383
189,-29170.502269622517
190,-29097.041131225007
191,-29089.225209902845
192,-29079.901003863073
193,-29108.711988323637
194,-29173.650023640555
195,-29204.740871027352
196,-29219.95508940544
197,-29130.4767771017
198,-29093.11486412945
199,-29064.26341006864
200,-29010.52733829377
201,-29048.887949506494
202,-29016.619731549046
203,-29028.56219328922
204,-28980.17798151622
205,-28982.06801386158
206,-28905.994140425337
207,-28843.904513750513
208,-28854.20289611891
209,-28843.350228015537
210,-28845.92820115172
211,-28896.96213495354
212,-28898.581107306916
213,-28965.819683022568
214,-28996.970449709097
215,-28979.137531961554
216,-28991.503106711592
217,-29010.294630537217
218,-29054.29048414266
219,-29049.80535749142
220,-29074.12897062513
221,-29052.22020644745
222,-29086.275860662914
223,-29059.461079773777
224,-28982.564266783138
225,-28958.481938208173
226,-28924.596986488974
227,-28887.10395660287
228,-28818.804342847994
229,-28702.47631717155
230,-28759.656975936246
231,-28861.21919725622
232,-28861.409410821787
233,-28822.951351331998
234,-28826.644394063962
235,-28854.536979226625
236,-28813.434313531914
237,-28775.828000353333
238,-28766.006874599363
239,-28753.521273774848
240,-28720.463858452087
241,-28702.461836396375
242,-28720.446151071395
243,-28773.903275049393
244,-28744.54834740171
245,-28694.23588674865
246,-28744.47029780677
247,-28731.578188480114
248,-28730.832445941032
249,-28759.318493685518
250,-28810.72220947878
251,-28765.324470462274
252,-28777.609710634177
253,-28813.364103252887
254,-28815.789995408395
255,-28787.710220878296
256,-28764.704942447963
257,-28753.531706084505
258,-28718.246146630747
259,-28640.727393465753
260,-28674.33301521193
261,-28626.22780479599
262,-28761.971133147897
263,-28836.329069857682
264,-28822.899989229245
265,-28811.085669958673
266,-28814.16900406506
267,-28821.144221651113
268,-28873.972482456473
269,-28892.835764416544
270,-28993.022267916047
271,-28959.489644086287
272,-28966.485953457173
273,-28947.135097856004
274,-28985.15355601056
275,-28993.384792328456
276,-29057.362312197416
277,-29052.282294462195
278,-29152.946299543888
279,-29169.00960224587
280,-29161.1874452536
281,-29075.674088180236
282,-29048.380044202524
283,-28999.848580716938
284,-29018.491777019233
285,-29028.799483955758
286,-29011.252256825348
287,-29037.08787077477
288,-29098.556079854818
289,-29086.023299885466
290,-29065.932413839804
291,-29040.46478152719
292,-29051.62545595703
293,-29018.09587779438
294,-29029.03942460934
295,-29092.505413204344
296,-29097.68387568567
297,-29130.983193645032
298,-29196.910435557405
299,-29152.290475110607
300,-29167.024052892735
301,-29168.92511143244
302,-29093.006175540755
303,-29123.41974012724
304,-29065.82468877951
305,-29069.92779564531
306,-29033.641523890918
307,-29126.637045830754
308,-29150.35484784369
309,-29210.103251692413
310,-29277.61460308758
311,-29202.85979448168
312,-29200.596955507463
313,-29189.385201711557
314,-29249.050211667967
315,-29238.1586435343
316,-29278.485429323773
317,-29252.445254763417
318,-29248.165129421483
319,-29285.285754950113
320,-29313.499879312356
321,-29293.83347591979
322,-29358.40549300385
323,-29356.484668734654
324,-29346.68890679065
325,-29354.863463012975
326,-29392.546230259624
327,-29383.777396215846
328,-29392.28706781429
329,-29426.8432813873
330,-29413.816717070324
331,-29417.314286677705
332,-29470.384613608196
333,-29414.078011388974
334,-29444.354946180756
335,-29461.190293884007
336,-29451.353243515507
337,-29374.28369441378
338,-29370.181293299862
339,-29402.136146648336
340,-29414.177775119526
341,-29438.18761951903
342,-29427.92369578288
343,-29431.75659931882
344,-29499.054370968555
345,-29477.586772412793
346,-29489.68869688967
347,-29501.72049210184
348,-29641.198321404307
349,-29624.4447136877
350,-29587.48683010843
351,-29530.41284068683
352,-29504.476978766932
353,-29455.079463569557
354,-29444.997192156377
355,-29463.23868841521
356,-29587.156691132226
357,-29560.583808966217
358,-29471.37174215136
359,-29410.689294409884
360,-29469.776837285997
361,-29499.19187407453
362,-29597.085747968646
363,-29616.845142075344
364,-29612.233170045387
365,-29638.732970622048
366,-29551.50267739548
367,-29643.3110192856
368,-29723.631538737834
369,-29721.49972270491
370,-29649.858363991414
371,-29732.593669122292
372,-29828.79240271305
373,-29810.80561307509
374,-29756.456164258874
375,-29804.91365605771
376,-29885.577201620643
377,-29838.192828051833
378,-29865.82367676409
379,-29851.200658450347
380,-29888.864731154074
381,-29890.763432514024
382,-29876.164659631835
383,-29910.435020481153
384,-29891.09554656869
385,-29926.630883463706
386,-29931.333147940884
387,-29973.225544793004
388,-30055.02528767462
389,-30129.250901635525
390,-30113.613482302633
391,-30073.378733750083
392,-30101.73264346566
393,-30175.325486186422
394,-30221.51062890244
395,-30198.338768045942
396,-30282.43903125927
397,-30278.24296113732
398,-30278.218172702742
399,-30260.33134839544
400,-30240.513801316225
401,-30279.454592736034
402,-30231.52190385092
403,-30296.21727851559
404,-30241.70425475706
405,-30171.356639066234
406,-30159.567795312396
407,-30159.413504216707
408,-30293.74446834302
409,-30276.337576011403
410,-30282.81388396916
411,-30256.12871814609
412,-30268.560529189566
413,-30237.28929641465
414,-30306.663469242332
415,-30285.43529511698
416,-30258.00201465198
417,-30209.150507435723
418,-30206.90049717495
419,-30230.602148632457
420,-30170.2208563293
421,-30169.08466571207
422,-30142.00200373145
423,-30138.550664883784
424,-30130.95043878861
425,-30168.115082339024
426,-30237.906155128218
427,-30238.529776422845
428,-30177.623799884048
429,-30238.21206515766
430,-30308.610997666394
431,-30313.179708698288
432,-30344.48356791454
433,-30433.456526442962
434,-30381.23480938113
435,-30410.630302309815
436,-30350.707576362358
437,-30337.11551731573
438,-30252.381818761867
439,-30200.55178174814
440,-30222.43668783934
441,-30168.19088574572
442,-30137.938072039633
443,-30109.965860752538
444,-30056.647629950297
445,-30022.27304936983
446,-29945.320665274052
447,-29982.483043071185
448,-29984.188775712842
449,-30020.814479433968
450,-30040.886772670958
451,-30020.602281225583
452,-30057.793767966636
453,-29988.43910818835
454,-30031.24135134815
455,-30093.021104916003
456,-30083.779060080113
457,-30047.723209503223
458,-30100.243700492985
459,-30135.333495602426
460,-30087.002497137117
461,-30184.679604022724
462,-30097.402817880426
463,-30080.041464837886
464,-30103.961155537785
465,-30209.621865090634
466,-30189.339681240708
467,-30269.11309349558
468,-30267.421181748945
469,-30355.616037223062
470,-30369.354342767896
471,-30351.405782186765
472,-30348.119636487798
473,-30420.345411745104
474,-30413.41437705748
475,-30514.628351705607
476,-30568.3640041812
477,-30583.34276465858
478,-30569.84936089542
479,-30623.189113854514
480,-30689.637381681223
481,-30595.27639000683
482,-30546.263714031145
483,-30559.077109697
484,-30483.36183731776
485,-30508.607530288213
486,-30486.125971075387
487,-30345.20158976188
488,-30352.681121950503
489,-30329.523800052055
490,-30294.506842158193
491,-30185.717395731346
492,-30146.984399989935
493,-30139.71210217698
494,-30104.979784674426
495,-30109.746157655798
496,-30035.088860383257
497,-30076.822322177
498,-30079.38548763258
499,-30052.81327433857
500,-30100.974410308645
501,-30079.827627951596
502,-30070.423276897658
503,-30105.742662145964
504,-30107.369632069975
505,-30110.027974063632
506,-30090.235277512234
507,-30095.977736263565
508,-30023.321010177217
509,-29875.271628395974
510,-29833.932398187288
511,-29834.81094117331
512,-29979.205810107796
513,-30028.306156598006
514,-29997.17201982334
515,-29942.656935971518
516,-29883.043518442468
517,-29878.64863860752
518,-29911.32692281996
519,-29828.344786130056
520,-29850.83218554575
521,-29893.601473636343
522,-29802.63836120211
523,-29880.29907476093
524,-29978.443081113543
525,-30016.06086840406
526,-30012.448156681923
527,-30041.335876729932
528,-30060.81352813488
529,-30066.27129066196
530,-29984.94334413794
531,-29930.021120784186
532,-29893.933681832976
533,-29899.71395414141
534,-29861.436563796036
535,-29966.735016129423
536,-29940.631295212857
537,-29979.61498379391
538,-29934.647113513605
539,-30014.92412658438
540,-30022.956349738834
541,-29950.424658625507
542,-30057.506631354307
543,-30047.578731876354
544,-29981.62546015831
545,-29956.833469915862
546,-29942.91844526992
547,-30025.471505745576
548,-30004.861185408303
549,-30039.96032733778
550,-30039.73274091122
551,-30091.305262401755
552,-30016.254424253093
553,-29849.697753865326
554,-29876.936511046893
555,-29940.989675825276
556,-29943.11431571805
557,-29953.236997205662
558,-29942.348098356437
559,-30031.780938541735
560,-29957.367934866335
561,-30006.57873008493
562,-29970.86193336013
563,-29933.772355426867
564,-29900.840710545064
565,-29876.953565346445
566,-29943.86429448992
567,-29940.832991721854
568,-29891.95560575207
569,-29878.90009482746
570,-29797.835345328203
571,-29886.59201087333
572,-29890.84848490872
573,-29939.524550234215
574,-29955.875480293056
575,-29992.819027340483
576,-30051.292035102273
577,-30072.32071091969
578,-29993.195874855122
579,-30049.95916322191
580,-30033.31247334436
581,-30016.02681082222
582,-29942.75659108488
583,-29944.54303316538
584,-30003.806953652296
585,-30004.005539690646
586,-29984.645709013825
587,-30010.74165788355
588,-30063.513817996067
589,-30005.087102996324
590,-30058.091892153305
591,-30066.776200001248
592,-30076.453922067692
593,-30084.55124851832
594,-30112.68540268361
595,-30083.40694116495
596,-30052.46908849187
597,-30033.55822102277
598,-29993.72862187185
599,-29920.63085818046
600,-29875.828325119382
601,-29875.011184025647
602,-29947.183066237616
603,-29943.628927534373
604,-30022.28650586913
605,-29935.120806604864
606,-29883.287875007518
607,-29899.86389732901
608,-29867.520006242205
609,-29916.838525464264
610,-29866.705171903785
611,-29873.986591275247
612,-29821.12286055131
613,-29752.432690776688
614,-29692.392225899806
615,-29688.80482936016
616,-29683.52289153057
617,-29643.359948542726
618,-29651.079799468313
619,-29607.34155838388
620,-29645.124350306767
621,-29632.432780598243
622,-29684.29563495825
623,-29590.75847208514
624,-29643.733595481477
625,-29695.72228376587
626,-29714.213930151418
627,-29694.787481954227
628,-29586.24413313032
629,-29636.784830151693
630,-29733.002811638547
631,-29759.820408761356
632,-29775.098444914274
633,-29834.088918220168
634,-29897.086142742173
635,-29934.518955696698
636,-30048.42260379293
637,-30055.7356263836
638,-30003.289444487764
639,-30021.079335327904
640,-30023.443591006242
641,-29987.164043643093
642,-29973.610784886983
643,-29894.592933765587
644,-29822.358008602376
645,-29769.05234010408
646,-29706.576553841933
647,-29735.608658441543
648,-29698.951129506135
649,-29762.16989663243
650,-29817.017032191936
651,-29796.09922348415
652,-29830.802367293523
653,-29817.920143967218
654,-29859.11294582183
655,-29820.15315885105
656,-29821.481911179748
657,-29778.224790649136
658,-29869.26572133752
659,-29890.34973558476
660,-29852.655522558714
661,-29798.241199723343
662,-29803.68780179834
663,-29833.63963070098
664,-29848.981301017968
665,-29862.429702777805
666,-29897.12475164368
667,-29926.71230832448
668,-29933.83993591164
669,-29934.20537276496
670,-29921.26768493362
671,-29959.936201982993
672,-29994.77342995885
673,-29997.743497319483
674,-29966.889469243182
675,-30018.754448322084
676,-29986.487485600064
677,-30106.959590478076
678,-30154.337625725988
679,-30204.42732719941
680,-30161.740340572713
681,-30221.88517764684
682,-30182.04032344765
683,-30187.175099006447
684,-30244.822376482927
685,-30242.640457947597
686,-30280.951381386825
687,-30245.579444637613
688,-30293.46090757651
689,-30405.180637840123
