Sensor,s_0
0,-697.8187118583867
1,-704.0601599828838
2,-664.2067435632079
3,-598.4138211256937
4,-500.9532613939006
5,-495.0205181032918
6,-402.81197512124135
7,-320.9058625886085
8,-304.81702394081196
9,-215.60110990244573
10,-248.96378986163165
11,-268.225686011619
12,-292.65824955394146
13,-208.3402194286851
14,-170.16783528604947
15,-230.57580083757495
16,-210.27395661274608
17,-207.53954328876995
18,-221.35030185199867
19,-189.39353762024217
20,-213.34978600783006
21,-315.80762941573335
22,-408.2910186419306
23,-423.84295160155284
24,-444.24255462849726
25,-444.63025775036886
26,-509.89825217086536
27,-487.408022274515
28,-505.61893781592363
29,-514.3917508781585
30,-398.99727241557
31,-411.8847112422167
32,-395.70054443324364
33,-443.63415823650826
34,-447.3034435237255
35,-434.4238781537235
36,-482.0307296679179
37,-442.06657072121595
38,-485.4846537673229
39,-485.5044551382417
40,-599.9981522197354
41,-591.9146365516874
42,-680.0971244356431
43,-710.0606591475732
44,-669.6688475492153
45,-687.0396049598958
46,-662.9297973461343
47,-637.999653344002
48,-655.7831409015561
49,-664.9836509401366
50,-708.5327883321914
51,-698.7536918909632
52,-645.363283554442
53,-671.3899326703821
54,-660.4531901125318
55,-658.018492798764
56,-639.7935153232545
57,-649.7393422312783
58,-675.1266958866748
59,-657.6574569618992
60,-693.0072709318722
61,-685.7339890444356
62,-652.6630644412011
63,-667.667821195908
64,-729.4029486371805
65,-745.9375036752516
66,-693.7202589718094
67,-637.0221073480757
68,-710.8169078304703
69,-720.618705899237
70,-677.975142686488
71,-630.534768265021
72,-660.2202579278986
73,-610.2766334667162
74,-605.880152411235
75,-698.2034330066386
76,-616.0963356308064
77,-616.8571847995547
78,-557.2027034529528
79,-579.0067153295449
80,-621.526897516697
81,-666.5387614179912
82,-686.9487925566951
83,-615.586827753393
84,-686.1289205787571
85,-704.2246144937536
86,-744.3969972940121
87,-749.9940832539062
88,-747.2989633741697
89,-775.2994534555744
90,-737.2027274259538
91,-739.4175972788962
92,-732.4956011925492
93,-697.7842578264988
94,-796.3796992031187
95,-731.3817821419042
96,-759.0085569121777
97,-746.2952455982163
98,-723.4288435932526
99,-697.9336731800094
100,-648.8008155977612
101,-624.6049206658913
102,-550.1988840743877
103,-561.4558894074138
104,-609.0755994498426
105,-620.350572208213
106,-606.0258259715384
107,-652.1653793834821
108,-575.3353528462828
109,-581.0061589169063
110,-648.5174359595104
111,-623.4596074472593
112,-601.5731571550394
113,-572.5694459972711
114,-530.3998316274876
115,-521.7252854244523
116,-503.50608430526404
117,-557.8454275371615
118,-581.5510824088555
119,-577.325583583859
120,-638.5953928849704
121,-577.12849984028
122,-560.9795305800259
123,-554.116157069868
124,-506.20289780598137
125,-627.9625803731185
126,-650.749645844353
127,-702.7106315096514
128,-698.6869872719429
129,-709.3619200809326
130,-730.2304290841752
131,-709.7572819817959
132,-669.6276852191319
133,-698.8234649345712
134,-657.5581495941494
135,-640.0933278056993
136,-645.2163711519298
137,-717.6047913263384
138,-714.3376598614706
139,-691.9747020126613
140,-739.9251936755181
141,-769.3139359919207
142,-741.6559923001257
143,-743.3336943508083
144,-799.2309241361158
145,-691.3766208834863
146,-679.1702152338573
147,-718.0902448960279
148,-663.2580342124835
149,-718.9496320449948
150,-676.4820017417449
151,-700.1405775935646
152,-733.9674203231311
153,-739.9454123479552
154,-767.2374002271166
155,-778.8618279068857
156,-694.1017439537214
157,-631.0269637511667
158,-605.9159010261241
159,-620.9204320731113
160,-612.378895378377
161,-653.6536043442799
162,-623.0083246596093
163,-612.6467205346416
164,-644.532690834785
165,-640.7225692757314
166,-703.6148820404195
167,-753.9755274069091
168,-818.4990804601725
169,-811.2049911377469
170,-771.6866565192245
171,-770.807266471862
172,-697.0531363497867
173,-801.1761603324636
174,-707.0420718124814
175,-664.5375596284448
176,-720.8866534983742
177,-596.7034682367838
178,-604.2116442881808
179,-536.2664561694311
180,-459.6898594292928
181,-560.120276567939
182,-588.8045784805067
183,-593.8331151289469
184,-527.1283484814758
185,-566.642665554691
186,-497.96028080668225
187,-491.32530711629335
188,-534.9570604957614
189,-483.4767809214962
190,-551.0400861765291
191,-522.3808025382498
192,-562.7542011448205
193,-579.5922312473347
194,-584.5757163830903
195,-581.8543009110642
196,-610.0499612397725
197,-684.9032843122335
198,-711.748530756151
199,-655.4475981923754
200,-750.4100764883242
201,-692.7966519728964
202,-706.1906404101192
203,-731.8844492867178
204,-723.7458436465866
205,-725.6862132537045
206,-693.2042701901134
207,-761.2492926660507
208,-752.9653063797239
209,-842.4654523040185
210,-816.9398153970349
211,-787.8502094967847
212,-844.7672737268463
213,-749.2341687890969
214,-730.5351270712486
215,-779.5784638853795
216,-847.2474641557137
217,-883.645415174263
218,-820.4685841562795
219,-776.3502219002949
220,-820.9124563706523
221,-884.6858963569725
222,-890.7595164898293
223,-891.3150495686147
224,-892.2108313027281
225,-897.0941092689841
226,-943.6289322802393
227,-994.3892501349344
228,-1014.6357142400733
229,-1034.1046977900644
230,-962.3024019913607
231,-988.778082316773
232,-994.9738527683801
233,-917.9611671246982
234,-866.6727176236426
235,-930.5690470793932
236,-901.3742736927604
237,-871.246511310852
238,-822.6685668535989
239,-809.9012489468381
240,-753.7456309586674
241,-849.2850228926478
242,-837.712171629341
243,-831.4336277103806
244,-824.7661056754237
245,-772.7992437123272
246,-844.9039242528145
247,-818.8497120311755
248,-755.9024040719207
249,-670.024862394128
250,-580.1106244283112
251,-601.5014549814097
252,-585.5810297764256
253,-600.9175352246656
254,-584.2229338742433
255,-584.6292284131505
256,-553.9185333879889
257,-618.6176217803675
258,-598.817817178372
259,-612.6099996291821
260,-656.4804878839823
261,-647.0142907108403
262,-635.3563338754968
263,-606.4030227646064
264,-580.4675010702496
265,-585.0383935710419
266,-578.1978171293161
267,-630.5273920606418
268,-598.1776916303181
269,-645.8500225122712
270,-652.42666954312
271,-700.547382704858
272,-749.3384736409043
273,-664.3812138909472
274,-655.7684173610037
275,-615.912924146124
276,-584.1390075358332
277,-552.954721902745
278,-545.2289801418963
279,-580.771645898598
280,-562.067681370311
281,-633.7219994007091
282,-714.653604778027
283,-681.8670626037435
284,-631.9077069007278
285,-651.2567902041908
286,-709.1491047866675
287,-709.7480037016106
288,-715.391565628557
289,-761.8586630675634
290,-718.4616925974274
291,-690.2612422773107
292,-586.3979941084594
293,-579.0245297920372
294,-506.9670734714874
295,-544.9436946888436
296,-483.45504178501193
297,-424.04748652419914
298,-400.7230807141606
299,-429.8262768304253
300,-414.65665208502037
301,-403.83352243444085
302,-339.1950201788547
303,-406.21106582838263
304,-401.54936252427433
305,-453.8182931414826
306,-440.4242589435804
307,-433.8015128434695
308,-442.09309346969894
309,-438.0053892669482
310,-452.276325543512
311,-485.8088922013714
312,-554.825538366323
313,-592.6180183456169
314,-576.9035428467186
315,-522.483950049726
316,-583.8639344738275
317,-613.9414007528424
318,-678.3396728188812
319,-644.5081985576221
320,-623.9318071368551
321,-588.7447832605269
322,-619.5015334139321
323,-606.358846776485
324,-657.9908990247288
325,-548.430976887961
326,-566.8135976200997
327,-612.5209023239194
328,-565.5111330067718
329,-591.7503127264171
330,-617.2579220056401
331,-622.3914861117872
332,-622.3983104598713
333,-636.3674104741557
334,-604.798351025115
335,-620.36108357083
336,-594.4074267478059
337,-660.4062836347247
338,-664.8200670323625
339,-554.5471223903933
340,-548.4224082237047
341,-553.8090927865653
342,-564.3464616411354
343,-506.72542764115633
344,-577.997735442832
345,-477.3098804494392
346,-552.2077533610957
347,-440.76602516234766
348,-457.4484089120484
349,-413.66196975060166
350,-456.1490330718919
351,-492.9304904177397
352,-420.6094089184675
353,-406.61234463529206
354,-329.43755079163964
355,-324.86506280631636
356,-293.85044536153896
357,-293.9121737897552
358,-360.19046784917975
359,-419.676470414113
360,-498.2338557656815
361,-516.6480008909526
362,-538.5676021164328
363,-568.6518366171088
364,-567.9753988422622
365,-622.6065961892051
366,-649.9455852340369
367,-621.3479748763007
368,-644.8308720010725
369,-585.4218421840282
370,-506.5147414525846
371,-637.2860840302626
372,-616.7808892676635
373,-651.3875892030435
374,-619.8957657246082
375,-684.2547289956318
376,-704.295753261988
377,-751.1461090459691
378,-729.2520473957657
379,-811.9968082869419
380,-838.1554313777812
381,-910.4705848662965
382,-879.4193048477207
383,-980.6217133965978
384,-1038.831608517236
385,-1041.616505099297
386,-1027.6537406596187
387,-1033.06081598851
388,-1056.2804380773086
389,-1067.412955977686
390,-1099.1481465302131
391,-976.117131528754
392,-971.3596990445774
393,-953.392009022109
394,-1016.2351661798803
395,-1008.3623431903641
396,-999.0397323784915
397,-968.9411919478414
398,-959.9680213420762
399,-899.8168957011305
400,-769.4757786584321
401,-703.9305462186124
402,-727.6756718748293
403,-851.3833130004025
404,-919.4674397641205
405,-907.6300084825469
406,-861.5271016792744
407,-840.083803718619
408,-851.176219462432
409,-881.4816670337605
410,-829.4641562353246
411,-842.2760207341697
412,-880.4830603893378
413,-895.4342965966422
414,-880.4407143947428
415,-902.7950459603728
416,-917.9305287045325
417,-905.1987168540344
418,-925.2679452292041
419,-964.8927047895322
420,-902.4704401580589
421,-806.448910098595
422,-818.9415280532659
423,-782.6263594956316
424,-779.2352856279281
425,-809.6106984641764
426,-786.2149367224813
427,-795.2801879712412
428,-819.9424877674057
429,-754.3988400493549
430,-660.0467979119007
431,-715.9455722813194
432,-703.1679424921598
433,-689.0252504222486
434,-746.8660156458875
435,-737.5429388613402
436,-784.2376516099415
437,-692.0358132931402
438,-647.4335976402604
439,-586.296026770684
440,-574.054121268849
441,-595.1329665243971
442,-541.9827989395344
443,-570.9848903879351
444,-662.7510183989475
445,-688.7958130899883
446,-686.9351702776696
447,-648.6665297755402
448,-569.8209389049753
449,-625.0768911447974
450,-572.6083127058948
451,-530.5922417841664
452,-622.9688867668519
453,-639.3949869918844
454,-654.9075475904352
455,-698.3339482196528
456,-722.5370998354718
457,-779.4133867633575
458,-739.7924657358212
459,-775.9250297548247
460,-741.7547212379252
461,-700.9965954777775
462,-700.5434962753882
463,-682.9395158222896
464,-756.2671553640333
465,-819.2267462507634
466,-885.1859980845063
467,-942.6026499055291
468,-875.3970226553743
469,-955.5719447462828
470,-928.5110197510587
471,-1033.6938064076717
472,-1038.7746792943144
473,-974.3796091426495
474,-1013.3715595808308
475,-1023.715781145259
476,-1080.1728048091277
477,-1087.318112436498
478,-1039.9863459016033
479,-1045.925376491701
480,-971.2846765079047
481,-979.1217844620448
482,-979.0087828897313
483,-935.2023202615344
484,-828.1082201208515
485,-756.9971273496162
486,-724.782527364113
487,-736.7118571819557
488,-584.7990938751523
489,-651.9955376066443
490,-487.33322440453844
491,-489.96379209294133
492,-499.0481325024927
493,-455.0380391387012
494,-443.6827790747346
495,-493.1220206174629
496,-491.6101495069487
