Sensor,s_0
0,43621
1,43664
2,43621
3,43619
4,43618
5,43667
6,43628
7,43682
8,43649
9,43609
10,43620
11,43587
12,43536
13,43573
14,43564
15,43506
16,43512
17,43549
18,43548
19,43499
20,43562
21,43658
22,43719
23,43726
24,43755
25,43691
26,43655
27,43699
28,43737
29,43712
30,43724
31,43718
32,43753
33,43688
34,43736
35,43750
36,43721
37,43735
38,43712
39,43770
40,43716
41,43658
42,43653
43,43645
44,43683
45,43681
46,43718
47,43743
48,43699
49,43839
50,43864
51,43866
52,43827
53,43706
54,43770
55,43785
56,43862
57,43882
58,43902
59,43936
60,43905
61,43972
62,43969
63,43979
64,43918
65,43964
66,44015
67,43980
68,44036
69,44068
70,44106
71,44025
72,44005
73,44066
74,44089
75,44175
76,44087
77,44028
78,44022
79,44062
80,44051
81,44017
82,44044
83,44053
84,43983
85,43987
86,43891
87,43827
88,43807
89,43827
90,43805
91,43792
92,43765
93,43787
94,43798
95,43766
96,43793
97,43777
98,43849
99,43890
100,43807
101,43919
102,43905
103,43888
104,43878
105,43878
106,43868
107,43904
108,43865
109,43867
110,43909
111,43906
112,43931
113,43947
114,43909
115,44008
116,43960
117,43997
118,44085
119,44038
120,43957
121,43972
122,43883
123,43911
124,43886
125,43870
126,43910
127,43963
128,44029
129,43966
130,43933
131,43867
132,43783
133,43781
134,43739
135,43650
136,43618
137,43607
138,43623
139,43608
140,43566
141,43568
142,43594
143,43597
144,43504
145,43544
146,43554
147,43493
148,43471
149,43456
150,43449
151,43451
152,43485
153,43516
154,43415
155,43457
156,43374
157,43390
158,43430
159,43370
160,43341
161,43393
162,43417
163,43439
164,43436
165,43470
166,43601
167,43627
168,43692
169,43809
170,43770
171,43856
172,43846
173,43777
174,43706
175,43722
176,43739
177,43815
178,43847
179,43824
180,43855
181,43843
182,43864
183,43892
184,43874
185,43734
186,43678
187,43737
188,43751
189,43819
190,43923
191,43823
192,43891
193,43831
194,43845
195,43841
196,43921
197,43986
198,43964
199,43991
200,43998
201,44082
202,44143
203,44176
204,44170
205,44120
206,44108
207,44155
208,44174
209,44185
210,44143
211,44177
212,44154
213,44194
214,44213
215,44229
216,44143
217,44135
218,44193
219,44253
220,44312
221,44243
222,44319
223,44302
224,44332
225,44341
226,44296
227,44279
228,44271
229,44390
230,44335
231,44298
232,44356
233,44393
234,44302
235,44324
236,44326
237,44340
238,44295
239,44313
240,44374
241,44374
242,44286
243,44362
244,44378
245,44415
246,44408
247,44443
248,44415
249,44495
250,44427
251,44403
252,44400
253,44332
254,44298
255,44312
256,44287
257,44291
258,44239
259,44226
260,44206
261,44264
262,44213
263,44166
264,44126
265,44156
266,44264
267,44243
268,44154
269,44155
270,44125
271,44209
272,44242
273,44264
274,44303
275,44260
276,44319
277,44300
278,44311
279,44298
280,44279
281,44246
282,44290
283,44291
284,44301
285,44300
286,44231
287,44177
288,44214
289,44274
290,44243
291,44243
292,44221
293,44272
294,44303
295,44233
296,44239
297,44273
298,44295
299,44252
300,44292
301,44318
302,44366
303,44331
304,44410
305,44459
306,44461
307,44454
308,44422
309,44477
310,44538
311,44475
312,44361
313,44347
314,44393
315,44380
316,44303
317,44310
318,44303
319,44345
320,44334
321,44369
322,44451
323,44526
324,44507
325,44549
326,44606
327,44661
328,44643
329,44734
330,44727
331,44696
332,44757
333,44696
334,44697
335,44733
336,44794
337,44804
338,44894
339,44851
340,44930
341,44932
342,44911
343,44834
344,44777
345,44781
346,44843
347,44884
348,44844
349,44932
350,44918
351,44910
352,44895
353,44904
354,44865
355,44957
356,44939
357,44991
358,45022
359,44994
360,45032
361,44972
362,44939
363,44888
364,44918
365,45003
366,44952
367,44977
368,44956
369,44975
370,44926
371,44909
372,44893
373,44813
374,44830
375,44846
376,44907
377,44975
378,44942
379,44868
380,45060
381,45077
382,45107
383,45135
384,45153
385,45131
386,45096
387,45104
388,45097
389,45142
390,45051
391,45017
392,44997
393,44990
394,44955
395,44937
396,44898
397,44841
398,44929
399,44860
400,44872
401,44767
402,44709
403,44767
404,44847
405,44876
406,44859
407,44797
408,44673
409,44621
410,44591
411,44715
412,44671
413,44673
414,44662
415,44669
416,44727
417,44753
418,44672
419,44716
420,44674
421,44547
422,44543
423,44533
424,44564
425,44625
426,44614
427,44497
428,44482
429,44478
430,44437
431,44434
432,44484
433,44521
434,44513
435,44502
436,44484
437,44619
438,44635
439,44573
440,44578
441,44548
442,44511
443,44448
444,44429
445,44500
446,44494
447,44485
448,44486
449,44437
450,44399
451,44453
452,44381
453,44337
454,44407
455,44346
456,44311
457,44327
458,44329
459,44320
460,44284
461,44251
462,44233
463,44229
464,44144
465,44119
466,44065
467,44102
468,44112
469,44125
470,44114
471,44009
472,44025
473,44057
474,44124
475,44140
476,44213
477,44201
478,44235
479,44294
480,44266
481,44291
482,44334
483,44316
484,44166
485,44204
