Senser,s_0
2780013762,0
2780045873,0
2780079271,0
2780112599,0
2780145966,0
2780179294,0
2780212630,0
2780245941,0
2780279344,0
2780312645,0
2780346028,0
2780379385,0
2780412735,0
2780446088,0
2780479465,0
2780512763,0
2780546180,0
2780579485,0
2780612829,0
2780645513,0.048343
2780666997,0.048142
2780712837,0.048062
2780746279,0.048033
2780779618,0.047976
2780829894,0.047914
2780862282,0.047829
2780883517,0.047738
2780929970,0.047523
2780962426,0.047507
2780983591,0.047506
2781030042,0.047507
2781062390,0.047490
2781083579,0.047461
2781130043,0.047435
2781162516,0.047347
2781196712,0.047164
2781229188,0.047100
2781250458,0.046987
2781296623,0.046912
2781329170,0.046844
2781350440,0.046697
2781396705,0.046565
2781429253,0.046429
2781450764,0.046091
2781496751,0.045912
2781529262,0.045430
2781550515,0.044868
2781596793,0.044516
2781629352,0.044286
2781650659,0.044309
2781696988,0.044069
2781729371,0.043624
2781750602,0.043497
2781797015,0.043332
2781829465,0.042983
2781850766,0.042815
2781897139,0.042659
2781929539,0.042415
2781950780,0.041968
2781997178,0.041520
2782029623,0.041425
2782050838,0.041189
2782097234,0.040756
2782130416,0.040298
2782162944,0.039847
2782184301,0.039543
2782230431,0.039186
2782262993,0.038913
2782284422,0.038609
2782330449,0.038412
2782363053,0.037715
2782384558,0.037323
2782430694,0.037194
2782463044,0.036981
2782484697,0.036950
2782530752,0.036923
2782563162,0.036871
2782584526,0.036743
2782630534,0.036684
2782663878,0.036668
2782696519,0.036725
2782718090,0.036605
2782763899,0.036836
2782796580,0.036784
2782818064,0.037085
2782863865,0.037232
2782896598,0.037317
2782918188,0.037609
2782964012,0.037867
2782996681,0.037896
2783018325,0.037996
2783064097,0.038137
2783096712,0.038756
2783118352,0.039206
2783164195,0.039889
2783196733,0.040321
2783218275,0.040526
2783264117,0.040979
2783296842,0.041534
2783330799,0.041868
2783363550,0.042410
2783385031,0.042781
2783430849,0.043146
2783463521,0.043530
2783485113,0.044021
2783530914,0.044213
2783563653,0.044416
2783585146,0.044481
2783630975,0.044788
2783663615,0.044893
2783685313,0.045210
2783731026,0.045480
2783763742,0.045598
2783785245,0.045648
2783831056,0.045814
2783863759,0.045910
2783885315,0.046033
2783931076,0.046063
2783963850,0.046354
2783985324,0.046456
2784031164,0.046514
2784063879,0.046457
2784085580,0.046641
2784131205,0.046750
2784164553,0.046794
2784197214,0.046920
2784218858,0.046961
2784264604,0.047116
2784297300,0.047263
2784318880,0.047413
2784364681,0.047649
