Senser,s_0
2780013762,0
2780045873,0
2780079271,0
2780112599,0
2780145966,0
2780179294,0
2780212630,0
2780245941,0
2780279344,0
2780312645,0
2780346028,0
2780379385,0
2780412735,0
2780446088,0
2780479465,0
2780512763,0
2780546180,0
2780579485,0
2780612829,0
2780645513,48
2780666997,48
2780712837,48
2780746279,48
2780779618,47
2780829894,47
2780862282,47
2780883517,47
2780929970,47
2780962426,47
2780983591,47
2781030042,47
2781062390,47
2781083579,47
2781130043,47
2781162516,47
2781196712,47
2781229188,47
2781250458,46
2781296623,46
2781329170,46
2781350440,46
2781396705,46
2781429253,46
2781450764,46
2781496751,45
2781529262,45
2781550515,44
2781596793,44
2781629352,44
2781650659,44
2781696988,44
2781729371,43
2781750602,43
2781797015,43
2781829465,42
2781850766,42
2781897139,42
2781929539,42
2781950780,41
2781997178,41
2782029623,41
2782050838,41
2782097234,40
2782130416,40
2782162944,39
2782184301,39
2782230431,39
2782262993,38
2782284422,38
2782330449,38
2782363053,37
2782384558,37
2782430694,37
2782463044,36
2782484697,36
2782530752,36
2782563162,36
2782584526,36
2782630534,36
2782663878,36
2782696519,36
2782718090,36
2782763899,36
2782796580,36
2782818064,37
2782863865,37
2782896598,37
2782918188,37
2782964012,37
2782996681,37
2783018325,37
2783064097,38
2783096712,38
2783118352,39
2783164195,39
2783196733,40
2783218275,40
2783264117,40
2783296842,41
2783330799,41
2783363550,42
2783385031,42
2783430849,43
2783463521,43
2783485113,44
2783530914,44
2783563653,44
2783585146,44
2783630975,44
2783663615,44
2783685313,45
2783731026,45
2783763742,45
2783785245,45
2783831056,45
2783863759,45
2783885315,46
2783931076,46
2783963850,46
2783985324,46
2784031164,46
2784063879,46
2784085580,46
2784131205,46
2784164553,46
2784197214,46
2784218858,46
2784264604,47
2784297300,47
2784318880,47
2784364681,47
2784397357,47
2784418970,48
2784464697,48
2784497425,48
2784518949,48
2784564752,48
2784597408,48
2784619058,48
2784664808,48
2784697534,48
2784719241,48
2784764915,48
2784797561,48
2784819143,48
2784864859,48
2784897584,49
2784919142,49
2784964940,49
2784997593,49
2785019131,49
2785065013,49
2785097685,49
2785119334,49
2785165111,49
2785197703,49
2785219327,49
2785265099,49
2785297828,49
2785319307,49
2785365188,49
2785397846,49
2785419417,49
2785465194,49
2785497932,49
2785519618,48
2785565318,48
2785597967,49
2785619479,48
2785665261,49
2785698038,48
2785719591,48
2785765379,48
2785798045,48
2785819608,49
2785865391,48
2785898083,48
2785919760,49
2785965468,49
2785998099,49
