Senser,s_0
0,2143490014
309,2143490305
618,2143490305
926,2143490305
1234,2143490305
1544,2143490305
1854,2143490305
2163,2143490305
2472,2143490305
2781,2143490305
3090,2143490305
3397,2143490305
3707,2143490305
4014,2143490305
4324,2143490305
4635,2143490305
4944,2143490305
5254,2143490305
5562,2143490305
5871,2143490305
6179,2143490305
6488,2143490305
6795,2143490305
7105,2143490305
7415,2143490305
7724,2143490305
8034,2143490305
8343,2143490305
8651,2143490305
8961,2143490305
9271,2143490305
9577,2143490305
9886,2143490305
10195,2143490305
10504,2143490305
10812,2143490305
11120,2143490305
11430,2143490305
11738,2143490305
12047,2143490305
12354,2143490305
12663,2143490305
12972,2143490305
13281,2143490305
13589,2143490305
13898,2143490305
14208,2143490305
14516,2143490305
14825,2143490305
15134,2143490305
15444,2143490305
15751,2143490305
16059,2143490305
16367,2143490305
16679,2143490305
16986,2143490305
17296,2143490305
17605,2143490305
17914,2143490305
18224,2143490305
18531,2143490305
18841,2143490305
19150,2143490305
19459,2143490305
19767,2143490305
20077,2143490305
20386,2143490305
20695,2143490305
21005,2143490305
21312,2143490305
21622,2143490305
21929,2143490305
22239,2143490305
22548,2143490305
22857,2143490305
23167,2143490305
23474,2143490305
23784,2143490305
24094,2143490305
24403,2143490305
24712,2143490305
25021,2143490305
25330,2143490305
25640,2143490305
25949,2143490305
26259,2143490305
26568,2143490305
26877,2143490305
27186,2143490305
27494,2143490305
27804,2143490305
28111,2143490305
28421,2143490305
28729,2143490305
29038,2143490305
29346,2143490305
29655,2143490305
29965,2143490305
30274,2143490305
30582,2143490305
30891,2143490305
31200,2143490305
31509,2143490305
31819,2143490305
32127,2143490305
32436,2143490305
32744,2143490305
33054,2143490305
33364,2143490305
33672,2143490305
33980,2143490305
34291,2143490305
34599,2143490305
34908,2143490305
35218,2143490305
35527,2143490305
35834,2143490305
36143,2143490305
36453,2143490305
36762,2143490305
37072,2143490305
37381,2143490305
37691,2143490305
38000,2143490305
38307,2143490305
38617,2143490305
38925,2143490305
39234,2143490305
39542,2143490305
39851,2143490305
40160,2143490305
40469,2143490305
40779,2143490305
41087,2143490305
41396,2143490305
41704,2143490305
42012,2143490305
42321,2143490305
42630,2143490305
42939,2143490305
43248,2143490305
43557,2143490305
43867,2143490305
44174,2143490305
44483,2143490305
44793,2143490305
45102,2143490305
45412,2143490305
45719,2143490305
46029,2143490305
46339,2143490305
46648,2143490305
46958,2143490305
47265,2143490305
47575,2143490305
47884,2143490305
48194,2143490305
48502,2143490305
48812,2143490305
49120,2143490305
49429,2143490305
49740,2143490305
50047,2143490305
50357,2143490305
50665,2143490305
50974,2143490305
51284,2143490305
51593,2143490305
51903,2143490305
52211,2143490305
52517,2143490305
52826,2143490305
53134,2143490305
53443,2143490305
53753,2143490305
54060,2143490305
54369,2143490305
54679,2143490305
54986,2143490305
55296,2143490305
55605,2143490305
55913,2143490305
56222,2143490305
56530,2143490305
56840,2143490305
57149,2143490305
57457,2143490305
57766,2143490305
58076,2143490305
58385,2143490305
58695,2143490305
59004,2143490305
59312,2143490305
59621,2143490305
59930,2143490305
60238,2143490305
60547,2143490305
60856,2143490305
61166,2143490305
61475,2143490305
61783,2143490305
62092,2143490305
62400,2143490305
62710,2143490305
63020,2143490305
63328,2143490305
63637,2143490305
63947,2143490305
64257,2143490305
64565,2143490305
64873,2143490305
65179,2143490305
65488,2143490305
65797,2143490305
66108,2143490305
66416,2143490305
66726,2143490305
67035,2143490305
67344,2143490305
67652,2143490305
67961,2143490305
68270,2143490305
68578,2143490305
68884,2143490305
69195,2143490305
69504,2143490305
69814,2143490305
70124,2143490305
70433,2143490305
70741,2143490305
71050,2143490305
71358,2143490305
71667,2143490305
71975,2143490305
72284,2143490305
72591,2143490305
72900,2143490305
73210,2143490305
73519,2143490305
73828,2143490305
74136,2143490305
74445,2143490305
74753,2143490305
75062,2143490305
75372,2143490305
75680,2143490305
75990,2143490305
76300,2143490305
76608,2143490305
76918,2143490305
77227,2143490304
77537,2143490303
77846,2143490302
78155,2143490301
78463,2143490301
78772,2143490301
79082,2143490301
79390,2143490301
79698,2143490301
80004,2143490301
80314,2143490301
80622,2143490301
80931,2143490301
81241,2143490301
81550,2143490301
81858,2143490301
82164,2143490301
82473,2143490301
82783,2143490301
83092,2143490301
83402,2143490301
83709,2143490301
84019,2143490301
84329,2143490301
84639,2143490301
84949,2143490301
85257,2143490301
85565,2143490301
85875,2143490301
86182,2143490301
86492,2143490301
86802,2143490301
87112,2143490301
87421,2143490301
87731,2143490303
88040,2143490304
88350,2143490305
88659,2143490305
88969,2143490305
89277,2143490305
89586,2143490305
89895,2143490305
90203,2143490305
90513,2143490305
90823,2143490305
91130,2143490305
91440,2143490305
91749,2143490305
92059,2143490305
92367,2143490304
92675,2143490303
92983,2143490301
93292,2143490301
93602,2143490301
93911,2143490301
94221,2143490301
94529,2143490301
94839,2143490301
95148,2143490301
95457,2143490301
95765,2143490301
96074,2143490301
96382,2143490301
96692,2143490301
97002,2143490301
97311,2143490301
97618,2143490302
97928,2143490303
98236,2143490305
98545,2143490305
98855,2143490305
99165,2143490305
99472,2143490305
99782,2143490305
100089,2143490305
100399,2143490305
100706,2143490305
101016,2143490305
101326,2143490305
101635,2143490305
101945,2143490305
102254,2143490304
102563,2143490303
102871,2143490302
103180,2143490301
103489,2143490301
103799,2143490301
104109,2143490301
104417,2143490301
104724,2143490301
105033,2143490301
105342,2143490301
105652,2143490301
105961,2143490301
106271,2143490301
106580,2143490301
106890,2143490301
107198,2143490301
107506,2143490302
107816,2143490303
108123,2143490304
108432,2143490305
108741,2143490305
109051,2143490305
109361,2143490305
109670,2143490305
109980,2143490305
110288,2143490305
110606,2143490305
110911,2143490305
111218,2143490305
111523,2143490305
111829,2143490305
112132,2143490305
112438,2143490305
112745,2143490305
113050,2143490305
113356,2143490305
113660,2143490305
113965,2143490305
114270,2143490305
114575,2143490305
114879,2143490305
115184,2143490305
115489,2143490305
115793,2143490305
116098,2143490305
116402,2143490305
116708,2143490305
117012,2143490305
117317,2143490304
117621,2143490303
117928,2143490302
118232,2143490301
118537,2143490301
118842,2143490301
119147,2143490301
119451,2143490301
119756,2143490301
120061,2143490301
120365,2143490301
120670,2143490301
120975,2143490301
121280,2143490301
121585,2143490301
121890,2143490301
122195,2143490301
122499,2143490301
122804,2143490301
123108,2143490301
123413,2143490301
123718,2143490301
124023,2143490301
124328,2143490301
124632,2143490301
124937,2143490301
125241,2143490301
125549,2143490301
125854,2143490301
126159,2143490301
126464,2143490301
126770,2143490301
127074,2143490301
127380,2143490301
127685,2143490301
127990,2143490301
128294,2143490301
128598,2143490301
128904,2143490301
129209,2143490301
129514,2143490301
129818,2143490301
130124,2143490301
130428,2143490301
130734,2143490301
131038,2143490301
131343,2143490301
131648,2143490301
131952,2143490301
132257,2143490301
132561,2143490302
132866,2143490303
133171,2143490304
133475,2143490305
133781,2143490305
134085,2143490305
134392,2143490305
134698,2143490305
135003,2143490305
135308,2143490305
135612,2143490305
135917,2143490305
136222,2143490305
136526,2143490305
136831,2143490305
137136,2143490305
137441,2143490304
137745,2143490302
138050,2143490301
138354,2143490301
138672,2143490301
138980,2143490301
139291,2143490301
139598,2143490301
139906,2143490301
140213,2143490301
140523,2143490301
140830,2143490301
141138,2143490301
141448,2143490301
141758,2143490301
142067,2143490301
142376,2143490301
142685,2143490301
142995,2143490301
143303,2143490301
143612,2143490301
143919,2143490301
144226,2143490301
144535,2143490301
144845,2143490301
145154,2143490301
145464,2143490301
145771,2143490301
146081,2143490301
146391,2143490301
146699,2143490301
147008,2143490301
147317,2143490301
147627,2143490301
147936,2143490301
148245,2143490301
148554,2143490301
148863,2143490301
149173,2143490301
149480,2143490301
149790,2143490301
150099,2143490301
150409,2143490301
150716,2143490301
151024,2143490301
151332,2143490301
151642,2143490301
151951,2143490301
152261,2143490301
152570,2143490301
152880,2143490301
153189,2143490301
153498,2143490301
153808,2143490301
154117,2143490301
154426,2143490301
154735,2143490301
155044,2143490301
155353,2143490301
155661,2143490301
155970,2143490301
156280,2143490301
156589,2143490301
156898,2143490301
157208,2143490301
157517,2143490301
157826,2143490301
158136,2143490301
158445,2143490301
158755,2143490301
159064,2143490301
159374,2143490301
159684,2143490301
159991,2143490301
160298,2143490301
160607,2143490301
160917,2143490301
161227,2143490301
161535,2143490301
161844,2143490301
162154,2143490301
162463,2143490301
162772,2143490301
163081,2143490301
163389,2143490301
163696,2143490301
164006,2143490301
164315,2143490301
164624,2143490301
164933,2143490301
165243,2143490301
165553,2143490301
165862,2143490301
166170,2143490301
166480,2143490301
166788,2143490301
167097,2143490301
167407,2143490301
167716,2143490301
168025,2143490301
168336,2143490301
168643,2143490301
168953,2143490301
169260,2143490301
169570,2143490301
169878,2143490301
170188,2143490301
170497,2143490301
170807,2143490301
171116,2143490301
171425,2143490301
171733,2143490301
172042,2143490301
172351,2143490301
172660,2143490301
172969,2143490301
173278,2143490301
173585,2143490301
173894,2143490301
174203,2143490301
174512,2143490301
174821,2143490301
175130,2143490301
175439,2143490301
175748,2143490301
176057,2143490301
176365,2143490301
176675,2143490301
176985,2143490301
177293,2143490301
177601,2143490301
177911,2143490301
178220,2143490301
178531,2143490301
178841,2143490301
179149,2143490301
179457,2143490301
179766,2143490301
180074,2143490301
180383,2143490301
180690,2143490301
180998,2143490301
181307,2143490301
181617,2143490301
181925,2143490301
182235,2143490301
182542,2143490301
182852,2143490301
183162,2143490301
183471,2143490301
183780,2143490301
184089,2143490301
184399,2143490301
184707,2143490301
185015,2143490301
185324,2143490301
185633,2143490301
185941,2143490301
186250,2143490301
186558,2143490301
186868,2143490301
187177,2143490301
187487,2143490301
187794,2143490301
188103,2143490301
188413,2143490301
188722,2143490301
189032,2143490301
189341,2143490301
189651,2143490301
189958,2143490301
190268,2143490301
190579,2143490301
190888,2143490301
191197,2143490301
191506,2143490301
191816,2143490301
192124,2143490301
192433,2143490301
192742,2143490301
193051,2143490301
193361,2143490301
193671,2143490301
193980,2143490301
194288,2143490301
194597,2143490301
194906,2143490301
195215,2143490301
195524,2143490301
195832,2143490301
196142,2143490301
196450,2143490301
196759,2143490301
197067,2143490301
197377,2143490301
197685,2143490301
197993,2143490301
198302,2143490301
198612,2143490301
198921,2143490301
199231,2143490301
199540,2143490301
199849,2143490301
200157,2143490301
200466,2143490301
200774,2143490301
201084,2143490301
201392,2143490301
201700,2143490301
202008,2143490301
202317,2143490301
202626,2143490301
202934,2143490301
203244,2143490301
203553,2143490301
203863,2143490301
204172,2143490301
204482,2143490301
204792,2143490301
205100,2143490301
205410,2143490301
205719,2143490301
206029,2143490301
206339,2143490301
206647,2143490301
206956,2143490301
207265,2143490301
207573,2143490301
207882,2143490301
208189,2143490301
208499,2143490301
208808,2143490301
209118,2143490301
209428,2143490301
209737,2143490301
210047,2143490301
210355,2143490301
210664,2143490301
210973,2143490301
211282,2143490301
211592,2143490301
211900,2143490301
212209,2143490301
212518,2143490301
212827,2143490301
213137,2143490301
213444,2143490301
213753,2143490301
214063,2143490301
214371,2143490301
214680,2143490301
214990,2143490301
215298,2143490301
215608,2143490301
215915,2143490301
216225,2143490301
216534,2143490301
216844,2143490301
217153,2143490301
217462,2143490301
217772,2143490301
218082,2143490301
218389,2143490301
218698,2143490301
219008,2143490301
219317,2143490301
219627,2143490301
219934,2143490301
220243,2143490301
220553,2143490301
220861,2143490301
221170,2143490301
221478,2143490301
221785,2143490301
222094,2143490301
222402,2143490301
222711,2143490301
223019,2143490301
223328,2143490301
223637,2143490301
223947,2143490301
224257,2143490301
224565,2143490301
224874,2143490301
225183,2143490301
225491,2143490301
225801,2143490301
226110,2143490301
226420,2143490301
226730,2143490301
227039,2143490301
227348,2143490301
227657,2143490301
227967,2143490301
228277,2143490301
228587,2143490301
228895,2143490301
229205,2143490301
229514,2143490301
229822,2143490301
230131,2143490301
230441,2143490301
230748,2143490301
231058,2143490301
231367,2143490301
231677,2143490301
231986,2143490301
232296,2143490301
232605,2143490301
232914,2143490301
233221,2143490301
233530,2143490301
233840,2143490301
234149,2143490301
234458,2143490301
234766,2143490301
235076,2143490301
235385,2143490301
235692,2143490301
236001,2143490301
236311,2143490301
236620,2143490301
236928,2143490301
237237,2143490301
237546,2143490301
237854,2143490301
238163,2143490301
238472,2143490301
238779,2143490301
239088,2143490301
239398,2143490301
239707,2143490301
240017,2143490301
240326,2143490301
240635,2143490301
240944,2143490301
241253,2143490301
241561,2143490301
241871,2143490301
242180,2143490301
242488,2143490301
242797,2143490301
243107,2143490301
243415,2143490301
243724,2143490301
244034,2143490301
244341,2143490301
244650,2143490301
244958,2143490301
245267,2143490301
245576,2143490301
245886,2143490301
246195,2143490301
246504,2143490301
246813,2143490301
247123,2143490301
247431,2143490301
247739,2143490301
248048,2143490301
248357,2143490301
248665,2143490301
248975,2143490301
249284,2143490301
249593,2143490301
249901,2143490301
250211,2143490301
250520,2143490301
250829,2143490301
251138,2143490301
251446,2143490301
251756,2143490301
252064,2143490301
252373,2143490301
252682,2143490301
252992,2143490301
253300,2143490301
253608,2143490301
253917,2143490301
254227,2143490301
254534,2143490301
254844,2143490301
255153,2143490301
255463,2143490301
255772,2143490301
256079,2143490301
256389,2143490301
256697,2143490301
257007,2143490301
257315,2143490301
257625,2143490301
257933,2143490301
258242,2143490301
258550,2143490301
258858,2143490301
259166,2143490301
259476,2143490301
259785,2143490301
260091,2143490301
260402,2143490301
260711,2143490301
261019,2143490301
261327,2143490301
261636,2143490301
261946,2143490301
262255,2143490301
262562,2143490301
262872,2143490301
263181,2143490301
263491,2143490301
263800,2143490301
264109,2143490301
264419,2143490301
264727,2143490301
265036,2143490301
265345,2143490301
265654,2143490301
265964,2143490301
266273,2143490301
266583,2143490301
266890,2143490301
267200,2143490301
267508,2143490301
