Recommender,Indicator,Value
TSEC,Precision,0.9915209326974033
TSEC,Recall,0.990990990990991
TSEC,F1-score,0.9910964255791842
TSEC,Average Ratio,0.24854632391457226
TSEC,Time Cost,1.7856578826904297
C-Store,Precision,0.9915209326974033
C-Store,Recall,0.990990990990991
C-Store,F1-score,0.9910964255791842
C-Store,Average Ratio,0.24854632391457226
C-Store,Time Cost,1.0769309997558594
CodecDB,Precision,0.975366671018845
CodecDB,Recall,0.972972972972973
CodecDB,F1-score,0.9733195144959851
CodecDB,Average Ratio,0.24854632391457226
CodecDB,Time Cost,5.247763156890869
