Dataset,Size,Time type,Time Cost
CW-AIOps,10000,Data Feature Collection Time,0.5174907048543295
CW-AIOps,10000,Insert Time,0.1396024227142334
CW-AIOps,20000,Data Feature Collection Time,1.039395093917847
CW-AIOps,20000,Insert Time,0.1665377616882324
CW-AIOps,30000,Data Feature Collection Time,1.5076507727305095
CW-AIOps,30000,Insert Time,0.1967427730560302
CW-AIOps,40000,Data Feature Collection Time,2.042269150416056
CW-AIOps,40000,Insert Time,0.2393240928649902
CW-AIOps,50000,Data Feature Collection Time,2.576493263244629
CW-AIOps,50000,Insert Time,0.2745230197906494
CW-AIOps,60000,Data Feature Collection Time,3.115159352620443
CW-AIOps,60000,Insert Time,0.3158793449401855
CW-AIOps,70000,Data Feature Collection Time,3.633469025293986
CW-AIOps,70000,Insert Time,0.3365449905395508
CW-AIOps,80000,Data Feature Collection Time,4.200719753901164
CW-AIOps,80000,Insert Time,0.3643479347229004
CW-AIOps,90000,Data Feature Collection Time,4.787159204483032
CW-AIOps,90000,Insert Time,0.4062960147857666
CW-AIOps,100000,Data Feature Collection Time,5.326395352681478
CW-AIOps,100000,Insert Time,0.4700329303741455
Incident Event Log,10000,Data Feature Collection Time,0.0097664992014567
Incident Event Log,10000,Insert Time,0.133981704711914
Incident Event Log,20000,Data Feature Collection Time,0.0287835597991943
Incident Event Log,20000,Insert Time,0.1476752758026123
Incident Event Log,30000,Data Feature Collection Time,0.0410060087839762
Incident Event Log,30000,Insert Time,0.159374713897705
Incident Event Log,40000,Data Feature Collection Time,0.0510969161987304
Incident Event Log,40000,Insert Time,0.1999869346618652
Incident Event Log,50000,Data Feature Collection Time,0.0638062159220377
Incident Event Log,50000,Insert Time,0.1935744285583496
Incident Event Log,60000,Data Feature Collection Time,0.0663257439931233
Incident Event Log,60000,Insert Time,0.1833560466766357
Incident Event Log,70000,Data Feature Collection Time,0.0630626678466796
Incident Event Log,70000,Insert Time,0.1919338703155517
Incident Event Log,80000,Data Feature Collection Time,0.0716508229573567
Incident Event Log,80000,Insert Time,0.2055540084838867
Incident Event Log,90000,Data Feature Collection Time,0.0809032917022705
Incident Event Log,90000,Insert Time,0.217541217803955
Incident Event Log,100000,Data Feature Collection Time,0.0896367232004801
Incident Event Log,100000,Insert Time,0.2279515266418457
CW-AIOps,10000,Data Feature Collection Time,0.4583557446797688
CW-AIOps,10000,Insert Time,0.1390032768249511
CW-AIOps,20000,Data Feature Collection Time,0.9552887280782064
CW-AIOps,20000,Insert Time,0.1526000499725341
CW-AIOps,30000,Data Feature Collection Time,1.4292585849761963
CW-AIOps,30000,Insert Time,0.1738333702087402
CW-AIOps,40000,Data Feature Collection Time,1.903621753056844
CW-AIOps,40000,Insert Time,0.2097692489624023
CW-AIOps,50000,Data Feature Collection Time,2.34985081354777
CW-AIOps,50000,Insert Time,0.2319095134735107
CW-AIOps,60000,Data Feature Collection Time,2.8215094407399497
CW-AIOps,60000,Insert Time,0.258786678314209
CW-AIOps,70000,Data Feature Collection Time,3.2802146275838218
CW-AIOps,70000,Insert Time,0.3283274173736572
CW-AIOps,80000,Data Feature Collection Time,3.76176118850708
CW-AIOps,80000,Insert Time,0.3540418148040771
CW-AIOps,90000,Data Feature Collection Time,4.225985129674275
CW-AIOps,90000,Insert Time,0.3899588584899902
CW-AIOps,100000,Data Feature Collection Time,4.699517567952474
CW-AIOps,100000,Insert Time,0.4452087879180908
Incident Event Log,10000,Data Feature Collection Time,0.0281260013580322
Incident Event Log,10000,Insert Time,0.12974214553833
Incident Event Log,20000,Data Feature Collection Time,0.0813679695129394
Incident Event Log,20000,Insert Time,0.1474826335906982
Incident Event Log,30000,Data Feature Collection Time,0.1122809251149495
Incident Event Log,30000,Insert Time,0.145888090133667
Incident Event Log,40000,Data Feature Collection Time,0.1152356465657552
Incident Event Log,40000,Insert Time,0.1627178192138672
Incident Event Log,50000,Data Feature Collection Time,0.1432738304138183
Incident Event Log,50000,Insert Time,0.1750624179840088
Incident Event Log,60000,Data Feature Collection Time,0.1712243556976318
Incident Event Log,60000,Insert Time,0.1886119842529297
Incident Event Log,70000,Data Feature Collection Time,0.202884833017985
Incident Event Log,70000,Insert Time,0.2346055507659912
Incident Event Log,80000,Data Feature Collection Time,0.2315496603647867
Incident Event Log,80000,Insert Time,0.2125308513641357
Incident Event Log,90000,Data Feature Collection Time,0.2611393928527832
Incident Event Log,90000,Insert Time,0.2505407333374023
Incident Event Log,100000,Data Feature Collection Time,0.2823469638824463
Incident Event Log,100000,Insert Time,0.2339003086090088
CW-AIOps,10000,Data Feature Collection Time,0.5228400230407715
CW-AIOps,10000,Insert Time,0.1377246379852295
CW-AIOps,20000,Data Feature Collection Time,1.0645045439402263
CW-AIOps,20000,Insert Time,0.1609880924224853
CW-AIOps,30000,Data Feature Collection Time,1.5705053011576335
CW-AIOps,30000,Insert Time,0.1824350357055664
CW-AIOps,40000,Data Feature Collection Time,2.085725704828898
CW-AIOps,40000,Insert Time,0.2038309574127197
CW-AIOps,50000,Data Feature Collection Time,2.595198710759481
CW-AIOps,50000,Insert Time,0.2311913967132568
CW-AIOps,60000,Data Feature Collection Time,3.103535811106364
CW-AIOps,60000,Insert Time,0.2592337131500244
CW-AIOps,70000,Data Feature Collection Time,3.578201691309611
CW-AIOps,70000,Insert Time,0.3250253200531006
CW-AIOps,80000,Data Feature Collection Time,4.091930548350017
CW-AIOps,80000,Insert Time,0.3701841831207275
CW-AIOps,90000,Data Feature Collection Time,4.615690469741821
CW-AIOps,90000,Insert Time,0.3588299751281738
CW-AIOps,100000,Data Feature Collection Time,5.167587439219157
CW-AIOps,100000,Insert Time,0.3931112289428711
Incident Event Log,10000,Data Feature Collection Time,0.0084780851999918
Incident Event Log,10000,Insert Time,0.1586685180664062
Incident Event Log,20000,Data Feature Collection Time,0.0260279178619384
Incident Event Log,20000,Insert Time,0.1455934047698974
Incident Event Log,30000,Data Feature Collection Time,0.0378921826680501
Incident Event Log,30000,Insert Time,0.1742596626281738
Incident Event Log,40000,Data Feature Collection Time,0.0365434487660725
Incident Event Log,40000,Insert Time,0.1612987518310547
Incident Event Log,50000,Data Feature Collection Time,0.0440272490183512
Incident Event Log,50000,Insert Time,0.1713953018188476
Incident Event Log,60000,Data Feature Collection Time,0.0530841350555419
Incident Event Log,60000,Insert Time,0.2108693122863769
Incident Event Log,70000,Data Feature Collection Time,0.0794970194498698
Incident Event Log,70000,Insert Time,0.2010383605957031
Incident Event Log,80000,Data Feature Collection Time,0.0880963007609049
Incident Event Log,80000,Insert Time,0.2078781127929687
Incident Event Log,90000,Data Feature Collection Time,0.0781170527140299
Incident Event Log,90000,Insert Time,0.2171604633331298
Incident Event Log,100000,Data Feature Collection Time,0.0856985251108805
Incident Event Log,100000,Insert Time,0.2254505157470703
CW-AIOps,10000,Data Feature Collection Time,0.484944740931193
CW-AIOps,10000,Insert Time,0.1386113166809082
CW-AIOps,20000,Data Feature Collection Time,1.0094862778981526
CW-AIOps,20000,Insert Time,0.1630949974060058
CW-AIOps,30000,Data Feature Collection Time,1.4936474164326985
CW-AIOps,30000,Insert Time,0.1815159320831298
CW-AIOps,40000,Data Feature Collection Time,1.9901885191599529
CW-AIOps,40000,Insert Time,0.2070286273956298
CW-AIOps,50000,Data Feature Collection Time,2.4853235880533853
CW-AIOps,50000,Insert Time,0.2332212924957275
CW-AIOps,60000,Data Feature Collection Time,3.033933162689209
CW-AIOps,60000,Insert Time,0.2549197673797607
CW-AIOps,70000,Data Feature Collection Time,3.5570502281188965
CW-AIOps,70000,Insert Time,0.2815048694610595
CW-AIOps,80000,Data Feature Collection Time,4.077305555343628
CW-AIOps,80000,Insert Time,0.3043417930603027
CW-AIOps,90000,Data Feature Collection Time,4.616110960642497
CW-AIOps,90000,Insert Time,0.3674421310424804
CW-AIOps,100000,Data Feature Collection Time,5.1230870087941485
CW-AIOps,100000,Insert Time,0.4733645915985107
CW-AIOps,10000,Data Feature Collection Time,0.50571076075236
CW-AIOps,10000,Insert Time,0.1359944343566894
CW-AIOps,20000,Data Feature Collection Time,1.075497309366862
CW-AIOps,20000,Insert Time,0.1610286235809326
CW-AIOps,30000,Data Feature Collection Time,1.651808738708496
CW-AIOps,30000,Insert Time,0.2094635963439941
CW-AIOps,40000,Data Feature Collection Time,2.213349183400472
CW-AIOps,40000,Insert Time,0.2511959075927734
CW-AIOps,50000,Data Feature Collection Time,2.751152753829956
CW-AIOps,50000,Insert Time,0.2358028888702392
CW-AIOps,60000,Data Feature Collection Time,3.292153278986613
CW-AIOps,60000,Insert Time,0.2793924808502197
CW-AIOps,70000,Data Feature Collection Time,3.838553905487061
CW-AIOps,70000,Insert Time,0.295764684677124
CW-AIOps,80000,Data Feature Collection Time,4.3928836186726885
CW-AIOps,80000,Insert Time,0.3119826316833496
CW-AIOps,90000,Data Feature Collection Time,4.970212618509929
CW-AIOps,90000,Insert Time,0.3473484516143799
CW-AIOps,100000,Data Feature Collection Time,5.550992727279663
CW-AIOps,100000,Insert Time,0.4655787944793701
CW-AIOps,10000,Data Feature Collection Time,0.4606734116872151
CW-AIOps,10000,Insert Time,0.1412496566772461
CW-AIOps,20000,Data Feature Collection Time,0.9210315545399984
CW-AIOps,20000,Insert Time,0.1653916835784912
CW-AIOps,30000,Data Feature Collection Time,1.3883179028828938
CW-AIOps,30000,Insert Time,0.1908955574035644
CW-AIOps,40000,Data Feature Collection Time,1.8422761758168535
CW-AIOps,40000,Insert Time,0.2076921463012695
CW-AIOps,50000,Data Feature Collection Time,2.325514952341716
CW-AIOps,50000,Insert Time,0.2642335891723633
CW-AIOps,60000,Data Feature Collection Time,2.796837329864502
CW-AIOps,60000,Insert Time,0.2434384822845459
CW-AIOps,70000,Data Feature Collection Time,3.26098362604777
CW-AIOps,70000,Insert Time,0.2935411930084228
CW-AIOps,80000,Data Feature Collection Time,3.716461261113485
CW-AIOps,80000,Insert Time,0.3036682605743408
CW-AIOps,90000,Data Feature Collection Time,4.198411623636882
CW-AIOps,90000,Insert Time,0.3266725540161133
CW-AIOps,100000,Data Feature Collection Time,4.677046378453572
CW-AIOps,100000,Insert Time,0.3718628883361816
CW-AIOps,10000,Data Feature Collection Time,0.4684016704559326
CW-AIOps,10000,Insert Time,0.1380071640014648
CW-AIOps,20000,Data Feature Collection Time,0.9391501744588217
CW-AIOps,20000,Insert Time,0.1549031734466552
CW-AIOps,30000,Data Feature Collection Time,1.410449504852295
CW-AIOps,30000,Insert Time,0.1844375133514404
CW-AIOps,40000,Data Feature Collection Time,1.8725654284159343
CW-AIOps,40000,Insert Time,0.2072930335998535
CW-AIOps,50000,Data Feature Collection Time,2.3249336083730063
CW-AIOps,50000,Insert Time,0.2203962802886963
CW-AIOps,60000,Data Feature Collection Time,2.789323091506958
CW-AIOps,60000,Insert Time,0.249591588973999
CW-AIOps,70000,Data Feature Collection Time,3.250526507695516
CW-AIOps,70000,Insert Time,0.2737839221954345
CW-AIOps,80000,Data Feature Collection Time,3.745278517405192
CW-AIOps,80000,Insert Time,0.3164989948272705
CW-AIOps,90000,Data Feature Collection Time,4.229314963022868
CW-AIOps,90000,Insert Time,0.3220784664154053
CW-AIOps,100000,Data Feature Collection Time,4.6914769013722735
CW-AIOps,100000,Insert Time,0.3901205062866211
CW-AIOps,10000,Data Feature Collection Time,0.5135868390401205
CW-AIOps,10000,Insert Time,0.1393969058990478
CW-AIOps,20000,Data Feature Collection Time,1.056864897410075
CW-AIOps,20000,Insert Time,0.1603357791900634
CW-AIOps,30000,Data Feature Collection Time,1.5344185829162598
CW-AIOps,30000,Insert Time,0.1891522407531738
CW-AIOps,40000,Data Feature Collection Time,2.024152914683024
CW-AIOps,40000,Insert Time,0.2051022052764892
CW-AIOps,50000,Data Feature Collection Time,2.520843187967936
CW-AIOps,50000,Insert Time,0.260833740234375
CW-AIOps,60000,Data Feature Collection Time,2.9985400835673013
CW-AIOps,60000,Insert Time,0.2501347064971924
CW-AIOps,70000,Data Feature Collection Time,3.505887428919474
CW-AIOps,70000,Insert Time,0.2887628078460693
CW-AIOps,80000,Data Feature Collection Time,4.021862268447876
CW-AIOps,80000,Insert Time,0.3036165237426758
CW-AIOps,90000,Data Feature Collection Time,4.569810310999553
