DataSet,Compression,Encoding,Insert Time,Select Time
ingestion/UCI-data,SNAPPY,RAKE,0.13849983215332032,0.029233717918395997
ingestion/UCI-data,SNAPPY,RLE,0.16606853008270264,0.03502733707427978
ingestion/UCI-data,SNAPPY,TS_2DIFF,0.157165789604187,0.033060455322265626
ingestion/UCI-data,SNAPPY,GORILLA,0.16139554977416992,0.044188618659973145
ingestion/UCI-data,SNAPPY,PLAIN,0.15812039375305176,0.031229257583618164
ingestion/UCI-data,SNAPPY,SPRINTZ,0.17291340827941895,0.033578801155090335
ingestion/UCI-data,SNAPPY,RLBE,0.13877475261688232,0.030001258850097655
ingestion/UCI-data,GZIP,RAKE,0.13688309192657472,0.030083894729614258
ingestion/UCI-data,GZIP,RLE,0.14961352348327636,0.036759376525878906
ingestion/UCI-data,GZIP,TS_2DIFF,0.17394611835479737,0.03210926055908203
ingestion/UCI-data,GZIP,GORILLA,0.1488117218017578,0.03008768558502197
ingestion/UCI-data,GZIP,PLAIN,0.15066854953765868,0.028815317153930663
ingestion/UCI-data,GZIP,SPRINTZ,0.148895263671875,0.031243658065795897
ingestion/UCI-data,GZIP,RLBE,0.14093403816223143,0.02974703311920166
ingestion/UCI-data,NONE,RAKE,0.14723007678985595,0.029309916496276855
ingestion/UCI-data,NONE,RLE,0.15803155899047852,0.023914241790771486
ingestion/UCI-data,NONE,TS_2DIFF,0.17309114933013917,0.02624654769897461
ingestion/UCI-data,NONE,GORILLA,0.16200573444366456,0.022593307495117187
ingestion/UCI-data,NONE,PLAIN,0.1677558183670044,0.023523902893066405
ingestion/UCI-data,NONE,SPRINTZ,0.15114200115203857,0.02431490421295166
ingestion/UCI-data,NONE,RLBE,0.1428755521774292,0.023141694068908692
ingestion/UCI-data,LZ4,RAKE,0.1311856985092163,0.02576744556427002
ingestion/UCI-data,LZ4,RLE,0.16235044002532958,0.02683584690093994
ingestion/UCI-data,LZ4,TS_2DIFF,0.15132334232330322,0.025237035751342774
ingestion/UCI-data,LZ4,GORILLA,0.16197102069854735,0.02255122661590576
ingestion/UCI-data,LZ4,PLAIN,0.14699723720550537,0.02226712703704834
ingestion/UCI-data,LZ4,SPRINTZ,0.17128021717071534,0.025011277198791503
ingestion/UCI-data,LZ4,RLBE,0.14428939819335937,0.023342275619506837
ingestion/东配楼气象,SNAPPY,RAKE,0.14112236499786376,0.022050023078918457
ingestion/东配楼气象,SNAPPY,RLE,0.16049163341522216,0.03461544513702393
ingestion/东配楼气象,SNAPPY,TS_2DIFF,0.15852344036102295,0.0335392951965332
ingestion/东配楼气象,SNAPPY,GORILLA,0.15591585636138916,0.029954075813293457
ingestion/东配楼气象,SNAPPY,PLAIN,0.1723095417022705,0.023551058769226075
ingestion/东配楼气象,SNAPPY,SPRINTZ,0.1471245050430298,0.024137258529663086
ingestion/东配楼气象,SNAPPY,RLBE,0.1426459312438965,0.024295687675476074
ingestion/东配楼气象,GZIP,RAKE,0.1415529727935791,0.022295069694519044
ingestion/东配楼气象,GZIP,RLE,0.15821943283081055,0.02750527858734131
ingestion/东配楼气象,GZIP,TS_2DIFF,0.17509238719940184,0.025350403785705567
ingestion/东配楼气象,GZIP,GORILLA,0.1421985626220703,0.021589279174804688
ingestion/东配楼气象,GZIP,PLAIN,0.14522769451141357,0.021613264083862306
ingestion/东配楼气象,GZIP,SPRINTZ,0.151802921295166,0.02385425567626953
ingestion/东配楼气象,GZIP,RLBE,0.14371106624603272,0.021333885192871094
ingestion/东配楼气象,NONE,RAKE,0.13954267501831055,0.02302286624908447
ingestion/东配楼气象,NONE,RLE,0.16592941284179688,0.023801898956298827
ingestion/东配楼气象,NONE,TS_2DIFF,0.17205321788787842,0.029695701599121094
ingestion/东配楼气象,NONE,GORILLA,0.17459506988525392,0.029466986656188965
ingestion/东配楼气象,NONE,PLAIN,0.1709904909133911,0.030522990226745605
ingestion/东配楼气象,NONE,SPRINTZ,0.17079129219055175,0.029451656341552734
ingestion/东配楼气象,NONE,RLBE,0.1351233959197998,0.027978062629699707
ingestion/东配楼气象,LZ4,RAKE,0.13545708656311034,0.023100876808166505
ingestion/东配楼气象,LZ4,RLE,0.15892274379730226,0.02557072639465332
ingestion/东配楼气象,LZ4,TS_2DIFF,0.17443501949310303,0.02601032257080078
ingestion/东配楼气象,LZ4,GORILLA,0.16758549213409424,0.021695160865783693
ingestion/东配楼气象,LZ4,PLAIN,0.16719791889190674,0.022655653953552245
ingestion/东配楼气象,LZ4,SPRINTZ,0.15244462490081787,0.02413482666015625
ingestion/东配楼气象,LZ4,RLBE,0.12861785888671876,0.022525835037231445
ingestion/中船,SNAPPY,RAKE,0.1457334041595459,0.021445560455322265
ingestion/中船,SNAPPY,RLE,0.17139666080474852,0.025496840476989746
ingestion/中船,SNAPPY,TS_2DIFF,0.14750387668609619,0.024516892433166505
ingestion/中船,SNAPPY,GORILLA,0.16211333274841308,0.022934556007385254
ingestion/中船,SNAPPY,PLAIN,0.1637061357498169,0.02384529113769531
ingestion/中船,SNAPPY,SPRINTZ,0.1699665069580078,0.02167818546295166
ingestion/中船,SNAPPY,RLBE,0.1508190393447876,0.02240903377532959
ingestion/中船,GZIP,RAKE,0.13187355995178224,0.026755547523498534
