Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16627920k(9707996k free), swap 26065104k(17458240k free)
CommandLine flags: -XX:InitialHeapSize=419430400 -XX:MaxHeapSize=4256169984 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-08-14T13:31:20.234+0800: 28.462: [GC (Allocation Failure) [PSYoungGen: 102400K->13563K(119296K)] 102400K->13651K(392704K), 0.0075677 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:31:20.491+0800: 28.724: [GC (Metadata GC Threshold) [PSYoungGen: 39488K->10204K(119296K)] 39576K->10300K(392704K), 0.0062923 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2022-08-14T13:31:20.507+0800: 28.731: [Full GC (Metadata GC Threshold) [PSYoungGen: 10204K->0K(119296K)] [ParOldGen: 96K->9946K(273408K)] 10300K->9946K(392704K), [Metaspace: 20700K->20700K(1067008K)], 0.0259667 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2022-08-14T13:31:21.276+0800: 29.511: [GC (Allocation Failure) [PSYoungGen: 102400K->16885K(119296K)] 112346K->35534K(392704K), 0.0091701 secs] [Times: user=0.19 sys=0.06, real=0.02 secs] 
2022-08-14T13:31:23.899+0800: 32.121: [GC (Allocation Failure) [PSYoungGen: 119278K->16885K(212992K)] 137927K->35722K(486400K), 0.0082335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:31:26.430+0800: 34.664: [GC (Allocation Failure) [PSYoungGen: 212922K->13205K(206848K)] 231760K->36146K(480256K), 0.0086581 secs] [Times: user=0.09 sys=0.03, real=0.02 secs] 
2022-08-14T13:31:30.090+0800: 38.310: [GC (Allocation Failure) [PSYoungGen: 203157K->13248K(202240K)] 226098K->36197K(475648K), 0.0080296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:31:33.196+0800: 41.418: [GC (Allocation Failure) [PSYoungGen: 197568K->13312K(192512K)] 220517K->36261K(465920K), 0.0083127 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2022-08-14T13:31:35.837+0800: 44.058: [GC (Allocation Failure) [PSYoungGen: 192000K->832K(195584K)] 214949K->36373K(468992K), 0.0091548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:31:38.437+0800: 46.658: [GC (Allocation Failure) [PSYoungGen: 174400K->768K(169472K)] 209941K->36437K(442880K), 0.0028842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:31:42.648+0800: 50.880: [GC (Allocation Failure) [PSYoungGen: 169148K->1629K(186368K)] 204817K->37370K(459776K), 0.0062613 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2022-08-14T13:33:47.632+0800: 175.858: [GC (Allocation Failure) [PSYoungGen: 165395K->904K(160256K)] 201137K->36961K(433664K), 0.0048529 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2022-08-14T13:33:49.521+0800: 177.742: [GC (Allocation Failure) [PSYoungGen: 160136K->416K(176640K)] 196193K->36731K(450048K), 0.0027315 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:33:51.988+0800: 180.209: [GC (Allocation Failure) [PSYoungGen: 155040K->480K(151040K)] 191355K->36835K(424448K), 0.0027532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:33:54.123+0800: 182.348: [GC (Allocation Failure) [PSYoungGen: 150994K->629K(167936K)] 187349K->37040K(441344K), 0.0031559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:34:06.641+0800: 194.862: [GC (Allocation Failure) [PSYoungGen: 147014K->1941K(144384K)] 183425K->38400K(417792K), 0.0034156 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:35:20.665+0800: 268.896: [GC (Allocation Failure) [PSYoungGen: 144201K->533K(158208K)] 180661K->37824K(431616K), 0.0050417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:35:22.530+0800: 270.766: [GC (Allocation Failure) [PSYoungGen: 139218K->533K(136192K)] 176510K->38010K(409600K), 0.0035381 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2022-08-14T13:35:24.695+0800: 272.922: [GC (Allocation Failure) [PSYoungGen: 135642K->597K(149504K)] 173119K->38122K(422912K), 0.0055088 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2022-08-14T13:35:27.167+0800: 275.390: [GC (Allocation Failure) [PSYoungGen: 132126K->725K(129536K)] 169652K->38306K(402944K), 0.0052302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:35:28.463+0800: 276.684: [GC (Allocation Failure) [PSYoungGen: 129237K->448K(141824K)] 166818K->38077K(415232K), 0.0027662 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2022-08-14T13:35:31.019+0800: 279.245: [GC (Allocation Failure) [PSYoungGen: 125833K->853K(123392K)] 163463K->38522K(396800K), 0.0030952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:50.792+0800: 539.014: [GC (Allocation Failure) [PSYoungGen: 123180K->885K(133632K)] 160850K->38602K(407040K), 0.0035941 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:52.349+0800: 540.579: [GC (Allocation Failure) [PSYoungGen: 120181K->384K(116736K)] 157898K->38311K(390144K), 0.0036175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:53.596+0800: 541.821: [GC (Allocation Failure) [PSYoungGen: 116605K->469K(126976K)] 154533K->38460K(400384K), 0.0036399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:55.863+0800: 544.085: [GC (Allocation Failure) [PSYoungGen: 114103K->597K(112128K)] 152095K->38636K(385536K), 0.0056932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:57.204+0800: 545.430: [GC (Allocation Failure) [PSYoungGen: 111626K->501K(119808K)] 149665K->38596K(393216K), 0.0042200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:59.226+0800: 547.447: [GC (Allocation Failure) [PSYoungGen: 109045K->576K(109568K)] 147140K->38719K(382976K), 0.0026017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:00.905+0800: 549.141: [GC (Allocation Failure) [PSYoungGen: 109077K->693K(122880K)] 147220K->38884K(396288K), 0.0028603 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2022-08-14T13:40:02.341+0800: 550.565: [GC (Allocation Failure) [PSYoungGen: 109179K->597K(121856K)] 147370K->38844K(395264K), 0.0026976 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:03.808+0800: 552.029: [GC (Allocation Failure) [PSYoungGen: 109068K->629K(124416K)] 147315K->38900K(397824K), 0.0029523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:05.639+0800: 553.860: [GC (Allocation Failure) [PSYoungGen: 112757K->576K(123904K)] 151028K->38887K(397312K), 0.0025276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:08.574+0800: 556.795: [GC (Allocation Failure) [PSYoungGen: 112704K->672K(125952K)] 151015K->39039K(399360K), 0.0026980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:10.568+0800: 558.789: [GC (Allocation Failure) [PSYoungGen: 115872K->1424K(125440K)] 154239K->39839K(398848K), 0.0026782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:12.261+0800: 560.483: [GC (Allocation Failure) [PSYoungGen: 116620K->629K(127488K)] 155035K->39132K(400896K), 0.0026803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:14.036+0800: 562.258: [GC (Allocation Failure) [PSYoungGen: 118880K->501K(126976K)] 157384K->39204K(400384K), 0.0040949 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:15.503+0800: 563.724: [GC (Allocation Failure) [PSYoungGen: 118773K->384K(128512K)] 157476K->39143K(401920K), 0.0021871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:17.730+0800: 565.954: [GC (Allocation Failure) [PSYoungGen: 120690K->597K(128000K)] 159450K->39396K(401408K), 0.0048664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:19.387+0800: 567.608: [GC (Allocation Failure) [PSYoungGen: 120917K->384K(129536K)] 159716K->39215K(402944K), 0.0024251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:21.751+0800: 569.972: [GC (Allocation Failure) [PSYoungGen: 122740K->789K(129024K)] 161571K->39668K(402432K), 0.0032122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:23.333+0800: 571.554: [GC (Allocation Failure) [PSYoungGen: 123144K->597K(130048K)] 162024K->39540K(403456K), 0.0027890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:25.813+0800: 574.047: [GC (Allocation Failure) [PSYoungGen: 123989K->704K(129536K)] 162932K->39671K(402944K), 0.0029845 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2022-08-14T13:40:28.797+0800: 577.018: [GC (Allocation Failure) [PSYoungGen: 124085K->853K(131072K)] 163052K->39860K(404480K), 0.0028126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:41:44.840+0800: 653.063: [GC (Allocation Failure) [PSYoungGen: 126236K->789K(130560K)] 165243K->39852K(403968K), 0.0050369 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:41:46.700+0800: 654.928: [GC (Allocation Failure) [PSYoungGen: 126224K->469K(131584K)] 165288K->39702K(404992K), 0.0041424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:41:48.532+0800: 656.758: [GC (Allocation Failure) [PSYoungGen: 127445K->448K(131584K)] 166678K->39729K(404992K), 0.0023461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:09.890+0800: 918.116: [GC (Allocation Failure) [PSYoungGen: 127424K->4069K(130048K)] 166705K->43886K(403456K), 0.0035224 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:46:10.218+0800: 918.451: [GC (Allocation Failure) [PSYoungGen: 129692K->4435K(130560K)] 169509K->46389K(403968K), 0.0020957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:10.647+0800: 918.871: [GC (Allocation Failure) [PSYoungGen: 130387K->2000K(130560K)] 172341K->44018K(403968K), 0.0011745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:11.077+0800: 919.300: [GC (Allocation Failure) [PSYoungGen: 126928K->2000K(130560K)] 168946K->44082K(403968K), 0.0017382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:11.597+0800: 919.824: [GC (Allocation Failure) [PSYoungGen: 126818K->2599K(130560K)] 168900K->44729K(403968K), 0.0014371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:13.038+0800: 921.259: [GC (Allocation Failure) [PSYoungGen: 127527K->2064K(130560K)] 169657K->44250K(403968K), 0.0018836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:14.722+0800: 922.945: [GC (Allocation Failure) [PSYoungGen: 126992K->5115K(129024K)] 169178K->47437K(402432K), 0.0019017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:16.515+0800: 924.744: [GC (Allocation Failure) [PSYoungGen: 128986K->2381K(130048K)] 171308K->44751K(403456K), 0.0024259 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
